HIP,Vmag,Plx,e_Plx,B-V,SpType
38523,9.3,2.73,1.25,-0.096,B2Vn        
38524,7.9,2.75,1.04,0.873,G0          
38525,6.92,4.1,0.82,-0.006,A0          
38526,9.5,9.43,1.7,0.49,F8          
38527,7.36,4.69,1.33,1.031,G5          
38528,9.81,8.35,7.43,0.67,G5          
38529,9.72,-14.88,6.12,1.004,G5          
38530,7.51,4.43,1.08,1.199,K2          
38531,9.22,18.2,1.04,0.879,K1V         
38532,10.35,2.11,2.19,0.63,G0          
38533,7.42,6.43,0.93,1.11,K0          
38535,8.08,5,1.02,0.364,F2V         
38536,7.84,2.18,0.6,0.004,B8V         
38537,8.18,5.88,0.64,0.241,A6IV/V      
38538,4.97,12.82,0.94,0.098,A3V         
38539,10.2,12.8,1.39,0.792,            
38541,8.27,35.29,1.04,0.621,sdG2        
38540,10.36,-2.1,8.08,0.455,B0II        
38542,8.98,3.48,1.27,0.475,F3IV/V      
38543,8.96,5.29,1.27,0.747,K0III+...   
38544,7.58,8.27,0.64,0.218,A7IV        
38545,8.07,0.96,0.98,-0.131,B3II/III    
38546,10.24,3.55,1.84,0.684,G0          
38547,7.96,4.82,1.18,1.087,G6III       
38548,9.39,1.09,1.56,0.058,O5/O6       
38549,9.07,0.95,0.72,0.125,B9V         
38550,8.59,11.4,1.66,0.6,G1V         
38551,6.95,2.52,0.79,-0.079,B6V         
38552,8.23,1.36,0.75,1.079,K0IIICN...  
38553,7.22,4.92,0.82,-0.069,B8/B9V      
38554,9.95,0.11,1.73,0.15,A6V         
38555,8.98,0.96,1.25,-0.026,B9IV        
38556,8.02,2.87,1.03,1.039,K0III       
38557,8.76,1.16,1.39,-0.055,B9          
38558,7.97,28.1,0.69,0.672,G5V         
38559,8.69,2.23,0.92,0.428,G0          
38560,7.39,9.61,0.79,0.306,F0          
38563,8.4,1.71,1.05,1.515,K3III       
38564,7.6,15.44,1.13,0.573,F9V         
38565,8.76,7.13,0.74,0.43,F3V         
38566,8.09,1.08,0.95,1.105,K0          
38567,8.57,7.83,1.13,0.46,F2          
38568,7.8,11.27,0.65,0.957,K0III/IV    
38570,8.19,2.53,1.04,0.042,A0          
38571,6.95,6.57,0.92,0.913,G8III       
38572,8.76,3.59,1.42,0.097,A0          
38573,8.23,7.16,1.71,0.983,K0IV        
38574,8.91,10.52,0.79,0.696,G3V         
38575,10.98,6.63,2.41,-0.078,K2          
38576,9.45,11.47,0.95,0.661,G2V         
38577,8.63,3,0.76,0.012,A0V         
38578,7.24,7.15,0.98,0.167,A2          
38579,8.41,2.93,1.09,1.234,K1III       
38580,7,3.63,0.99,1.337,M5/M6III    
38581,8.08,3.77,1.41,0.043,A0          
38582,10.71,5.99,1.82,0.345,F0          
38583,9.18,2.02,0.81,0.113,A0V         
38584,6.85,2.26,0.6,-0.105,B8II        
38585,9.81,6.44,1.21,0.59,G3/G5V      
38586,8.24,0,1.29,1.341,K0          
38587,7.48,3.67,0.73,-0.088,B8/B9V      
38588,8.34,2.68,0.74,1.545,K0          
38589,9.4,2.91,0.98,0.91,G5          
38591,6.89,1.97,0.98,1.662,M1III       
38590,8.49,3.53,1.06,0.949,K0          
38592,8.23,1.03,0.66,-0.039,B9III/IV    
38593,5.48,4.07,0.52,-0.175,B2V         
38594,9.75,51.16,1.57,1.385,M           
38595,7.15,6.55,1.09,0.959,G5          
38596,9.53,30.4,4.1,1.058,            
38597,7.95,5.39,1.18,0.966,G0          
38598,7.2,6.22,0.99,1.034,G5          
38599,7.76,4.51,1.08,0.31,A3          
38600,7.81,16.16,0.69,0.524,F7V         
38601,6.84,1.6,0.83,1.663,M1III:      
38602,9.26,10.83,1.23,0.631,G5          
38605,8.97,0.75,0.82,-0.009,B8/B9IV     
38603,8.78,1.75,1.25,1.038,K2          
38604,7.25,16.22,0.83,0.905,G5          
38606,8.88,1.97,1.18,-0.021,B8/B9IV     
38607,8.96,2.72,1.32,1.206,K0          
38608,7.35,5.61,0.78,-0.014,B8          
38609,9.27,1.64,1.26,0.293,A5          
38610,8.55,2.76,0.74,-0.122,B8/B9II/III 
38611,8.41,2.92,1.32,0.785,G5          
38612,7.47,1.28,0.6,-0.106,B5V         
38613,8.99,14.55,1.28,0.587,G0          
38614,8.91,2.95,1.31,0.123,A2          
38615,6.6,4.8,0.71,0.081,A2V         
38616,9.45,7.11,1.37,0.447,G0          
38617,8.35,-0.03,1.21,0.062,B9          
38618,7.11,5.68,0.58,1.066,K1III       
38619,10.88,10.37,3.04,0.999,K5          
38620,7.83,-1,1.1,1.335,K2          
38621,7.89,1.75,1,0.884,G0          
38622,8.87,2.27,1.08,0.03,B9V         
38623,6.25,5.3,0.88,1.133,K2III:      
38624,7.52,2.61,0.65,1.479,K4III       
38625,7.43,52.01,1.85,0.739,G8V         
38626,8.25,8.4,1.03,0.3,A3          
38627,8.79,-0.46,1.6,1.341,K0          
38628,8.47,9.5,0.79,0.514,F6/F7V      
38629,8.84,3.52,1.02,1.013,G8III       
38630,9.64,2.27,2.83,0.592,G0          
38631,8.36,10.67,0.7,0.613,G0V         
38632,7.61,3.14,1.15,1.42,K2          
38633,8.17,1.55,1.07,1.06,G8III       
38634,9.26,2.08,0.91,1.429,M0          
38635,6.14,4.81,0.59,1.54,K4III       
38636,8.35,18.04,1.17,0.738,G5          
38637,8.7,7.32,1.64,0.512,G0          
38638,8.16,1.91,1.26,0.877,G5          
38639,5.47,6.42,0.86,1.462,K4III       
38640,8.95,1.87,1.55,1.24,K2          
38641,8.91,2.26,0.81,1.187,K2III       
38643,7.8,3.38,1.02,1.066,G7III       
38642,7.91,3.2,1.09,1.041,K0          
38644,9.81,4.47,1.64,0.607,F5          
38645,9.26,11.75,0.84,0.739,G6/G8V      
38646,9.36,20.74,1.06,0.838,K0IV        
38647,7.78,28.33,1.09,0.659,G0          
38648,7.31,4.24,0.94,1.46,K4III       
38649,8.11,11.52,0.67,0.529,F6V         
38650,7.34,2.8,0.55,-0.1,B6V         
38651,8.52,4.13,1.33,0.26,F2V         
38652,7.19,2,0.64,-0.108,B2III/IV    
38653,8.35,5.79,1.37,1.084,K0III       
38654,7.44,5.2,0.64,0.14,A1V         
38656,5.62,9.5,0.47,1.298,K3/K4III    
38655,10.58,2.31,2.05,0.09,            
38657,7.76,50.05,1.05,0.95,K2          
38658,7.47,14.13,1,0.566,F5          
38659,7.54,3.4,1.08,0.983,G5          
38660,8.98,5.56,1.19,0.041,A1V         
38661,7.93,3.65,1.09,1.075,G6III       
38662,10.57,3.05,1.69,0.2,A5          
38663,10.16,3.82,1.48,0.369,F2          
38664,7.75,5.77,1.01,0.242,A2          
38665,9.08,2.22,1.01,0.366,A9V         
38667,6.36,3.25,0.51,-0.007,B8III       
38666,9,2.77,1.41,1.357,K5          
38668,6.99,5.93,0.76,0.029,A0V         
38669,6.97,2.91,1.11,0.992,K0          
38670,8.6,0.81,1.54,1.003,K1III       
38671,7.81,4.72,0.64,0.992,G8III       
38672,8.9,2.46,1.41,0.471,G0          
38673,10.19,15.15,2.15,0.941,            
38674,8.79,3.06,1.28,0.05,A0          
38675,8.11,4.42,1.18,0.228,A2          
38676,8,5.06,1.19,0.223,F0          
38677,7.33,14.66,0.96,0.435,F5          
38678,8.64,3.03,1.09,0.327,A3          
38679,8.23,3.35,1.09,0.987,G5          
38680,8.2,4.36,1.23,0.249,A2          
38681,7.92,11.57,1.15,0.448,F0          
38682,6.81,2.69,1.23,1.143,G5          
38683,10.66,0.38,2.13,0.12,            
38685,8.47,3.59,1.3,0.037,B9          
38684,9.72,2.63,1.42,0.309,A5          
38686,6.45,2.52,0.65,1.474,K4III       
38687,8.01,1.94,1.3,0,A0          
38688,9.15,1.1,1.43,0.944,K0          
38689,8.72,4.97,0.71,0.1,A2V         
38690,6.99,8.57,0.55,0.38,F2II/III    
38691,7.34,0.89,0.91,-0.116,B8          
38692,7.44,3.47,0.94,1.304,K2III       
38693,8.07,1.53,1.1,1.083,K0          
38694,8.1,1.65,0.98,0.038,A0          
38695,8.4,4.01,0.72,1.249,K2IIICN...  
38696,8.33,5.57,1.22,0.581,F5          
38697,8.92,6.45,0.94,0.4,F5          
38698,9.22,1.51,1.17,1.586,            
38699,7.81,9.17,0.87,0.594,F8          
38702,11.16,25.7,2.49,1.617,            
38700,7.09,4.11,0.55,1.616,M2III       
38701,7.8,0.91,0.7,1.24,G5Ib        
38703,11.39,0.54,2.74,0.12,            
38704,7.82,0.94,0.64,1.344,K3III       
38705,9.16,2.86,1.32,1.157,K0          
38706,8.69,2.54,1.15,1.47,K5          
38707,6.84,2.98,0.8,0.134,A3III/IV    
38708,7.87,5.86,1.3,-0.008,A0          
38709,7.04,3.44,0.9,1.227,G5          
38710,9.14,4.19,1.44,0.218,A0          
38711,8.51,3.97,1.17,0.16,A2          
38712,5.86,26.21,0.95,0.369,F2IV        
38713,7.33,9.35,1.09,0.428,F5          
38714,8.02,3.35,1.09,0.004,A0          
38715,9.02,6.86,0.84,0.54,F8V         
38716,10.73,2.95,1.98,0.048,B0V         
38717,8.97,2.59,1.47,0.242,F2          
38718,7,18.02,0.86,0.895,G8/K0V      
38719,8.5,7.17,1.29,0.987,G5          
38720,7.95,0.81,1.19,1.195,K0          
38721,11.05,-1.49,2.33,0.24,            
38722,5.38,9.61,0.73,-0.035,A0Vs        
38723,6.23,16.55,0.92,0.277,A3p         
38724,7.26,4.53,0.85,0.406,Fm...       
38725,10.6,0.94,1.32,0.454,F0          
38726,8.59,0.9,1.19,1.008,K0          
38727,7.99,2.12,0.7,-0.054,B3V         
38728,10.31,-2.84,2.05,2.579,C...        
38729,9.42,11.5,0.89,0.785,G6/G8V      
38730,7.96,6.8,1.2,0.786,G5          
38731,8.95,7.49,1.5,0.333,G0          
38732,6.02,3.81,1.04,-0.111,B6V         
38733,7.94,5.36,0.99,1.083,K0III       
38734,7.03,3.79,0.95,-0.029,B9          
38735,9.18,2.2,1.41,0.186,F0          
38736,9.15,4.67,0.91,0.447,F3V         
38737,6.74,3.17,0.56,-0.125,B6V         
38739,8.17,2.51,0.61,0.035,B8V         
38738,8.7,-0.01,1.22,1.683,M2          
38740,9.01,2.46,0.75,0.04,B9.5V       
38741,9.97,1.94,1.65,0.158,O7e         
38742,9.61,5.58,1.09,0.555,G2/G3V      
38743,7.91,4.02,1.11,1.207,K0          
38744,7.25,2.97,0.93,0.044,A2          
38745,8.44,5.86,1.34,0.695,G0          
38746,7.44,1.13,0.56,-0.11,B6V         
38747,8.37,20.69,1.15,0.671,G5          
38748,6.57,10.1,0.81,0.964,G8IV        
38749,8.32,3.84,1.59,0.112,A0          
38750,7.86,12.64,1.13,0.626,F8          
38751,8.92,3.19,1.46,1.465,K2          
38752,7.7,1.19,2.06,0.983,K0          
38754,7.57,4.01,1.18,1.174,K0          
38753,10.67,29.46,47.62,0.389,            
38755,7.32,15.93,0.9,0.629,G0          
38756,8.87,1.78,0.79,1.126,K1III       
38757,8.87,3.53,1.04,1.119,K2          
38758,8.6,2.7,0.79,0.07,A0V         
38759,8.87,2.59,0.79,0.019,B9V         
38760,7.91,1.3,0.93,-0.004,B9.5III     
38761,6.81,3.66,0.82,-0.079,B8          
38762,7.78,1.18,1.02,1.564,K5          
38763,9.67,3.96,2.03,0.536,F6V         
38764,7.87,2.69,1.09,-0.032,A0          
38765,7.94,19.73,0.65,0.569,F8V         
38766,8.35,2.97,0.66,-0.041,B9V         
38767,8.84,2.3,1.17,-0.057,A0          
38768,9.18,0.86,1.05,1.38,K0          
38769,8.82,12.32,1.14,0.52,G5          
38770,6.77,2.23,0.57,0.97,G5II/III    
38771,8.73,4.32,1.17,1.143,K1III/IV    
38772,9.64,-1.75,1.81,1.5,"S4,2e       "
38773,11.04,0.81,1.44,0.92,            
38774,8.87,4.82,1.27,0.398,F2          
38775,8.12,4.38,0.61,0.118,A2/A3III    
38776,8.92,3.08,0.85,0.116,A0/A1Vn...  
38777,8.35,1.84,1.1,1.584,K0          
38778,6.81,3.35,0.88,1.414,K0          
38779,6.73,2.49,0.5,0.001,B8IIIe      
38780,9.04,4.75,1.51,0.388,F0          
38781,8.43,0.72,1.31,-0.032,B9          
38782,8.44,13.35,0.69,0.664,G5V         
38783,5.74,2.62,0.51,1.554,K4II        
38784,6.55,58.67,0.57,0.719,G8V         
38785,7.59,12.4,0.87,1.06,K0          
38786,7.82,4.57,1.15,0.014,A0          
38787,7.72,1.74,0.7,2.97,C5II        
38788,12.19,-4.18,3.82,0.41,            
38789,6.84,5.68,0.8,0.038,A0V         
38790,7.99,2.29,1.42,0.123,A2          
38791,7.72,12.56,0.87,0.469,F5          
38792,6.28,2.67,0.71,1.476,M5/M6III    
38793,7.72,0.86,1.09,0.14,A3          
38794,6.16,3.86,0.98,0.957,G8III       
38795,6.78,2.57,0.54,-0.17,B2V         
38796,8.38,2.84,1.33,1.31,K2III       
38797,7.57,9.89,0.91,0.321,F0          
38798,12.1,-7.73,9.78,0.51,            
38799,8.8,2.11,0.92,0.95,G6III       
38800,6.71,4.68,0.73,0.05,A2IV        
38801,8.48,2.37,1.47,0.703,G2III       
38802,7.9,2.96,1.29,0.081,B9          
38803,8.66,-0.41,0.81,1.057,K1III       
38804,7.58,3.13,0.94,-0.025,B8/B9V      
38805,8.31,4.25,1.09,-0.108,A0          
38806,9.08,1.41,1.06,1.23,K0          
38807,7.72,0.37,1.16,1.671,K5          
38808,7.16,1.83,0.86,1.307,K1IIICNIV/Vp
38809,8.43,10.09,0.72,0.541,F7V         
38810,7.81,0.73,1.19,1.592,M...        
38811,7.36,8.31,0.71,0.386,F5          
38813,7.72,2.6,0.68,1.327,K0          
38812,9.03,2.96,1.99,0.764,G5          
38814,8.32,3.24,1.56,1.102,K2          
38815,8.84,2.72,0.76,0.129,A1Vn        
38816,9.26,2.99,0.88,1.02,A0V         
38817,7.23,13.54,1.01,0.562,F7V         
38818,8.56,2.65,1.05,-0.024,Ap...       
38819,8.49,5.72,1.43,0.118,A2          
38820,11.52,1.93,3.65,1.5,            
38822,8.77,17.09,1.07,0.568,G0          
38823,8.23,3.62,1.67,0.076,A2          
38824,9.79,8.99,1.67,0.605,            
38825,8.02,4.66,1.06,0.949,K0          
38826,7.17,6.27,0.87,1.085,K0III       
38827,3.46,8.43,0.52,-0.177,B3IVp       
38828,8.66,4.28,0.81,0.089,Ap...       
38829,7.83,3.74,1.79,0.211,A3          
38830,8.23,4.66,1.16,1,G5          
38831,8.98,1.64,0.8,1.184,K0          
38832,7.59,4.09,0.94,1,K1III       
38833,8.48,4.24,0.86,1.012,K0III       
38834,7.06,3.37,0.6,2.025,M0III       
38835,4.2,6.49,0.7,0.718,F7/F8II     
38836,8.31,4.07,0.64,0.986,K0III       
38837,8.41,3.48,1.38,0.326,A0          
38838,8.53,7.57,1.53,0.53,G0IV        
38839,8.53,1.12,1.28,1.286,G0          
38840,8.38,1.78,1,1.603,K2          
38841,8.66,5.65,1.32,0.269,A3          
38842,8.51,14.67,0.81,0.589,G0/G1V      
38843,7.73,2.05,1.19,-0.002,B9          
38844,7.46,4.64,0.56,1.064,K1III       
38846,5.36,2.91,0.5,-0.166,B2.5V       
38845,6.09,4.64,0.51,1.361,K3III       
38847,7.06,2.45,0.59,1.557,K3III       
38848,5.8,7.06,0.9,1.285,K3III       
38849,9.54,6.04,1.41,0.476,F8          
38850,9.78,2.7,1.71,-0.03,A0V         
38851,6.86,0.71,0.68,1.58,K3III       
38852,8.76,3.36,1.25,0.722,G0          
38853,8.21,18.57,1.24,0.638,G0          
38855,7.83,1.65,1.08,-0.18,B2V(ne)     
38856,7.09,6.29,1.01,0.92,G5          
38857,7.65,3.49,0.75,0.019,A0          
38858,7.31,1.92,0.64,-0.151,B3V         
38859,8.87,2.56,0.84,1.093,K1III       
38860,9.14,2.8,0.89,1.155,G8/K0IV     
38861,8.23,1.51,0.78,0.122,B5II/III    
38862,8,21.75,1,0.63,G3/G5V      
38863,6.14,7.03,0.49,-0.103,B8V         
38864,8.79,3.23,0.81,1.416,K4III       
38865,10.28,1.61,1.73,0.957,K0          
38866,8.73,0.59,1.15,0.068,A0V         
38867,10.35,1.45,1.46,0.16,A2          
38868,6.03,11.08,1.54,1,K0III       
38869,7.16,4.91,0.66,1.334,K2          
38870,6.35,17.09,1.06,0.507,F6V         
38871,9.3,5.55,1.21,0.599,G0          
38872,5.08,2.54,0.5,-0.166,B2.5IV      
38873,10.69,3.55,2.3,0.07,A2          
38874,7.55,6.38,1.19,1.18,K0          
38875,9.17,4.65,1.39,0.958,K0          
38876,8.45,2.7,1.22,0.94,G5          
38877,8.29,3.08,0.74,1.463,K2/K3III    
38878,7.67,3.56,1.15,-0.075,A0          
38879,6.21,3.23,0.74,-0.099,B5V         
38880,8.18,2.91,0.73,0.584,F6IV        
38881,9.73,9.46,1.19,0.567,            
38882,8.05,-1.48,1.28,-0.044,B0II        
38883,8.55,1.39,1.16,0.942,K0          
38884,7.22,5.65,1.14,0.983,G5          
38885,7.16,7.57,1.2,0.005,A0V         
38886,9.46,6.23,1.37,0.536,F8          
38887,7.08,2.76,0.57,-0.111,B5Vnn       
38888,8.22,3.79,1.26,0.455,F8          
38889,9.24,6.02,0.89,0.956,K0IV/V      
38890,8.16,11.18,1.12,0.433,F2          
120401,9.17,2.85,3.66,0.104,            
38891,7.13,8.61,1.13,0.234,A2          
38892,11.31,26.63,3.66,1.129,K2:         
38893,8.27,3.73,1.29,0.889,G5          
38894,8.37,2.62,0.81,0.885,G5III       
38895,9.93,12.84,2.54,0.76,G5          
38896,7.23,1.72,0.84,-0.126,B3V         
38897,7.74,2.41,1.02,1.037,G8III       
38898,9.97,-0.65,1.84,0.101,B5 + F2     
38899,9.22,10.7,1.25,0.487,F8          
38900,6.87,5.07,0.6,0.235,A3          
38901,4.76,2.26,0.58,0.151,A7III       
38902,6.69,3.64,0.55,1.605,M0III       
38903,7.83,3.43,1.09,1.233,K0          
38904,7.41,2.01,0.53,0.044,B8V         
38905,8.52,1.64,1.13,0.179,A3          
38906,6.86,2.91,0.57,-0.009,B9III       
38907,7.36,1.07,0.64,0.69,F8II        
38908,5.59,61.76,0.51,0.573,G2V...      
38909,7.22,4.03,0.62,1.311,K2III       
120402,8.38,3.6,2.72,-0.022,            
38910,8.83,54.62,4.31,1.136,K5V         
38911,8.18,7.87,1.02,1.036,K0          
38912,8.49,6.34,1.16,0.442,F2          
38913,7.82,2.86,0.81,1.372,K5/M0V:     
120403,8.55,1.14,2.99,0.061,            
38914,9.74,-0.49,1.38,-0.156,B3          
38915,12.52,-0.24,10.14,2.564,Ce+...      
38916,7.73,3.35,0.59,1.648,K3III       
38918,10.05,11.67,1.52,0.8,            
38917,5.14,10.87,0.47,1.263,K2III       
38919,10.38,3.09,2.06,0.499,F2          
38920,8.4,0.88,1.29,1.301,K0          
38921,8.2,1.83,1.03,1.419,K0          
38922,10.3,1.02,1.97,1.091,K2          
38923,7.28,1.28,0.81,2.015,M2Ia/ab     
38924,7.54,2.21,0.6,-0.109,B7IV/V      
38925,6.46,5.69,0.55,0.979,K0III       
38926,8.63,15.73,1.41,0.594,F8          
38927,9.02,5.94,0.74,0.553,F5V         
38928,8.86,2.06,1.11,1.077,K0          
38929,9.06,6.9,0.78,0.403,F3V         
38930,8.92,3.43,1.4,0.991,K0          
38931,8.05,57.26,1.45,1.065,K5V         
38932,7.74,2.59,1.28,1.508,K0          
38933,7.61,6.24,0.6,0.503,F5IV/V      
38934,8.68,6.3,1.24,0.354,F2          
38935,8.61,2.18,1.96,1.237,K2          
38936,8.78,3.32,0.85,-0.038,B8V         
38937,8.72,1.72,1.3,0.915,G5          
120404,7.62,1.95,2.3,-0.062,            
38938,8.93,3.79,0.83,0.74,G8III       
38939,8.42,54.91,1.15,1.043,K3V         
38940,9.17,0.02,1.08,0.195,B...        
38941,9.07,5.02,1.38,0.371,F5          
38942,7.48,2.94,0.64,-0.103,B4V         
38943,9.17,-1.17,1.32,1.687,K7          
38944,10.82,0.11,2.09,0.629,F6.7        
38945,6.42,3.87,0.95,-0.031,A0V         
38946,7.2,5.49,1.11,1.024,G5          
38947,8.84,2.29,0.99,-0.013,Ap...       
38948,10.45,5.59,1.43,0.535,Gp          
38949,9.28,10.46,1.52,0.563,F8          
38950,9.15,11.05,1.47,0.577,F8          
38951,8.05,4.5,1.06,1.064,G5          
38952,9.27,13.71,1.27,0.715,G0          
38954,7.48,4.24,1.29,1.049,G5          
38953,8.5,3.81,1.08,0.118,A2          
38955,8,3,0.7,-0.033,B9V         
38956,12.02,122.53,11.52,1.618,M4V         
38957,4.47,2.8,0.51,-0.18,B1Vp + B2   
38958,8.31,4.48,0.98,0.189,A4V         
38959,6.36,6.3,0.93,1.043,K0          
38960,8.19,2.28,0.69,0.006,B9.5V       
38961,8.6,2.67,1.5,0.056,A0          
38962,5.3,12.33,0.96,0.933,K0III       
38963,6.44,6.29,0.5,0.26,A8/A9IV     
38964,7.84,2.33,0.66,1.029,G8III       
38965,8.54,8.85,4.03,1.3,K5          
38966,6.73,4.24,0.79,0,B8+...      
38967,9.41,8.11,1.63,0.644,G5          
38968,8.06,4.2,1.09,0.007,A0          
38969,9.31,30.2,1.23,1.123,M0          
38970,8.39,2.71,1.07,1.6,K4III       
38971,8.83,-0.58,1.29,1.55,K5          
38972,6.65,4.1,0.85,0.157,A3          
38973,8.11,1.87,1.16,-0.103,A0          
38974,8.24,3.77,0.68,-0.036,B8III/IV    
38975,6.05,2.33,0.96,1.468,K0          
38976,8.28,5.16,0.98,-0.1,A0V         
38977,8.32,3.69,0.84,0.936,G6III       
38978,8.38,2,1.67,1.074,K0III       
38979,7.3,0.11,1.01,-0.167,B2V         
38980,7.95,34.12,1.39,0.739,G6V         
38981,6.99,8.68,0.62,0.979,K0/K1V      
38982,9.02,2.67,1.69,0,B9IV/V      
38983,6.98,3.1,0.83,1.587,K4/K5III    
38984,10.14,2.93,1.88,0.759,G5          
38985,8.69,9.45,1.11,0.466,F8          
38986,8.63,0.07,1.07,-0.026,B9          
38987,6.95,1.21,1.07,-0.071,B9          
38988,8.45,1.73,0.71,0.024,B8/B9III    
38989,8.44,2.33,1.28,1.025,G5          
38990,9.19,1.63,1.35,1.541,K5          
38991,9.39,5.35,0.77,0.389,F3w         
38992,8.12,33.43,1.28,0.789,K0          
38993,7.28,2.68,0.84,-0.086,B7V         
38994,5.77,3.17,0.47,-0.082,B2IVnpe     
38995,9.15,6.62,1.74,0.512,F8          
38996,9.04,2.02,0.83,0.453,Fm...       
38998,8.81,28.52,1.08,0.869,K0V         
38997,8.92,3.72,1.5,1.026,K2III       
38999,9.3,0.69,1.28,-0.043,B9V         
39000,7.37,8.38,1.16,1.103,G5          
39001,7.44,3.11,0.84,1.224,K1II/III    
39002,8.28,5.89,1.06,0.24,A0          
39003,7.66,3.11,0.97,1.572,K4III       
39004,9.5,0.52,1.11,0.11,B...        
39005,7.35,7.65,0.92,1.018,K0          
39006,8.66,3.17,1.32,0.999,G0          
39007,8.5,11.26,0.82,0.679,G3V         
39008,8.75,1.63,1.36,0.015,A0          
39010,10.61,3.9,2.71,1.079,            
39011,9.14,1.24,1.21,0,Ap...       
39013,6.84,1.49,0.53,-0.125,B2V         
39012,8.21,5.11,1.59,0.232,A3V         
39014,5.98,3.03,0.49,-0.143,B4V         
39015,8.89,-0.32,1.24,1.336,K2          
39016,8.9,3.21,1.29,1.134,K0          
39017,6.98,16.2,1,0.297,A3          
39018,9.82,2.01,1.48,0.219,A2          
39019,7.82,2.29,0.62,1.044,G6II/III    
39020,9.29,-0.53,1.07,0.001,B2/B3III    
39021,8.3,2.33,0.91,1.587,K5          
39022,9.4,5.29,1.36,0.988,K0          
39023,5.09,4.15,0.69,1.111,G8II        
39024,8.08,4.64,1.03,1.345,K3III       
39025,8.09,2.34,1.56,-0.1,F0IV        
39026,8.5,14.11,0.78,0.56,G1V         
39027,8.37,2.58,1.27,1.578,K5          
39028,7.24,0.99,0.6,-0.09,B5III/IV    
39029,8.75,3.13,1.2,0.62,G0          
39030,7.27,4.92,0.63,0.24,A5V+...     
39031,8.66,6.61,1.18,0.532,F5          
39032,8.45,6.01,1.54,1.082,G5          
39033,7.34,2.69,0.52,-0.07,B9II/III    
39034,8.19,2.74,0.83,0.004,B9/B9.5IV/V 
39035,6.35,2.54,2.9,-0.151,B2IV-V      
39036,7.91,3.11,1.16,0.093,A0          
39037,7.23,3.91,1.06,0.945,G5          
39038,6.37,3.89,6.13,-0.089,B2IV-V      
39039,9.23,19,0.85,0.866,K0V         
39041,6.33,7.97,0.49,0.128,A3III       
39040,9.43,0.29,1.52,0.751,G5          
39042,8.42,2.06,1.22,0.349,G2IIIv comp 
39043,8.54,3.46,1.21,0.078,A0V         
39044,8.44,16.02,1.16,0.515,F8          
39045,8.59,7.12,0.77,0.508,F6V         
39046,7.5,9.67,1.18,0.541,F8          
39047,8.61,1.39,1.25,1.015,G5          
39048,10.08,18.93,1.78,1.003,K3          
39049,7.53,4.41,0.97,1.263,K2          
39050,7.49,3.08,0.88,0.008,B9.5V       
39051,7.45,4.11,0.6,0.894,G6III       
39052,7.98,4.54,1.09,1.133,K0          
39053,8.94,1.76,1.27,1.658,K5          
39054,8.68,2.72,0.84,-0.016,B9V         
39055,8.82,8.76,1.21,0.559,G0          
39056,8.74,1.1,2.25,0.103,A0...       
39057,7.3,3.49,1.25,1.654,M2III:      
39058,7.87,11.12,1.29,0.486,F5          
39059,9.03,2.81,1.31,1.5,K5          
39061,5.22,17.28,0.58,0.4,F3V         
39062,7.67,9.9,0.87,0.331,A9IV/V      
39063,7.43,2.34,0.63,-0.126,B2/B3V      
39064,7.68,43.21,0.96,0.833,K0V         
39065,8.97,6.73,0.87,0.513,F6V         
39066,7.7,6.96,0.65,0.156,A3IV/V      
39067,6.05,10.83,1.12,1.325,K2          
39068,8.34,29.46,1.52,0.77,G5          
39069,6.84,2.58,0.61,1.355,K2          
39070,5.19,3.12,0.48,1.758,M0II        
39071,8.28,17.52,0.72,0.6,G5:+...     
39072,8.64,17.49,1.17,0.626,G0          
39073,6.3,2.39,0.5,-0.05,B8III       
39074,7.89,8.63,1.7,0.553,G0          
39075,7.76,1.28,1.29,1.578,K5          
39076,7.67,1.04,0.65,0.854,G8/K0III:+. 
39077,6.92,1.73,0.82,1.026,K0          
39078,9,0.54,0.98,1.071,G8/K0III    
39079,4.93,13.06,0.96,1.205,K2III       
39080,9.17,2.85,0.87,1.172,K1III       
39081,7.66,2.61,0.99,-0.055,B9IV/V      
39082,9.42,0.94,1.08,1.65,K9          
39084,6.71,2.74,0.8,-0.085,B8V         
39085,8.23,1.98,1.13,0.253,A3          
39086,10.93,-1.71,3.7,0.29,WN...       
39087,8.18,2.95,1.14,1.199,K5          
39088,9.25,19.52,0.83,0.831,K2V         
39089,8.1,4.47,1.44,0.191,A1IV/V      
39090,8.36,1.44,1.05,1.71,M1III       
39091,7.63,3.35,0.89,1.26,K2III       
39092,9.07,6.35,1.31,0.376,F5          
39093,9.14,2.88,1.52,0.071,A0          
39094,6.5,4.01,0.85,1.561,K5          
39095,4.61,13.69,0.81,0.087,A1V         
39096,7.98,31.64,1.36,0.657,G5          
39097,10.58,13.15,5.44,0.564,F8          
39098,8.02,6.54,0.69,0.778,G5V         
39099,8.45,7.6,1.91,0.465,F3V         
39100,8.02,2.63,0.87,0.006,B9.5IV/V    
39101,7.53,16.68,0.83,0.554,F7V         
39102,7.72,19.48,0.64,0.582,G2V         
39103,8.66,13.42,1.25,0.569,G5          
39104,7.7,-0.64,1.22,1.122,K0          
39105,8.25,1.78,0.79,-0.014,B9III       
39106,9.14,4.26,0.96,1.379,K3          
39107,7.22,2.19,0.53,-0.113,B5V         
39108,7.54,8.01,0.86,0.048,A0V         
