HIP,Vmag,Plx,e_Plx,B-V,SpType
251,8.65,-0.53,1.21,1.349,K2III       
252,10.3,-0.95,2.86,1.082,K0...       
253,6.46,6.78,0.88,1.176,K1III       
254,6.73,5.96,0.76,0.051,A2          
255,7.96,11.84,1.16,0.421,F2/F3V      
256,9.53,4.73,1.44,0.461,F0          
257,8.87,3.15,1.18,0.081,A0V         
258,6.59,6.28,0.78,1.122,K0          
259,8.65,0.54,1.23,1.455,M0          
260,9.64,6.1,1.44,0.432,F2V         
261,9.15,8.21,2.41,0.424,F3V         
262,9.04,4.31,1.25,0.422,F0V         
263,12.04,32.93,3.49,1.473,M1          
264,8.42,3.69,0.9,1.174,K0          
266,8.09,3.38,1.13,1.125,K1IIICN...  
265,9.06,1.06,0.94,1.688,K5III:      
267,8.09,11.66,1.42,0.455,F2          
268,8.18,0.24,1.01,1.462,K5          
269,8.77,3.82,1.02,1.125,G5          
270,7.36,4.7,0.63,0.146,A2          
271,9.16,4.81,1.11,0.232,A2III       
272,8.82,1.39,1.31,0.979,G8/K0III    
273,11.14,1.86,2.09,0.041,A0V         
274,6.24,0.93,0.57,0.332,B3Ia        
275,9.44,5.68,4.61,0.439,F3V         
276,7.49,15.55,0.95,0.636,G0          
277,6.96,15.84,0.81,0.353,F2V         
278,7.94,2.79,0.95,-0.023,B2IVne+...  
279,8.69,0.81,0.87,0.12,B8V         
280,8.15,4.83,0.97,0.134,A2          
281,8.45,2.88,1.1,1.655,M0          
282,7.92,1.62,0.97,1.408,K0          
283,7.45,4.99,0.99,0.353,A5          
284,9.01,2.11,1.04,0.956,G8III       
285,8.55,1.38,1.06,1.212,K1IV/VCN... 
286,9.23,0.11,0.93,1.006,K0          
287,9.16,1.19,1.4,1.538,K5          
288,7.9,5.49,0.97,1.071,K0          
289,8.68,3.48,1.17,1.011,K0III       
290,7.78,15.26,1.03,0.563,F8/G0V      
291,8.21,1.46,1.04,-0.123,Ap...       
292,8.11,2.92,0.79,-0.019,A0          
293,8.29,13.14,0.97,0.488,F6V         
294,7.89,8.63,1.11,0.401,F0          
295,9.67,2.83,1.45,0.397,F0V         
296,8.24,25.29,1.11,0.78,G8V         
297,6.8,6.42,0.75,0.06,A2          
298,8.18,2.81,1.03,1.015,K0          
299,8.44,9.67,0.86,0.508,F5V         
301,4.55,14.31,0.92,-0.047,B9IVn       
300,7.45,6.04,0.85,0.244,A3          
302,6.31,3.31,0.6,1.629,M4          
303,8.15,5.15,0.98,0.316,Am...       
304,8.27,6.16,1,0.136,A2          
305,7.66,20.44,0.96,0.741,G5IV        
306,8.59,14.36,2.44,0.616,G2V         
307,11.55,16.27,2.71,1.26,M0          
308,7.09,13.9,0.84,0.303,F0          
309,8.54,4.59,1.04,0.23,A7V         
310,9.58,12.24,1.44,0.7,G5V         
311,8.44,6.36,0.9,0.456,F0          
312,8.59,-0.56,0.85,0.36,B0Ibp       
313,8.01,10.62,1.46,0.406,F3/F5V      
314,8.29,5.58,1.02,0.54,G0          
315,9.62,6.67,0.97,0.657,F8V         
316,7.26,5.48,1.25,0.355,F0          
317,7.91,5.53,0.62,0.314,F0III/IV    
318,9.45,2.07,1.37,1.115,G8/K0IV     
319,8.19,1.2,0.84,0.26,O8e         
321,8.93,9.88,1.18,0.607,G2/G3V      
322,7.65,3.93,0.97,0.992,G8IV        
324,8.53,8.18,1,0.491,F5          
323,7.38,6.15,0.89,1.003,K0          
325,8.56,14.48,1.07,0.615,F8          
326,8.76,0.82,1.22,1.692,M0          
327,9.56,2.04,1.28,0.39,A2          
328,7.09,4.24,0.92,-0.085,B8V         
329,9.83,9.2,1.5,0.699,G5          
330,5.9,0.89,0.58,0.274,A1III       
331,10.8,1.88,2.21,0.882,Gp          
332,8.41,6.58,0.94,0.563,F6V         
333,9.05,5.54,1.44,0.16,A1/A2IV/V   
334,8.79,0.07,0.98,0.08,B0          
335,8.88,5.57,1.09,0.253,A0          
336,7.59,1.47,0.77,1.68,K5          
337,9.6,11.87,1.49,0.75,G5          
338,10.66,-1.21,1.79,1.45,B           
339,8.55,4.12,0.84,0.037,A1V         
340,8.11,14.91,1.01,0.484,F6V         
341,9.44,0.58,1.57,1.069,G8IV        
342,9.6,7.92,1.55,0.549,G0V         
343,5.78,11.29,0.92,1.084,K0III       
344,10.66,6.82,2.4,1.5,M5e-M7e     
345,6.38,7.75,0.91,0.006,A1V         
346,8.8,5.27,1.12,1.031,K1III       
347,7.79,2.46,0.85,-0.089,B3V         
348,8.6,16.79,1.13,0.64,G5          
349,7.77,4.1,1.06,-0.058,B8/B9V      
350,10.37,21.14,1.62,1.1,            
351,9.8,22.52,1.48,0.855,K0V         
352,10.42,12.99,1.76,0.8,            
353,11.63,5.72,6.2,0.971,            
354,9.22,3.01,1.4,1.001,K0          
355,4.99,2.03,0.93,1.619,K3Ibvar     
356,8.43,9.89,1.1,0.611,G0          
357,7.33,10.92,0.64,0.444,F2V         
358,8.93,0.95,0.79,1.025,G8III       
359,9.09,17.09,0.88,0.639,G3/G5III/IV 
360,9.26,4.67,0.93,1.162,K2          
361,8.73,3.4,0.93,1.036,K0III       
362,9.18,-0.43,1.49,1.169,K2III       
363,8.12,2.15,1.05,2.53,C5II        
364,9.26,1.99,1.57,1.149,K0III       
366,8.94,1.59,1.32,1.181,K1IV        
365,6.11,1.94,1.12,0.159,B9III       
367,9.13,1.38,0.79,0.239,A2/A3IV     
368,7.9,4.83,1.03,1.249,K2          
369,9.34,1.26,1.47,0.95,K0          
370,7.13,2.46,0.81,1.26,K1III       
371,10.82,0.81,2.56,1.021,M5          
372,7.46,4.15,0.66,1.072,K0/K1III    
373,8.72,1.39,1.34,1.508,K2          
374,7.02,6.13,1.59,1.1,K0          
376,8.37,4.04,1.18,0.881,K0          
377,5.59,5.7,0.53,-0.1,B8III       
378,7.37,11.46,0.84,0.422,F5IV        
379,5.68,10.3,0.58,1.051,K1III       
380,8.56,7.35,1.12,0.792,G5          
381,8.72,2.46,1.14,-0.014,A2          
382,9.06,4.16,1.2,0.368,F0V         
383,8.82,4.08,1.2,0.433,F0          
384,8.18,5.84,1.2,0.376,A5          
385,9.39,9.37,2.81,0.735,G5          
386,9.1,-0.59,1.02,0.652,B2          
387,8.46,1.61,0.92,0.556,F2          
388,9.15,5.46,1.38,0.394,A3          
389,8.28,5.65,1.16,0.002,A0IV        
