,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
526,V760_Sco-1,B4_V,1.731,6.99,-0.17,0.6972,0.0078,0.479,0.0095,4.177,0.021,4.228,0.013,2.82,0.05,4.9796635416448565,4.228,-0.17,-2.25,B,0.6261349786353886,16904.409316432633
527,V760_Sco-2,B4_V,1.731,6.99,-0.17,0.6646,0.0069,0.4216,0.0087,4.259,0.019,4.21,0.013,2.63,0.06,4.619553487999653,4.21,-0.17,-1.7749999999999997,B,0.6242820958356683,16218.100973589299
528,DI_Her-1,B5_V,10.55,8.42,-0.18,0.7147,0.009,0.4281,0.0075,4.297,0.018,4.23,0.02,2.73,0.08,5.184417883078229,4.23,-0.18,-2.0250000000000004,B,0.6263403673750424,16982.43652461746
529,DI_Her-2,B5_V,10.55,8.42,-0.18,0.6565,0.0063,0.3939,0.0079,4.307,0.017,4.179,0.02,2.46,0.08,4.53419297779014,4.179,-0.18,-1.3500000000000003,B,0.6210723711436259,15100.801541641493
530,V436_Per-1,B1.5_V,25.936,5.52,-0.18,0.8376,0.0023,0.5334,0.0059,4.209,0.012,4.332,0.02,3.351,0.081,6.880183161430382,4.332,-0.18,-3.5775,B,0.6366884479532827,21478.304741305332
531,V436_Per-2,B1.5_V,25.936,5.52,-0.18,0.8662,0.0023,0.5735,0.0031,4.157,0.006,4.342,0.02,3.471,0.079,7.348522021921092,4.342,-0.18,-3.8775,B,0.6376898191184012,21978.59872784823
532,CV_Vel-1,B2.5_V,6.889,6.69,-0.19,0.783,0.0008,0.6107,0.0032,4.0,0.008,4.255,0.012,3.204,0.048,6.067363295885055,4.255,-0.19,-3.21,B,0.6288995644206067,17988.709151287872
533,CV_Vel-2,B2.5_V,6.889,6.69,-0.19,0.7747,0.0008,0.5955,0.0033,4.021,0.008,4.25,0.012,3.137,0.048,5.952508167809472,4.25,-0.19,-3.0425000000000004,B,0.6283889300503115,17782.794100389227
534,V539_Ara-1,B3_V,3.169,5.71,-0.19,0.7951,0.0046,0.6581,0.0018,3.917,0.003,4.258,0.012,3.302,0.048,6.238784722719974,4.258,-0.19,-3.455000000000001,B,0.6292056571023038,18113.400926196027
535,V539_Ara-2,B4_V,3.169,5.71,-0.19,0.7253,0.0049,0.5533,0.0043,4.057,0.008,4.233,0.013,2.993,0.052,5.312512929036602,4.233,-0.19,-2.6825,B,0.6266482684740102,17100.15315090286
536,V1034_Sco-1,O9.2_IV,2.441,8.47,-0.22,1.2307,0.0036,0.8758,0.0043,3.917,0.009,4.508,0.007,4.738,0.028,17.009831049694473,4.508,-0.22,-7.045000000000001,O,0.653983907374069,32210.687912834346
537,V1034_Sco-2,B1:_V,2.441,8.47,-0.22,0.981,0.0024,0.6363,0.0051,4.147,0.01,4.412,0.005,3.874,0.028,9.571940712948445,4.412,-0.22,-4.885000000000001,B,0.6446355037681529,25822.601906345957
538,QX_Car-1,B2_V,4.478,6.64,-0.23,0.9669,0.0057,0.6324,0.0092,4.14,0.02,4.377,0.009,3.72,0.04,9.266164374937444,4.377,-0.23,-4.500000000000001,B,0.6411765466131141,23823.19469358689
539,QX_Car-2,B2_V,4.478,6.64,-0.23,0.9284,0.0062,0.6076,0.0098,4.151,0.021,4.354,0.01,3.58,0.04,8.480080988896919,4.354,-0.23,-4.15,B,0.6388884247050756,22594.35770220978
540,V478_Cyg-1,O9.5_II,2.881,8.63,-0.29,1.1875,0.0107,0.8609,0.0054,3.904,0.009,4.507,0.007,4.7,0.03,15.39926526059492,4.507,-0.29,-6.95,O,0.6538875580709775,32136.60538640315
541,V478_Cyg-2,O9.5_III,2.881,8.63,-0.29,1.1767,0.0101,0.8543,0.0055,3.907,0.01,4.502,0.008,4.67,0.04,15.021039909500775,4.502,-0.29,-6.875000000000001,O,0.6534054906645012,31768.74070649769
542,EM_Car-1,O7.5_V((f)),)     3.414,8.38,-0.31,1.3596,0.0061,0.9708,0.0079,3.856,0.017,4.531,0.026,5.02,0.1,22.887586570623625,4.531,-0.31,-7.749999999999999,O,0.6561940621791857,33962.52725904082
543,EM_Car-2,O7.5_V((f),)     3.414,8.38,-0.31,1.331,0.0067,0.9212,0.0073,3.926,0.016,4.531,0.026,4.92,0.1,21.428906011200585,4.531,-0.31,-7.500000000000001,O,0.6561940621791857,33962.52725904082
544,KOI-126_BC-1,M,1.722,14.0,1.7,-0.6286,0.0011,-0.5943,0.0014,4.998,0.003,3.51,0.005,-2.194,0.02,0.2351797909558368,3.51,1.7,10.285,M,0.5453071164658241,3235.936569296281
545,KOI-126_BC-2,M,1.722,14.0,1.7,-0.6834,0.0013,-0.6354,0.0013,5.026,0.003,3.501,0.005,-2.312,0.02,0.2073003331289365,3.501,1.7,10.579999999999998,M,0.5441921107650326,3169.56746304349
