,System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType,Temp(log),T(K)
348,AD_Boo-1,F6_V,2.069,9.38,0.44,0.1504,0.0028,0.2074,0.0038,4.173,0.008,3.818,0.008,0.64,0.03,1.4138391390945648,3.818,0.44,3.2,F,0.581835924057648,6576.578373554205
349,AD_Boo-2,G0_V,2.069,9.38,0.44,0.0824,0.0022,0.0849,0.0036,4.351,0.007,3.789,0.008,0.28,0.04,1.2089267852133,3.789,0.44,4.1,G,0.5785246052749932,6151.7687270986835
350,V455_Aur-1,F5_V,3.146,7.28,0.43,0.1102,0.0021,0.1427,0.0034,4.2626,0.007,3.813,0.013,0.492,0.054,1.28884294916022,3.813,0.43,3.57,F,0.5812668052736706,6501.296903430909
351,V455_Aur-2,F6_V,3.146,7.28,0.43,0.0905,0.0018,0.1199,0.0046,4.2887,0.0089,3.806,0.013,0.419,0.055,1.2316859857363551,3.806,0.43,3.7525,F,0.5804687839510017,6397.348354826482
352,V2080_Cyg-1,F4_V,4.934,7.4,0.42,0.0759,0.0062,0.203,0.0022,4.108,0.003,3.778,0.005,0.474,0.022,1.1909677459951866,3.778,0.42,3.615,F,0.5772619535858148,5997.910762555094
353,V2080_Cyg-2,F4_V,4.934,7.4,0.42,0.0633,0.0064,0.2038,0.0022,4.093,0.003,3.777,0.005,0.472,0.022,1.1569111321315513,3.777,0.42,3.62,F,0.577146984827525,5984.115950603199
354,V505_Per-1,F5_V,4.222,6.88,0.42,0.1053,0.0012,0.112,0.0005,4.3194,0.001,3.814,0.003,0.434,0.013,1.2743830896889656,3.814,0.42,3.715,F,0.5813806887099868,6516.283940608428
355,V505_Per-2,F5_V,4.222,6.88,0.42,0.0996,0.001,0.1016,0.0006,4.3343,0.001,3.81,0.013,0.399,0.013,1.257766432451254,3.81,0.42,3.8025,F,0.5809249756756193,6456.542290346556
356,HY_Vir-1,F0m,2.732,7.81,0.42,0.2643,0.0021,0.4481,0.0012,3.806,0.003,3.836,0.008,1.2,0.04,1.837807417364151,3.836,0.42,1.7999999999999998,F,0.583878598498626,6854.882264526614
357,HY_Vir-2,F5_V,2.732,7.81,0.42,0.1474,0.0019,0.1816,0.0023,4.222,0.004,3.816,0.008,0.58,0.04,1.4041063389204491,3.816,0.42,3.35,F,0.5816083660320575,6546.361740672747
358,VV_Crv-1,F5_IV,3.145,5.27,0.42,0.2962,0.0022,0.5283,0.0013,3.678,0.006,3.813,0.013,1.261,0.054,1.9778802779424007,3.813,0.42,1.6475,F,0.5812668052736706,6501.296903430909
359,VV_Crv-2,F5_V,3.145,5.27,0.42,0.1798,0.0023,0.2175,0.0021,4.183,0.009,3.822,0.013,0.676,0.054,1.512864388192928,3.822,0.42,3.1099999999999994,F,0.5822906827189941,6637.43070401909
360,HS_Hya-1,F5_V,1.568,8.12,0.41,0.0987,0.0027,0.1054,0.0025,4.3259,0.0056,3.8129,0.0033,0.415,0.014,1.255162628535088,3.8129,0.41,3.7625,F,0.5812554152873889,6499.80009683025
361,HS_Hya-2,F5_V,1.568,8.12,0.41,0.0859,0.0025,0.085,0.0025,4.3539,0.0057,3.8062,0.0034,0.347,0.015,1.2187089485092797,3.8062,0.41,3.9325,F,0.5804916049216542,6400.295121083712
362,VZ_Hya-1,F5_V,2.904,8.95,0.41,0.1041,0.0021,0.1186,0.0017,4.305,0.005,3.809,0.01,0.48,0.04,1.270866699392819,3.809,0.41,3.6,F,0.5808109726609463,6441.692655151775
363,VZ_Hya-2,F6_V,2.904,8.95,0.41,0.0592,0.0027,0.0461,0.0027,4.405,0.006,3.799,0.01,0.24,0.04,1.1460405911366027,3.799,0.41,4.2,F,0.5796692935547203,6295.061828571975
364,CPD_-54_810-1,none,26.132,10.45,0.41,0.1167,0.0017,0.2853,0.0007,3.9836,0.0012,3.81,0.003,0.766,0.011,1.3082778844452354,3.81,0.41,2.885,n,0.5809249756756193,6456.542290346556
365,CPD_-54_810-2,none,26.132,10.45,0.41,0.0373,0.0014,0.0724,0.0014,4.3297,0.0026,3.801,0.003,0.305,0.012,1.0896825594561703,3.801,0.41,4.0375,n,0.5798978696031037,6324.118513762197
366,V2154_Cyg-1,F3_V,2.631,7.83,0.4,0.1035,0.0058,0.1694,0.0035,4.2028,0.0089,3.831,0.01,0.616,0.039,1.2691121444451907,3.831,0.4,3.26,F,0.5833121519830777,6776.41507610675
367,V2154_Cyg-2,K2_V,2.631,7.83,0.4,-0.1225,0.0034,-0.1407,0.0055,4.597,0.012,3.701,0.013,-0.523,0.039,0.7542233958475708,3.701,0.4,6.1075,K,0.5683190850951118,5023.4258952238715
