logT,Absolute Mag,B-V,Predicted_SpT
3.803,4.05,0.66,G
3.813,4.11,0.63,G
3.822,4.2,0.6,G
3.792,0.33,0.497,A
3.86,0.45,0.273,A
3.94,0.5,0.081,A
3.943,0.68,0.076,A
4.029,0.79,-0.049,B
3.957,0.96,0.049,A
3.925,1.54,0.114,A
3.901,1.77,0.167,A
3.928,1.79,0.108,A
3.863,1.92,0.266,A
3.896,1.98,0.181,A
3.897,2.04,0.179,A
3.886,2.15,0.207,A
3.897,2.17,0.177,A
3.874,2.23,0.237,A
3.903,2.26,0.163,A
3.86,2.92,0.275,F
3.833,3.39,0.353,F
3.82,3.62,0.397,F
3.817,3.63,0.407,F
3.787,3.67,0.518,F
3.787,3.67,0.518,F
3.787,3.67,0.518,F
3.803,3.87,0.449,F
3.805,3.92,0.443,F
3.799,4.05,0.463,F
3.8,4.06,0.461,F
3.802,4.1,0.453,F
3.797,4.11,0.475,F
3.783,4.11,0.535,F
3.785,4.23,0.525,F
3.789,4.33,0.51,G
3.776,4.52,0.566,G
3.78,4.6,0.547,G
3.782,4.62,0.54,G
3.771,4.84,0.589,G
3.77,4.86,0.594,G
3.728,5.28,0.776,G
3.75,5.41,0.679,G
3.724,5.5,0.793,K
3.715,5.88,0.834,K
3.728,6.01,0.776,K
3.701,6.31,0.895,K
3.896,0.18,0.18,A
3.692,0.43,0.99,G
3.694,0.54,0.98,G
3.698,0.62,0.96,G
3.956,1.07,0.05,A
3.869,1.25,0.25,A
3.873,1.43,0.24,A
3.9,1.55,0.17,A
3.9,1.55,0.17,A
3.9,1.55,0.17,A
3.905,1.57,0.16,A
3.905,1.57,0.16,A
3.905,1.57,0.16,A
3.877,1.8,0.23,A
3.865,2.17,0.26,A
3.865,2.17,0.26,A
3.865,2.17,0.26,A
3.865,2.25,0.26,A
3.844,2.35,0.32,F
3.844,2.35,0.32,F
3.844,2.35,0.32,F
3.858,2.36,0.28,A
3.85,2.41,0.3,F
3.85,2.41,0.3,F
3.85,2.41,0.3,F
3.844,2.49,0.32,F
3.844,2.49,0.32,F
3.844,2.49,0.32,F
3.844,2.67,0.32,F
3.837,2.79,0.34,F
3.8,2.94,0.46,F
3.819,3.09,0.4,F
3.809,3.28,0.43,F
3.784,3.36,0.53,F
3.816,3.38,0.41,F
3.777,3.65,0.56,F
3.777,3.65,0.56,F
3.777,3.65,0.56,F
3.803,3.69,0.45,F
3.806,3.74,0.44,F
3.777,3.76,0.56,F
3.777,3.76,0.56,F
3.777,3.76,0.56,F
3.791,3.82,0.5,F
3.782,4.19,0.54,F
3.782,4.26,0.54,G
3.75,4.31,0.68,G
3.75,4.31,0.68,G
3.75,4.31,0.68,G
3.768,4.39,0.6,G
3.782,4.55,0.54,G
3.768,4.57,0.6,G
3.766,4.62,0.61,G
3.837,4.67,0.34,G
3.761,4.71,0.63,G
3.761,4.83,0.63,G
3.759,4.83,0.64,G
3.755,4.89,0.66,G
3.73,5.11,0.77,G
3.741,5.23,0.72,G
3.714,5.28,0.84,K
3.736,5.43,0.74,K
3.748,5.43,0.69,G
3.714,5.7,0.84,K
3.8,5.71,0.46,K
3.705,5.71,0.88,K
3.716,5.73,0.83,K
3.691,5.78,0.94,K
3.714,5.8,0.84,K
3.711,5.87,0.85,K
3.707,5.88,0.87,K
3.711,6.15,0.85,K
3.705,6.17,0.88,K
3.693,6.29,0.93,K
3.844,6.45,0.32,K
3.757,6.45,0.65,K
3.698,6.46,0.91,K
3.664,6.76,1.06,K
3.652,6.78,1.11,K
3.652,6.78,1.11,K
3.652,6.78,1.11,K
3.759,6.97,0.64,K
3.67,7.07,1.03,K
3.639,7.09,1.17,K
3.639,7.09,1.17,K
3.639,7.09,1.17,K
3.623,7.26,1.24,K
3.652,7.27,1.11,K
3.652,7.27,1.11,K
3.652,7.27,1.11,K
3.606,7.28,1.34,K
3.601,7.48,1.36,K
3.641,7.5,1.16,K
3.641,7.5,1.16,K
3.641,7.5,1.16,K
3.609,7.67,1.3,K
3.716,7.73,0.83,K
3.627,7.79,1.22,K
3.607,7.81,1.31,K
3.72,7.84,0.81,K
3.718,8.08,0.82,M
3.607,8.3,1.31,M
3.589,8.33,1.38,M
3.581,8.41,1.41,M
3.714,8.5,0.84,M
3.315,8.61,1.8,M
3.572,8.73,1.44,M
3.578,8.75,1.42,M
3.569,8.91,1.45,M
3.659,8.93,1.08,M
3.564,8.94,1.47,M
3.564,8.97,1.47,M
3.618,9.12,1.26,M
3.618,9.12,1.26,M
3.618,9.12,1.26,M
3.594,9.14,1.36,M
3.569,9.15,1.45,M
3.564,9.21,1.47,M
3.558,9.32,1.49,M
3.55,9.56,1.52,M
3.575,9.61,1.43,M
3.478,9.75,1.69,M
3.547,9.82,1.53,M
3.215,10.13,1.88,M
3.648,10.18,1.13,M
3.645,10.26,1.14,M
3.668,10.29,1.04,M
3.487,10.39,1.7,M
3.841,10.72,0.33,M
3.532,10.72,1.58,M
3.556,10.75,1.5,M
4.075,10.79,-0.09,K
4.01,10.95,-0.03,K
3.664,10.99,1.06,M
3.62,11.02,1.25,M
3.62,11.02,1.25,M
3.62,11.02,1.25,M
3.589,11.04,1.38,M
4.0,11.06,-0.02,K
3.535,11.22,1.57,M
3.65,11.32,1.12,M
3.055,11.39,2.02,M
3.515,11.42,1.64,M
3.515,11.53,1.64,M
3.586,11.6,1.39,M
3.538,11.61,1.56,M
3.532,11.7,1.58,M
3.535,11.71,1.57,M
3.547,11.74,1.53,M
3.62,11.9,1.25,M
3.62,11.9,1.25,M
3.62,11.9,1.25,M
3.641,11.9,1.16,M
3.67,11.92,1.03,M
3.526,12.01,1.6,M
3.592,12.03,1.37,M
3.7,12.04,0.9,M
3.723,12.07,0.8,M
3.589,12.09,1.38,M
3.607,12.1,1.31,M
3.607,12.1,1.31,M
3.607,12.1,1.31,M
3.435,12.11,1.88,M
3.625,12.15,1.23,M
3.521,12.19,1.62,M
3.695,12.24,0.92,M
3.512,12.32,1.65,M
3.535,12.35,1.57,M
3.686,12.41,0.96,M
3.666,12.42,1.05,M
3.586,12.43,1.39,M
3.547,12.46,1.53,M
2.815,12.54,2.2,M
3.618,12.58,1.26,M
3.618,12.58,1.26,M
3.618,12.58,1.26,M
3.064,12.63,2.11,M
3.509,12.7,1.66,M
3.55,12.73,1.52,M
2.976,12.75,2.15,M
3.465,12.76,1.81,M
3.782,12.83,0.54,M
3.768,12.88,0.6,M
3.5,12.9,1.69,M
3.476,12.9,1.77,M
3.436,12.93,1.91,M
3.518,12.94,1.63,M
3.782,12.99,0.54,M
3.575,13.02,1.43,M
3.521,13.21,1.62,M
2.948,13.24,2.2,M
3.521,13.47,1.62,M
3.618,13.78,1.26,M
3.387,13.9,2.09,M
3.387,13.9,2.09,M
3.411,13.93,2.0,M
3.425,13.94,1.95,M
3.594,14.35,1.36,M
3.594,14.35,1.36,M
3.594,14.35,1.36,M
3.586,14.89,1.39,M
3.586,14.89,1.39,M
3.586,14.89,1.39,M
3.509,15.14,1.66,M
3.479,15.34,1.76,M
3.641,15.53,1.16,M
3.9,15.88,0.17,M
4.167,-1.79,-0.11,B
4.087,-1.32,-0.06,B
4.167,-1.19,-0.11,B
4.062,-0.04,-0.04,B
3.988,0.26,0.04,A
4.0,0.79,0.02,A
4.04,0.93,-0.02,A
4.05,1.1,-0.03,A
3.975,1.31,0.06,A
4.0,1.32,0.02,A
3.941,1.45,0.12,A
3.923,1.68,0.16,A
3.981,1.76,0.05,A
3.95,1.85,0.1,A
3.95,2.02,0.1,A
3.963,2.04,0.08,A
3.927,2.27,0.15,A
3.905,2.35,0.2,A
3.858,2.46,0.32,F
3.858,2.46,0.32,F
3.858,2.46,0.32,F
3.9,2.54,0.21,A
3.844,2.61,0.36,F
3.844,2.61,0.36,F
3.844,2.61,0.36,F
3.877,2.67,0.27,F
3.881,2.75,0.26,F
3.844,2.77,0.36,F
3.865,2.87,0.3,F
3.85,3.08,0.34,F
3.847,3.1,0.35,F
3.813,3.19,0.46,F
3.813,3.19,0.46,F
3.813,3.19,0.46,F
3.803,3.55,0.49,F
3.813,3.57,0.46,F
3.789,3.75,0.55,F
3.789,3.75,0.55,F
3.789,3.75,0.55,F
3.813,3.79,0.46,F
3.795,3.95,0.52,F
3.809,3.96,0.47,F
3.789,4.2,0.55,F
3.791,4.33,0.54,G
3.791,4.38,0.54,G
3.786,4.52,0.56,G
3.786,4.61,0.56,G
3.773,4.63,0.62,G
3.748,4.7,0.73,G
3.777,4.81,0.6,G
3.77,4.89,0.63,G
3.768,4.92,0.64,G
3.768,4.98,0.64,G
3.711,4.98,0.89,K
3.766,5.02,0.65,G
3.761,5.05,0.67,G
3.768,5.06,0.64,G
3.759,5.16,0.68,G
3.755,5.3,0.7,G
3.732,5.31,0.8,G
3.714,5.36,0.88,K
3.718,5.41,0.86,K
3.714,5.54,0.88,K
3.705,5.77,0.92,K
3.73,5.79,0.81,K
3.752,5.83,0.71,K
3.718,5.84,0.86,K
3.72,5.9,0.85,K
3.723,5.97,0.84,K
3.727,6.03,0.82,K
3.714,6.04,0.88,K
3.723,6.07,0.84,K
3.716,6.21,0.87,K
3.7,6.43,0.94,K
3.689,6.52,0.99,K
3.705,6.62,0.92,K
3.652,6.66,1.15,K
3.652,6.66,1.15,K
3.652,6.66,1.15,K
3.682,6.68,1.02,K
3.677,6.91,1.04,K
3.73,7.01,0.81,K
3.689,7.07,0.99,K
3.677,7.21,1.04,K
3.734,7.39,0.79,K
3.618,7.4,1.3,K
3.652,7.8,1.15,K
3.768,7.86,0.64,K
3.768,7.86,0.64,K
3.607,7.89,1.35,K
3.59,7.96,1.44,K
3.564,8.06,1.58,M
3.677,8.12,1.04,M
3.691,8.44,0.98,M
3.594,8.52,1.4,M
3.616,8.52,1.31,M
3.618,8.74,1.3,M
3.634,8.82,1.23,M
3.634,8.82,1.23,M
3.634,8.82,1.23,M
3.645,9.06,1.18,M
3.572,9.36,1.48,M
3.741,9.82,0.76,M
3.816,-3.81,0.481,F
3.816,-3.81,0.481,F
3.816,-3.81,0.481,F
3.816,-3.81,0.481,F
4.33,-2.72,-0.172,B
4.33,-2.72,-0.172,B
4.33,-2.72,-0.172,B
4.33,-2.72,-0.172,B
4.235,-2.61,-0.118,B
4.235,-2.61,-0.118,B
4.097,-1.6,-0.028,B
4.097,-1.6,-0.028,B
4.183,-1.4,-0.08,B
4.183,-1.4,-0.08,B
4.21,-0.94,-0.098,B
4.21,-0.94,-0.098,B
4.202,-0.63,-0.092,B
4.202,-0.63,-0.092,B
4.122,-0.6,-0.043,B
4.122,-0.6,-0.043,B
4.183,-0.56,-0.08,B
4.183,-0.56,-0.08,B
4.152,-0.45,-0.061,B
4.152,-0.45,-0.061,B
4.152,-0.45,-0.061,B
4.152,-0.45,-0.061,B
4.177,-0.34,-0.076,B
4.177,-0.34,-0.076,B
4.217,-0.14,-0.104,B
4.217,-0.14,-0.104,B
4.155,-0.13,-0.063,B
4.155,-0.13,-0.063,B
4.123,-0.02,-0.044,B
4.123,-0.02,-0.044,B
4.117,0.22,-0.04,B
4.117,0.22,-0.04,B
4.182,0.46,-0.079,B
4.182,0.46,-0.079,B
3.959,0.64,0.126,A
3.959,0.64,0.126,A
4.097,1.02,-0.028,A
4.097,1.02,-0.028,A
4.086,1.15,-0.019,A
4.086,1.15,-0.019,A
4.082,1.23,-0.016,A
4.082,1.23,-0.016,A
4.035,1.28,0.025,A
4.035,1.28,0.025,A
4.087,1.29,-0.02,A
4.087,1.29,-0.02,A
4.045,1.39,0.015,A
4.045,1.39,0.015,A
4.02,1.55,0.04,A
4.02,1.55,0.04,A
4.026,1.59,0.034,A
4.026,1.59,0.034,A
4.013,1.66,0.047,A
4.013,1.66,0.047,A
3.98,1.68,0.092,A
3.98,1.68,0.092,A
4.033,1.74,0.027,A
4.033,1.74,0.027,A
4.054,1.76,0.007,A
4.054,1.76,0.007,A
4.057,1.85,0.004,A
3.967,1.86,0.113,A
3.967,1.86,0.113,A
4.026,1.89,0.034,A
4.026,1.89,0.034,A
3.966,2.03,0.114,A
3.966,2.03,0.114,A
3.992,2.04,0.073,A
3.992,2.04,0.073,A
3.973,2.06,0.103,A
3.973,2.06,0.103,A
3.967,2.12,0.113,A
3.967,2.12,0.113,A
3.973,2.25,0.104,A
3.973,2.25,0.104,A
3.983,2.27,0.088,A
3.983,2.27,0.088,A
3.965,2.33,0.116,A
3.965,2.33,0.116,A
3.962,2.34,0.121,A
3.962,2.34,0.121,A
3.973,2.35,0.104,A
3.973,2.35,0.104,A
3.916,2.49,0.214,A
3.916,2.49,0.214,A
3.938,2.49,0.166,A
3.938,2.49,0.166,A
3.963,2.55,0.119,A
3.963,2.55,0.119,A
3.929,2.59,0.187,A
3.929,2.59,0.187,A
3.966,2.75,0.115,A
3.935,2.81,0.173,A
3.935,2.81,0.173,A
3.928,2.82,0.189,A
3.928,2.82,0.189,A
3.923,2.88,0.2,A
3.923,2.88,0.2,A
3.876,2.92,0.312,F
3.876,2.92,0.312,F
3.876,2.92,0.312,F
3.876,2.92,0.312,F
3.923,2.99,0.199,A
3.923,2.99,0.199,A
3.865,3.0,0.34,F
3.865,3.0,0.34,F
3.865,3.0,0.34,F
3.865,3.0,0.34,F
3.886,3.04,0.286,F
3.886,3.04,0.286,F
3.951,3.08,0.139,A
3.896,3.15,0.261,F
3.896,3.15,0.261,F
3.89,3.18,0.276,F
3.89,3.18,0.276,F
3.89,3.19,0.276,F
3.89,3.19,0.276,F
3.815,3.28,0.492,F
3.815,3.28,0.492,F
3.792,3.33,0.577,F
3.792,3.33,0.577,F
3.869,3.35,0.331,F
3.869,3.35,0.331,F
3.875,3.37,0.316,F
3.875,3.37,0.316,F
3.869,3.38,0.33,F
3.869,3.38,0.33,F
3.866,3.45,0.338,F
3.866,3.45,0.338,F
3.884,3.53,0.291,F
3.868,3.54,0.333,F
3.868,3.54,0.333,F
3.861,3.54,0.351,F
3.861,3.54,0.351,F
3.846,3.56,0.394,F
3.846,3.56,0.394,F
3.836,3.57,0.426,F
3.836,3.57,0.426,F
3.846,3.6,0.392,F
3.846,3.6,0.392,F
3.807,3.61,0.517,F
3.807,3.61,0.517,F
3.841,3.62,0.408,F
3.841,3.62,0.408,F
3.827,3.63,0.453,F
3.827,3.63,0.453,F
3.827,3.63,0.453,F
3.827,3.63,0.453,F
3.834,3.65,0.43,F
3.834,3.65,0.43,F
3.84,3.65,0.413,F
3.84,3.65,0.413,F
3.844,3.88,0.399,F
3.844,3.88,0.399,F
3.829,3.96,0.446,F
3.829,3.96,0.446,F
3.829,4.01,0.446,F
3.829,4.01,0.446,F
3.834,4.02,0.43,F
3.834,4.02,0.43,F
3.809,4.06,0.51,F
3.809,4.06,0.51,F
3.829,4.06,0.446,F
3.829,4.06,0.446,F
3.832,4.08,0.439,F
3.832,4.08,0.439,F
3.82,4.11,0.476,F
3.82,4.11,0.476,F
3.816,4.11,0.488,F
3.816,4.11,0.488,F
3.821,4.12,0.472,F
3.821,4.12,0.472,F
3.769,4.19,0.676,G
3.769,4.19,0.676,G
3.795,4.2,0.562,G
3.785,4.25,0.605,G
3.785,4.25,0.605,G
3.816,4.26,0.489,F
3.816,4.26,0.489,F
3.785,4.26,0.608,G
3.785,4.26,0.608,G
3.813,4.3,0.497,G
3.813,4.3,0.497,G
3.778,4.33,0.636,G
3.778,4.33,0.636,G
3.796,4.33,0.558,G
3.796,4.33,0.558,G
3.813,4.34,0.499,G
3.813,4.34,0.499,G
3.823,4.35,0.468,G
3.815,4.36,0.492,G
3.815,4.36,0.492,G
3.808,4.39,0.516,G
3.808,4.39,0.516,G
3.789,4.39,0.588,G
3.789,4.39,0.588,G
3.796,4.4,0.557,G
3.796,4.4,0.557,G
3.747,4.42,0.772,G
3.747,4.42,0.772,G
3.815,4.43,0.492,G
3.796,4.46,0.556,G
3.796,4.46,0.556,G
3.799,4.46,0.546,G
3.799,4.46,0.546,G
3.777,4.46,0.639,G
3.777,4.46,0.639,G
3.797,4.46,0.552,G
3.797,4.46,0.552,G
3.808,4.49,0.513,G
3.808,4.49,0.513,G
3.809,4.51,0.512,G
3.799,4.57,0.546,G
3.799,4.57,0.546,G
3.798,4.68,0.551,G
3.788,4.68,0.592,G
3.788,4.68,0.592,G
3.798,4.7,0.551,G
