logT,Absolute Mag,B-V,Predicted_SpT
3.847,5.44,1.1,K
3.865,5.44,1.05,K
3.881,5.44,1.01,K
3.819,5.46,1.19,K
3.885,5.47,1.0,K
3.813,5.48,1.21,K
3.813,5.48,1.21,K
3.813,5.48,1.21,K
3.816,5.48,1.2,K
3.816,5.48,1.2,K
3.816,5.48,1.2,K
3.873,5.52,1.03,K
3.803,5.53,1.24,K
3.803,5.53,1.24,K
3.803,5.53,1.24,K
3.847,5.54,1.1,K
3.9,5.56,0.96,K
3.909,5.57,0.94,K
3.793,5.58,1.28,K
3.885,5.58,1.0,K
3.828,5.6,1.16,K
3.8,5.6,1.25,K
3.8,5.6,1.25,K
3.8,5.6,1.25,K
3.834,5.62,1.14,K
3.85,5.63,1.09,K
3.888,5.63,0.99,K
3.865,5.65,1.05,K
3.831,5.65,1.15,K
3.862,5.67,1.06,K
3.803,5.68,1.24,K
3.803,5.68,1.24,K
3.803,5.68,1.24,K
3.881,5.69,1.01,K
3.795,5.71,1.27,K
3.795,5.71,1.27,K
3.795,5.71,1.27,K
3.809,5.71,1.22,K
3.809,5.73,1.22,K
3.828,5.74,1.16,K
3.896,5.74,0.97,K
3.892,5.77,0.98,K
3.809,5.77,1.22,K
3.956,5.79,0.84,K
3.927,5.8,0.9,K
3.854,5.84,1.08,K
3.847,5.84,1.1,K
3.813,5.85,1.21,K
3.885,5.85,1.0,K
3.825,5.87,1.17,K
3.825,5.88,1.17,K
3.793,5.89,1.28,K
3.793,5.89,1.28,K
3.793,5.89,1.28,K
3.782,5.9,1.33,K
3.782,5.9,1.33,K
3.782,5.9,1.33,K
3.793,5.95,1.28,K
3.896,6.0,0.97,K
3.914,6.01,0.93,K
3.798,6.05,1.26,K
3.841,6.05,1.12,K
3.865,6.09,1.05,K
3.881,6.11,1.01,K
3.873,6.15,1.03,K
4.569,-6.17,-0.3,O
4.569,-6.17,-0.3,O
4.569,-6.17,-0.3,O
4.564,-6.1,-0.3,O
4.564,-6.1,-0.3,O
4.564,-6.1,-0.3,O
4.85,-5.02,-0.34,O
5.35,-4.75,-0.39,O
5.05,-4.68,-0.36,O
4.8,-4.56,-0.33,O
4.45,-4.28,-0.29,O
4.45,-4.28,-0.29,O
4.45,-4.28,-0.29,O
4.6,-3.83,-0.31,B
4.45,-3.27,-0.29,B
4.283,-3.2,-0.23,B
4.7,-3.16,-0.32,B
4.25,-2.62,-0.21,B
4.35,-2.6,-0.26,B
4.183,-2.31,-0.16,B
4.4,-2.26,-0.28,B
4.238,-2.23,-0.2,B
4.238,-2.23,-0.2,B
4.238,-2.23,-0.2,B
4.238,-2.15,-0.2,B
4.238,-2.15,-0.2,B
4.238,-2.15,-0.2,B
4.05,-2.0,-0.07,B
4.238,-1.93,-0.2,B
4.225,-1.92,-0.19,B
4.238,-1.83,-0.2,B
4.375,-1.78,-0.27,B
4.3,-1.76,-0.24,B
4.238,-1.67,-0.2,B
4.212,-1.66,-0.18,B
4.133,-1.6,-0.13,B
4.117,-1.55,-0.12,B
4.2,-1.5,-0.17,B
4.375,-1.49,-0.27,B
4.375,-1.47,-0.27,B
4.062,-1.47,-0.08,B
4.133,-1.39,-0.13,B
4.133,-1.39,-0.13,B
4.133,-1.39,-0.13,B
4.1,-1.05,-0.11,B
4.225,-1.05,-0.19,B
4.117,-0.99,-0.12,B
4.117,-0.99,-0.12,B
4.117,-0.99,-0.12,B
4.3,-0.99,-0.24,B
4.2,-0.87,-0.17,B
4.167,-0.85,-0.15,B
4.2,-0.83,-0.17,B
4.35,-0.81,-0.26,B
4.2,-0.7,-0.17,B
4.212,-0.63,-0.18,B
4.02,-0.55,-0.04,B
4.1,-0.12,-0.11,B
4.1,-0.06,-0.11,B
4.062,-0.04,-0.08,B
4.117,-0.93,0.12,B
4.133,-0.66,0.11,A
4.133,-0.66,0.11,A
4.133,-0.66,0.11,A
4.1,-0.3,0.13,A
4.1,-0.3,0.13,A
4.1,-0.3,0.13,A
4.2,-0.15,0.07,B
4.167,-0.13,0.09,A
4.087,-0.11,0.14,A
4.087,-0.11,0.14,A
4.087,-0.11,0.14,A
4.117,1.78e-15,0.12,A
4.133,0.24,0.11,A
4.238,0.56,0.04,A
4.133,0.73,0.11,A
4.087,0.92,0.14,A
4.117,1.03,0.12,A
4.03,1.19,0.19,A
4.02,1.35,0.2,A
4.03,1.41,0.19,A
4.117,1.5,0.12,A
4.1,1.52,0.13,A
4.01,1.79,0.21,A
4.05,1.84,0.17,A
3.963,1.87,0.28,A
4.03,1.94,0.19,A
3.652,2.07,1.43,K
3.652,2.07,1.43,K
3.652,2.07,1.43,K
3.956,2.19,0.29,A
3.941,2.26,0.32,A
3.963,2.31,0.28,A
3.975,2.35,0.26,A
3.988,2.38,0.24,A
4.0,2.43,0.22,A
3.981,2.44,0.25,A
3.975,2.72,0.26,A
3.9,2.82,0.41,F
3.936,2.83,0.33,F
3.909,2.93,0.39,F
3.923,3.05,0.36,F
3.877,3.05,0.47,F
3.885,3.14,0.45,F
3.905,3.3,0.4,F
3.597,-0.81,1.45,K
3.963,-0.31,0.04,B
3.706,-0.22,0.92,G
3.706,-0.22,0.92,G
3.706,-0.22,0.92,G
3.994,-0.16,-0.01,B
3.969,0.01,0.03,B
3.715,0.17,0.87,G
4.01,0.43,-0.03,B
3.975,0.43,0.02,A
4.01,0.51,-0.03,B
3.981,0.75,0.01,A
3.994,0.78,-0.01,A
3.95,0.86,0.06,A
3.95,0.86,0.06,A
3.95,0.86,0.06,A
3.945,0.92,0.07,A
3.945,0.92,0.07,A
3.945,0.92,0.07,A
3.932,1.24,0.1,A
3.932,1.24,0.1,A
3.932,1.24,0.1,A
3.945,1.29,0.07,A
3.923,1.33,0.12,A
3.923,1.33,0.12,A
3.923,1.33,0.12,A
3.981,1.48,0.01,A
3.936,1.59,0.09,A
3.927,1.76,0.11,A
3.963,2.13,0.04,A
3.941,2.28,0.08,A
3.905,2.35,0.16,A
3.896,2.65,0.18,A
3.9,2.65,0.17,A
3.873,2.68,0.24,A
3.881,2.7,0.22,A
3.881,2.86,0.22,A
3.837,3.45,0.34,F
3.798,3.52,0.47,F
3.825,3.7,0.38,F
3.816,3.71,0.41,F
3.988,-0.44,0.0,B
4.02,-0.17,-0.04,B
4.0,-0.17,-0.02,B
4.0,0.35,-0.02,B
4.0,0.35,-0.02,B
4.0,0.35,-0.02,B
3.981,0.65,0.01,A
3.963,0.85,0.04,A
3.95,0.97,0.06,A
3.95,0.97,0.06,A
3.95,0.97,0.06,A
3.981,1.52,0.01,A
3.963,1.68,0.04,A
3.9,1.88,0.17,A
3.936,1.92,0.09,A
3.941,2.03,0.08,A
3.927,2.07,0.11,A
3.881,2.07,0.22,A
3.905,2.15,0.16,A
3.896,2.5,0.18,A
3.936,2.67,0.09,A
3.862,2.96,0.27,F
3.85,3.14,0.3,F
3.819,3.33,0.4,F
3.791,3.95,0.5,F
4.167,0.1,0.13,A
4.075,0.48,0.19,A
4.225,0.7,0.09,A
4.117,0.76,0.16,A
4.212,0.79,0.1,A
3.831,0.94,0.64,A
4.1,0.97,0.17,A
4.2,1.02,0.11,A
4.117,1.04,0.16,A
4.087,1.08,0.18,A
3.914,1.13,0.42,F
4.15,1.22,0.14,A
3.896,1.26,0.46,F
3.733,1.29,1.06,K
4.03,1.36,0.23,A
4.117,1.43,0.16,A
3.638,1.64,1.54,K
3.638,1.64,1.54,K
3.638,1.64,1.54,K
3.865,1.68,0.54,A
3.969,1.71,0.31,A
3.623,1.73,1.61,K
3.822,1.77,0.67,A
4.062,1.8,0.2,A
3.803,1.9,0.73,F
3.698,1.9,1.24,K
3.668,1.98,1.39,K
4.0,2.0,0.26,A
3.844,2.03,0.6,A
3.932,2.06,0.38,A
3.932,2.06,0.38,A
3.932,2.06,0.38,A
3.365,2.06,2.04,K
3.841,2.09,0.61,F
3.704,2.12,1.21,K
3.981,2.16,0.29,A
3.715,2.17,1.15,K
4.04,2.22,0.22,A
3.253,2.23,2.13,K
3.672,2.25,1.37,K
3.715,2.27,1.15,K
3.65,2.3,1.48,K
3.65,2.3,1.48,K
3.65,2.3,1.48,K
3.969,2.31,0.31,A
3.936,2.34,0.37,F
3.981,2.47,0.29,A
3.662,2.52,1.42,K
3.662,2.52,1.42,K
3.662,2.52,1.42,K
3.927,2.53,0.39,F
3.68,2.6,1.33,K
3.994,2.61,0.27,A
3.994,2.66,0.27,A
3.975,2.74,0.3,F
3.668,2.75,1.39,K
3.668,2.75,1.39,K
3.668,2.75,1.39,K
3.909,2.76,0.43,F
3.927,2.76,0.39,F
3.078,2.79,2.27,K
3.877,2.84,0.51,F
3.877,2.84,0.51,F
3.877,2.84,0.51,F
3.678,2.91,1.34,K
3.682,2.96,1.32,K
3.9,3.03,0.45,F
3.905,3.06,0.44,F
3.932,3.07,0.38,F
3.877,3.22,0.51,F
3.858,3.25,0.56,F
3.888,3.25,0.48,F
3.858,3.36,0.56,F
3.885,3.41,0.49,F
3.877,3.41,0.51,F
3.909,3.45,0.43,F
3.85,3.46,0.58,F
3.873,3.47,0.52,F
3.841,3.48,0.61,F
3.841,3.48,0.61,F
3.841,3.48,0.61,F
3.927,3.5,0.39,F
3.869,3.56,0.53,F
3.885,3.58,0.49,F
3.892,3.59,0.47,F
3.905,3.6,0.44,F
3.847,3.71,0.59,F
3.834,3.73,0.63,G
3.858,3.76,0.56,F
3.837,3.77,0.62,G
3.892,3.85,0.47,F
3.828,3.86,0.65,G
3.819,3.93,0.68,G
3.841,3.95,0.61,G
3.816,3.96,0.69,G
3.816,3.96,0.69,G
3.816,3.96,0.69,G
3.819,4.0,0.68,G
3.8,4.0,0.74,G
3.8,4.0,0.74,G
3.8,4.0,0.74,G
3.837,4.02,0.62,G
3.813,4.05,0.7,G
3.847,4.23,0.59,G
3.789,4.26,0.79,G
3.789,4.26,0.79,G
3.789,4.26,0.79,G
3.844,4.26,0.6,G
3.822,4.33,0.67,G
3.837,4.34,0.62,G
3.854,4.35,0.57,G
3.858,4.36,0.56,G
3.854,4.39,0.57,G
3.837,4.48,0.62,G
3.803,4.5,0.73,G
3.8,4.55,0.74,G
3.819,4.58,0.68,G
3.819,4.59,0.68,G
3.834,4.66,0.63,G
3.798,4.68,0.75,G
3.795,4.77,0.76,G
3.789,4.98,0.79,G
3.831,5.0,0.64,G
3.78,5.01,0.83,G
3.828,5.09,0.65,G
3.766,5.18,0.89,K
3.791,5.21,0.78,G
3.777,5.35,0.84,G
3.782,5.41,0.82,G
3.597,0.67,1.93,K
3.873,0.8,0.72,A
3.702,0.82,1.42,K
3.702,0.82,1.42,K
3.702,0.82,1.42,K
3.568,1.08,2.03,K
3.676,1.36,1.55,K
3.676,1.36,1.55,K
3.676,1.36,1.55,K
3.936,1.51,0.57,A
3.694,1.52,1.46,K
3.694,1.52,1.46,K
3.694,1.52,1.46,K
3.941,1.6,0.56,A
3.694,1.61,1.46,K
3.684,1.71,1.51,K
3.684,1.71,1.51,K
3.684,1.71,1.51,K
3.713,1.76,1.36,K
3.713,1.76,1.36,K
3.888,1.93,0.68,A
4.0,1.98,0.46,A
4.062,2.0,0.4,A
3.936,2.05,0.57,A
3.927,2.13,0.59,F
3.975,2.15,0.5,F
4.183,2.16,0.32,A
4.02,2.22,0.44,F
3.95,2.42,0.54,F
3.95,2.42,0.54,F
3.95,2.42,0.54,F
3.988,2.56,0.48,F
3.969,2.57,0.51,F
3.988,2.6,0.48,F
4.062,2.66,0.4,F
4.062,2.75,0.4,F
4.0,2.86,0.46,F
3.994,2.91,0.47,F
3.95,3.1,0.54,F
3.914,3.16,0.62,F
4.075,3.21,0.39,F
3.956,3.22,0.53,F
3.994,3.32,0.47,F
3.95,3.34,0.54,F
3.945,3.35,0.55,F
3.95,3.45,0.54,F
3.941,3.6,0.56,F
3.945,3.6,0.55,F
3.905,3.76,0.64,G
3.914,3.78,0.62,F
3.896,3.84,0.66,G
3.844,4.05,0.8,G
3.847,4.13,0.79,G
3.865,4.2,0.74,G
3.881,4.26,0.7,G
3.837,4.3,0.82,G
3.621,0.68,1.53,K
3.621,0.68,1.53,K
3.621,0.68,1.53,K
3.713,0.86,1.07,K
3.606,0.97,1.6,K
3.67,1.0,1.29,K
3.67,1.0,1.29,K
3.67,1.0,1.29,K
3.672,1.03,1.28,K
3.672,1.03,1.28,K
3.672,1.03,1.28,K
3.727,1.04,1.0,K
3.656,1.36,1.36,K
3.656,1.36,1.36,K
3.656,1.36,1.36,K
3.662,1.39,1.33,K
3.662,1.39,1.33,K
3.662,1.39,1.33,K
3.834,1.39,0.54,A
3.704,1.45,1.12,K
3.76,1.45,0.83,G
3.869,1.46,0.44,F
3.981,1.58,0.2,A
3.662,1.61,1.33,K
3.662,1.61,1.33,K
3.662,1.61,1.33,K
3.684,1.62,1.22,K
3.858,1.7,0.47,A
3.975,1.77,0.21,A
3.708,1.84,1.1,K
3.941,1.89,0.27,A
3.914,1.97,0.33,A
3.914,1.97,0.33,A
3.914,1.97,0.33,A
3.877,2.07,0.42,F
3.71,2.15,1.09,K
3.862,2.22,0.46,F
3.885,2.33,0.4,F
3.885,2.33,0.4,F
3.885,2.33,0.4,F
3.873,2.34,0.43,F
3.892,2.4,0.38,F
3.892,2.41,0.38,F
3.936,2.42,0.28,A
3.858,2.67,0.47,F
3.905,2.7,0.35,F
3.95,2.7,0.25,A
3.869,2.8,0.44,F
3.873,2.82,0.43,F
3.9,2.85,0.36,F
3.873,2.86,0.43,F
3.888,2.87,0.39,F
3.881,2.89,0.41,F
3.862,2.9,0.46,F
3.847,3.0,0.5,F
3.847,3.0,0.5,F
3.847,3.0,0.5,F
3.905,3.01,0.35,F
3.825,3.01,0.57,F
3.877,3.13,0.42,F
3.918,3.18,0.32,F
3.862,3.24,0.46,F
3.854,3.39,0.48,F
3.918,3.4,0.32,F
3.828,3.45,0.56,F
3.828,3.45,0.56,F
3.828,3.45,0.56,F
3.885,3.47,0.4,F
3.803,3.49,0.64,G
3.813,3.51,0.61,F
3.813,3.51,0.61,F
3.813,3.51,0.61,F
3.85,3.52,0.49,F
3.822,3.52,0.58,F
3.822,3.52,0.58,F
3.822,3.52,0.58,F
3.873,3.54,0.43,F
3.858,3.54,0.47,F
3.813,3.55,0.61,F
3.813,3.55,0.61,F
3.813,3.55,0.61,F
3.834,3.55,0.54,F
3.869,3.67,0.44,F
3.844,3.71,0.51,F
3.854,3.72,0.48,F
3.834,3.74,0.54,F
3.862,3.79,0.46,F
3.854,3.83,0.48,F
3.793,3.88,0.68,G
3.793,3.88,0.68,G
3.793,3.88,0.68,G
3.841,3.91,0.52,F
3.816,4.03,0.6,G
3.847,4.06,0.5,F
3.825,4.17,0.57,F
3.793,4.2,0.68,G
3.656,1.33,1.7,K
3.656,1.33,1.7,K
3.656,1.33,1.7,K
3.888,1.4,0.73,A
3.623,1.42,1.86,K
3.623,1.42,1.86,K
3.623,1.42,1.86,K
3.662,1.64,1.67,K
3.662,1.64,1.67,K
3.662,1.64,1.67,K
3.752,1.7,1.21,K
4.1,1.8,0.42,F
3.698,1.82,1.49,K
3.704,1.84,1.46,K
3.702,1.9,1.47,K
3.713,1.92,1.41,K
3.888,1.99,0.73,F
3.723,2.01,1.36,K
3.717,2.08,1.39,K
3.702,2.09,1.47,K
3.713,2.11,1.41,K
3.706,2.12,1.45,K
3.702,2.17,1.47,K
3.698,2.2,1.49,K
3.702,2.21,1.47,K
3.708,2.28,1.44,K
3.704,2.3,1.46,K
3.694,2.31,1.51,K
3.708,2.33,1.44,K
3.713,2.36,1.41,K
3.717,2.37,1.39,K
3.694,2.41,1.51,K
3.682,2.54,1.57,K
3.865,2.6,0.79,F
3.71,2.7,1.43,K
3.793,2.79,1.02,K
3.822,2.83,0.92,G
3.789,2.84,1.04,K
3.865,2.86,0.79,G
3.837,2.89,0.87,G
3.847,2.9,0.84,G
3.809,2.91,0.96,K
3.758,2.92,1.18,K
3.837,3.05,0.87,G
3.905,3.1,0.69,F
3.905,3.1,0.69,F
3.905,3.1,0.69,F
3.854,3.1,0.82,G
3.831,3.14,0.89,G
3.806,3.15,0.97,K
4.062,3.16,0.45,F
3.873,3.19,0.77,G
3.816,3.2,0.94,G
3.844,3.21,0.85,G
3.869,3.21,0.78,G
3.877,3.24,0.76,G
3.865,3.25,0.79,G
3.822,3.26,0.92,G
3.9,3.27,0.7,F
3.9,3.27,0.7,F
3.9,3.27,0.7,F
3.9,3.29,0.7,F
3.9,3.29,0.7,F
3.9,3.29,0.7,F
4.03,3.29,0.48,F
3.837,3.3,0.87,G
3.865,3.3,0.79,G
3.862,3.3,0.8,G
3.706,3.31,1.45,K
3.837,3.32,0.87,G
3.85,3.33,0.83,G
3.869,3.34,0.78,G
3.854,3.34,0.82,G
3.877,3.35,0.76,G
3.825,3.36,0.91,G
3.862,3.37,0.8,G
3.854,3.38,0.82,G
3.825,3.42,0.91,G
3.885,3.45,0.74,G
3.885,3.45,0.74,G
3.885,3.45,0.74,G
3.78,3.48,1.08,K
3.873,3.48,0.77,G
3.873,3.48,0.77,G
3.873,3.48,0.77,G
3.881,3.52,0.75,G
3.881,3.52,0.75,G
3.881,3.52,0.75,G
3.847,3.52,0.84,G
3.862,3.52,0.8,G
3.885,3.53,0.74,G
3.885,3.53,0.74,G
3.885,3.53,0.74,G
3.854,3.55,0.82,G
3.831,3.57,0.89,G
3.841,3.58,0.86,G
3.896,3.58,0.71,G
3.909,3.58,0.68,G
3.831,3.58,0.89,G
3.837,3.61,0.87,G
3.865,3.61,0.79,G
3.865,3.61,0.79,G
3.865,3.61,0.79,G
3.896,3.62,0.71,G
3.905,3.63,0.69,G
3.892,3.65,0.72,G
3.945,3.66,0.6,F
3.885,3.67,0.74,G
3.905,3.68,0.69,G
3.819,3.68,0.93,G
3.877,3.68,0.76,G
3.862,3.68,0.8,G
3.862,3.68,0.8,G
3.862,3.68,0.8,G
3.969,3.69,0.56,F
3.885,3.69,0.74,G
3.858,3.71,0.81,G
3.858,3.71,0.81,G
3.858,3.71,0.81,G
3.896,3.72,0.71,G
3.881,3.75,0.75,G
3.905,3.75,0.69,G
3.858,3.75,0.81,G
3.858,3.75,0.81,G
3.858,3.75,0.81,G
3.896,3.76,0.71,G
3.905,3.77,0.69,G
3.905,3.78,0.69,G
3.862,3.78,0.8,G
3.862,3.78,0.8,G
3.862,3.78,0.8,G
3.888,3.79,0.73,G
3.862,3.8,0.8,G
3.862,3.8,0.8,G
3.862,3.8,0.8,G
3.932,3.82,0.63,F
3.881,3.84,0.75,G
3.881,3.84,0.75,G
3.819,3.84,0.93,G
3.881,3.84,0.75,G
3.834,3.84,0.88,G
3.892,3.85,0.72,G
3.896,3.86,0.71,G
3.896,3.86,0.71,G
3.877,3.88,0.76,G
3.847,3.88,0.84,G
3.847,3.88,0.84,G
3.847,3.88,0.84,G
3.854,3.89,0.82,G
3.854,3.89,0.82,G
3.854,3.89,0.82,G
3.873,3.9,0.77,G
3.932,3.92,0.63,F
3.816,3.92,0.94,G
3.858,3.93,0.81,G
3.858,3.93,0.81,G
3.858,3.93,0.81,G
3.828,3.93,0.9,G
3.888,3.94,0.73,G
3.892,3.94,0.72,G
3.885,3.96,0.74,G
3.816,4.0,0.94,G
3.881,4.02,0.75,G
3.834,4.03,0.88,G
3.819,4.06,0.93,G
3.862,4.08,0.8,G
3.885,4.09,0.74,G
3.825,4.11,0.91,G
3.885,4.13,0.74,G
3.869,4.14,0.78,G
3.9,4.15,0.7,G
3.854,4.2,0.82,G
3.825,4.21,0.91,G
3.834,4.23,0.88,G
3.834,4.23,0.88,G
3.834,4.23,0.88,G
3.918,4.24,0.66,G
3.837,4.28,0.87,G
3.837,4.28,0.87,G
3.837,4.28,0.87,G
3.834,4.29,0.88,G
3.834,4.29,0.88,G
3.834,4.29,0.88,G
3.828,4.31,0.9,G
3.828,4.31,0.9,G
3.828,4.31,0.9,G
3.873,4.34,0.77,G
3.873,4.34,0.77,G
3.819,4.35,0.93,G
3.819,4.35,0.93,G
3.819,4.35,0.93,G
3.822,4.36,0.92,G
3.822,4.36,0.92,G
3.822,4.36,0.92,G
3.85,4.38,0.83,G
3.837,4.4,0.87,G
3.858,4.45,0.81,G
3.865,4.46,0.79,G
3.841,4.48,0.86,G
3.865,4.49,0.79,G
3.847,4.5,0.84,G
3.858,4.5,0.81,G
3.847,4.55,0.84,G
3.858,4.58,0.81,G
3.837,4.61,0.87,G
3.905,4.63,0.69,G
3.865,4.63,0.79,G
3.847,4.66,0.84,G
3.831,4.66,0.89,G
3.837,4.71,0.87,G
3.834,4.71,0.88,G
3.828,4.82,0.9,G
3.837,4.84,0.87,G
3.854,4.87,0.82,G
3.825,4.89,0.91,G
3.819,4.9,0.93,G
3.844,4.92,0.85,G
3.847,4.96,0.84,G
3.754,-0.58,0.81,G
3.694,-0.41,1.12,G
3.694,-0.41,1.12,G
3.694,-0.41,1.12,G
3.733,-0.31,0.92,G
3.646,-0.31,1.36,G
3.646,-0.31,1.36,G
3.646,-0.31,1.36,G
3.662,-0.17,1.28,G
3.662,-0.17,1.28,G
3.662,-0.17,1.28,G
3.606,0.05,1.55,K
3.053,0.08,2.15,K
3.686,0.08,1.16,G
3.686,0.08,1.16,G
3.686,0.08,1.16,G
3.115,0.15,2.1,K
3.633,0.23,1.42,K
3.633,0.23,1.42,K
3.633,0.23,1.42,K
3.888,0.27,0.34,A
3.914,0.4,0.28,A
3.796,0.42,0.62,F
3.644,0.42,1.37,K
3.644,0.42,1.37,K
3.644,0.42,1.37,K
3.178,0.45,2.05,K
3.672,0.54,1.23,K
3.672,0.54,1.23,K
3.672,0.54,1.23,K
3.678,0.55,1.2,K
3.678,0.55,1.2,K
3.678,0.55,1.2,K
3.793,0.62,0.63,A
4.7,0.63,-0.18,B
3.615,0.64,1.51,K
3.682,0.73,1.18,K
3.682,0.73,1.18,K
3.682,0.73,1.18,K
5.15,0.77,-0.23,B
2.465,0.78,2.62,K
3.923,0.81,0.26,A
3.796,0.82,0.62,A
3.608,0.86,1.54,K
3.674,0.88,1.22,K
3.674,0.88,1.22,K
3.674,0.88,1.22,K
3.95,0.88,0.2,A
3.791,0.91,0.64,A
2.84,0.91,2.32,K
4.05,0.95,0.07,A
3.478,0.98,1.81,K
3.9,1.01,0.31,A
4.5,1.03,-0.16,B
3.688,1.03,1.15,K
3.873,1.04,0.38,A
3.803,1.13,0.59,A
3.625,1.13,1.46,K
3.604,1.15,1.56,K
3.658,1.16,1.3,K
3.658,1.16,1.3,K
3.658,1.16,1.3,K
3.721,1.16,0.98,K
3.932,1.17,0.24,A
3.6,1.21,1.58,K
4.01,1.22,0.11,A
3.658,1.23,1.3,K
3.658,1.23,1.3,K
3.658,1.23,1.3,K
3.553,1.23,1.74,K
3.923,1.26,0.26,A
3.719,1.27,0.99,K
3.627,1.27,1.45,K
3.674,1.28,1.22,K
3.725,1.28,0.96,K
3.658,1.34,1.3,K
3.658,1.34,1.3,K
3.658,1.34,1.3,K
3.877,1.35,0.37,F
3.844,1.36,0.46,F
3.862,1.37,0.41,F
3.378,1.38,1.89,K
3.994,1.4,0.13,A
3.617,1.4,1.5,K
3.648,1.41,1.35,K
3.648,1.41,1.35,K
3.648,1.41,1.35,K
3.892,1.42,0.33,A
3.854,1.42,0.43,F
3.648,1.43,1.35,K
3.648,1.43,1.35,K
3.648,1.43,1.35,K
3.825,1.44,0.52,F
3.644,1.48,1.37,K
3.644,1.48,1.37,K
3.644,1.48,1.37,K
3.95,1.5,0.2,A
4.117,1.51,0.02,A
3.892,1.54,0.33,F
3.597,1.54,1.59,K
3.664,1.55,1.27,K
3.664,1.55,1.27,K
3.664,1.55,1.27,K
3.892,1.56,0.33,F
3.869,1.58,0.39,F
3.923,1.61,0.26,A
3.923,1.61,0.26,A
3.923,1.61,0.26,A
3.885,1.62,0.35,F
3.877,1.62,0.37,F
3.822,1.64,0.53,A
3.936,1.66,0.23,A
3.888,1.67,0.34,A
3.809,1.67,0.57,A
3.831,1.68,0.5,A
3.831,1.7,0.5,A
3.6,1.7,1.58,K
3.78,1.7,0.69,A
3.95,1.72,0.2,A
3.914,1.72,0.28,A
3.914,1.72,0.28,A
3.914,1.72,0.28,A
3.694,1.73,1.12,K
3.809,1.73,0.57,A
3.905,1.74,0.3,A
3.585,1.74,1.63,K
3.885,1.74,0.35,A
4.02,1.76,0.1,A
3.676,1.78,1.21,K
3.936,1.81,0.23,A
3.644,1.82,1.37,K
3.644,1.82,1.37,K
3.644,1.82,1.37,K
3.896,1.82,0.32,A
4.133,1.83,0.01,A
3.571,1.87,1.68,K
3.888,1.87,0.34,A
3.8,1.88,0.6,A
3.9,1.88,0.31,A
3.975,1.89,0.16,A
3.621,1.9,1.48,K
3.885,1.9,0.35,A
3.798,1.9,0.61,A
3.696,1.91,1.11,K
3.719,1.92,0.99,K
3.975,1.92,0.16,A
3.941,1.92,0.22,A
3.559,1.93,1.72,K
3.579,1.94,1.65,K
3.847,1.95,0.45,A
3.771,1.95,0.73,F
3.753,1.95,0.81,F
3.613,1.97,1.52,K
3.927,1.97,0.25,A
3.768,1.97,0.74,F
3.828,1.97,0.51,A
3.604,2.03,1.56,K
3.923,2.03,0.26,A
3.621,2.04,1.48,K
3.789,2.05,0.65,F
3.862,2.07,0.41,F
3.975,2.07,0.16,A
3.606,2.1,1.55,K
3.588,2.1,1.62,K
3.638,2.11,1.4,K
3.6,2.12,1.58,K
3.613,2.12,1.52,K
3.44,2.12,1.84,K
3.747,2.14,0.84,F
3.822,2.16,0.53,F
3.771,2.17,0.73,F
3.936,2.17,0.23,A
3.828,2.2,0.51,F
3.766,2.2,0.75,F
3.725,2.21,0.96,K
3.753,2.22,0.81,F
3.7,2.22,1.09,K
3.969,2.23,0.17,A
3.969,2.23,0.17,A
3.877,2.24,0.37,F
3.877,2.24,0.37,F
3.877,2.24,0.37,F
3.892,2.24,0.33,A
3.892,2.24,0.33,A
3.892,2.24,0.33,A
3.798,2.24,0.61,F
3.927,2.25,0.25,A
3.885,2.26,0.35,F
3.885,2.26,0.35,F
3.885,2.26,0.35,F
3.914,2.26,0.28,A
3.806,2.27,0.58,F
3.717,2.28,1.0,K
3.881,2.29,0.36,F
3.881,2.29,0.36,F
3.881,2.29,0.36,F
3.844,2.29,0.46,F
3.795,2.3,0.62,F
3.95,2.3,0.2,A
3.588,2.31,1.62,K
3.975,2.31,0.16,A
3.981,2.32,0.15,A
3.854,2.33,0.43,F
3.78,2.34,0.69,F
3.789,2.34,0.65,F
3.858,2.36,0.42,F
3.576,2.37,1.66,K
3.941,2.38,0.22,A
3.888,2.38,0.34,F
3.822,2.39,0.53,F
3.784,2.39,0.67,F
3.873,2.39,0.38,F
3.873,2.39,0.38,F
3.873,2.39,0.38,F
3.822,2.39,0.53,F
3.766,2.4,0.75,F
3.892,2.41,0.33,F
3.594,2.41,1.6,K
3.702,2.42,1.08,K
3.869,2.45,0.39,F
3.869,2.45,0.39,F
3.869,2.45,0.39,F
3.738,2.47,0.88,K
3.847,2.47,0.45,F
3.806,2.49,0.58,F
3.918,2.5,0.27,A
3.905,2.5,0.3,F
3.847,2.5,0.45,F
3.841,2.5,0.47,F
3.941,2.51,0.22,A
3.981,2.51,0.15,A
3.642,2.51,1.38,K
3.642,2.51,1.38,K
3.841,2.52,0.47,F
3.847,2.54,0.45,F
3.825,2.54,0.52,F
3.918,2.55,0.27,A
3.662,2.55,1.28,K
3.662,2.55,1.28,K
3.662,2.55,1.28,K
3.858,2.57,0.42,F
3.858,2.57,0.42,F
3.858,2.57,0.42,F
3.825,2.58,0.52,F
3.909,2.58,0.29,F
3.686,2.59,1.16,K
3.668,2.6,1.25,K
3.668,2.6,1.25,K
3.668,2.6,1.25,K
3.789,2.61,0.65,F
3.782,2.61,0.68,F
