System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag
OGLE-LMC-ECL-05430-2,G,505.183,16.61,1.2,0.5281,0.0023,1.5396,0.0035,1.887,0.007,3.678,0.006,2.744,0.025,3.373649809,3.678,1.2,-2.06
OGLE-SMC-ECL-1421-1,G,102.834,17.18,0.77,0.4346,0.0032,1.248,0.0074,2.37,0.01,3.732,0.008,2.38,0.034,2.720194762,3.732,0.77,-1.15
OGLE-SMC-ECL-1421-2,G,102.834,17.18,0.77,0.4548,0.003,1.3766,0.0036,2.14,0.01,3.701,0.008,2.512,0.033,2.849705627,3.701,0.77,-1.48
OGLE-LMC-ECL-24887-1,G,94.844,17.68,1.16,0.4389,0.0074,1.2156,0.0069,2.446,0.014,3.71,0.007,2.225,0.031,2.7472615,3.71,1.16,-0.7625
OGLE-LMC-ECL-24887-2,G,94.844,17.68,1.16,0.4736,0.0066,1.2512,0.0073,2.409,0.014,3.705,0.007,2.276,0.032,2.975774377,3.705,1.16,-0.89
PV_Cas-1,B,1.75,9.74,0.17,0.4409,0.0094,0.3533,0.0031,4.17,0.02,4.008,0.01,1.69,0.04,2.759942283,4.008,0.17,0.575
PV_Cas-2,B,1.75,9.74,0.17,0.4487,0.0077,0.3612,0.004,4.17,0.02,4.008,0.01,1.71,0.04,2.809959109,4.008,0.17,0.525
V451_Oph-1,B,2.197,7.87,-0.08,0.4434,0.0099,0.4216,0.0051,4.038,0.015,4.033,0.032,1.93,0.13,2.775875604,4.033,-0.08,-0.025
V451_Oph-2,A,2.197,7.87,-0.08,0.3722,0.0096,0.3071,0.006,4.196,0.015,3.991,0.022,1.53,0.09,2.356134074,3.991,-0.08,0.975
V402_Lac-1,B,3.782,6.73,-0.04,0.4472,0.0078,0.3766,0.0055,4.132,0.013,4.054,0.01,1.93,0.04,2.800270595,4.054,-0.04,-0.025
V402_Lac-2,B,3.782,6.73,-0.04,0.444,0.0078,0.3729,0.0055,4.136,0.014,4.052,0.009,1.91,0.04,2.779713268,4.052,-0.04,0.025
OGLE-LMC-ECL-13529-1,G,49.467,17.36,1.01,0.4559,0.0024,1.2312,0.0054,2.432,0.011,3.724,0.006,2.312,0.028,2.856932635,3.724,1.01,-0.98
OGLE-LMC-ECL-13529-2,G,49.467,17.36,1.01,0.4487,0.0025,1.2036,0.006,2.48,0.012,3.721,0.007,2.246,0.032,2.809959109,3.721,1.01,-0.815
