logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
0.83,1.59,10.04,3.881,2.64,0.22,A
0.81,1.55,10.08,3.844,2.68,0.32,F
0.81,1.55,10.09,3.85,2.69,0.3,F
0.81,1.54,10.1,3.825,2.7,0.38,F
0.81,1.51,10.1,3.825,2.7,0.38,F
0.81,1.42,10.1,3.825,2.7,0.38,F
0.79,1.54,10.14,3.865,2.74,0.26,A
0.78,1.54,10.16,3.869,2.76,0.25,A
0.77,1.53,10.18,3.862,2.78,0.27,A
0.77,1.52,10.18,3.85,2.78,0.3,F
0.77,1.54,10.19,3.869,2.79,0.25,A
0.76,1.52,10.22,3.862,2.82,0.27,A
0.72,1.5,10.31,3.865,2.91,0.26,A
0.71,1.51,10.34,3.873,2.94,0.24,A
0.71,1.46,10.34,3.844,2.94,0.32,F
0.7,1.47,10.35,3.85,2.95,0.3,F
0.69,1.44,10.4,3.831,3.0,0.36,F
0.68,1.51,10.42,3.885,3.02,0.21,A
0.68,1.43,10.42,3.837,3.02,0.34,F
0.65,1.4,10.51,3.831,3.11,0.36,F
0.62,1.38,10.58,3.828,3.18,0.37,F
0.61,1.39,10.58,3.841,3.18,0.33,F
0.61,1.38,10.6,3.831,3.2,0.36,F
0.61,1.36,10.61,3.819,3.21,0.4,F
0.6,1.36,10.64,3.819,3.24,0.4,F
0.59,1.33,10.67,3.803,3.27,0.45,F
0.59,1.27,10.67,3.803,3.27,0.45,F
0.59,1.25,10.67,3.803,3.27,0.45,F
0.57,1.38,10.69,3.844,3.29,0.32,F
0.57,1.38,10.69,3.847,3.29,0.31,F
0.57,1.35,10.7,3.831,3.3,0.36,F
0.56,1.38,10.71,3.85,3.31,0.3,F
0.58,1.32,10.71,3.803,3.31,0.45,F
0.58,1.25,10.71,3.803,3.31,0.45,F
0.58,1.24,10.71,3.803,3.31,0.45,F
0.54,1.36,10.76,3.844,3.36,0.32,F
0.54,1.32,10.79,3.822,3.39,0.39,F
0.53,1.28,10.83,3.8,3.43,0.46,F
0.52,1.32,10.83,3.828,3.43,0.37,F
0.49,1.31,10.89,3.831,3.49,0.36,F
0.46,1.28,10.99,3.825,3.59,0.38,F
0.46,1.28,10.99,3.822,3.59,0.39,F
0.45,1.32,10.99,3.844,3.59,0.32,F
0.42,1.24,11.08,3.813,3.68,0.42,F
0.39,1.21,11.17,3.806,3.77,0.44,F
0.35,1.22,11.25,3.816,3.85,0.41,F
0.23,1.13,11.59,3.798,4.19,0.47,F
0.1,1.07,11.92,3.786,4.52,0.52,F
2.89,6.47,12.55,4.325,1.05,0.26,B
2.3,3.63,12.56,4.075,1.06,0.42,B
2.03,2.87,12.93,4.0,1.43,0.49,B
2.29,4.22,13.37,4.212,1.87,0.33,B
1.82,2.76,13.54,4.02,2.04,0.47,B
2.22,4.26,13.71,4.237,2.21,0.31,B
1.94,3.43,13.97,4.167,2.47,0.36,B
1.5,2.35,14.27,4.0,2.77,0.49,A
1.46,2.28,14.3,3.981,2.8,0.52,A
1.39,2.14,14.31,3.918,2.81,0.64,A
1.39,2.11,14.31,3.918,2.81,0.64,A
1.39,2.01,14.31,3.918,2.81,0.64,A
1.38,2.26,14.55,4.0,3.05,0.49,B
1.25,1.81,14.62,3.869,3.12,0.76,A
1.25,1.98,14.66,3.914,3.16,0.65,A
1.23,1.8,14.68,3.873,3.18,0.75,A
1.02,1.75,15.2,3.892,3.7,0.7,A
0.89,1.74,15.6,3.936,4.1,0.6,A
3.23,6.4,7.68,3.945,-2.52,0.25,A
2.65,4.24,9.16,4.01,-1.04,0.16,B
2.93,5.48,9.6,4.225,-0.6,0.0,B
2.44,3.7,9.64,3.994,-0.56,0.18,B
2.46,3.71,9.71,4.03,-0.49,0.14,B
2.46,3.72,9.9,4.075,-0.3,0.1,B
2.48,4.23,10.37,4.167,0.17,0.04,B
2.86,6.38,10.38,4.325,0.18,-0.06,B
2.74,5.8,10.53,4.3,0.33,-0.05,B
2.04,3.19,10.95,4.075,0.75,0.1,B
1.76,2.45,11.14,3.927,0.94,0.3,A
1.57,2.42,11.8,3.994,1.6,0.18,B
1.45,2.27,12.07,3.981,1.87,0.2,A
1.53,2.5,12.07,4.04,1.87,0.13,B
1.4,2.22,12.2,3.981,2.0,0.2,A
1.32,2.08,12.26,3.936,2.06,0.28,A
1.31,2.07,12.28,3.936,2.08,0.28,A
1.32,2.15,12.4,3.981,2.2,0.2,A
1.33,2.23,12.47,4.01,2.27,0.16,B
1.26,2.06,12.49,3.963,2.29,0.23,A
1.16,1.91,12.66,3.927,2.46,0.3,A
1.2,2.03,12.66,3.969,2.46,0.22,A
1.16,1.93,12.66,3.936,2.46,0.28,A
1.13,1.84,12.67,3.877,2.47,0.42,A
1.13,1.8,12.67,3.877,2.47,0.42,A
1.13,1.72,12.67,3.877,2.47,0.42,A
