logL,Mass[solMass],Vmag,logT,Absolute Mag,B-V,Predicted_SpT
0.19,1.17,14.53,3.819,4.76,0.57,F
0.19,1.19,14.53,3.828,4.76,0.54,F
0.2,1.14,14.53,3.803,4.76,0.62,F
0.21,1.08,14.53,3.775,4.76,0.74,G
0.19,1.14,14.54,3.806,4.77,0.61,F
0.2,1.09,14.56,3.784,4.79,0.7,F
0.2,1.0,14.6,3.75,4.83,0.85,G
0.2,0.98,14.6,3.75,4.83,0.85,G
0.2,0.97,14.6,3.75,4.83,0.85,G
0.16,1.13,14.62,3.806,4.85,0.61,F
0.25,0.94,14.63,3.705,4.86,1.05,K
0.15,1.17,14.64,3.825,4.87,0.55,F
0.18,1.0,14.64,3.75,4.87,0.85,G
0.18,0.97,14.64,3.75,4.87,0.85,G
0.18,0.96,14.64,3.75,4.87,0.85,G
0.14,1.06,14.72,3.777,4.95,0.73,F
0.12,1.12,14.73,3.806,4.96,0.61,F
0.14,0.99,14.74,3.75,4.97,0.85,G
0.09,1.18,14.77,3.837,5.0,0.51,F
0.11,1.06,14.79,3.782,5.02,0.71,F
0.1,1.11,14.79,3.803,5.02,0.62,F
0.11,1.04,14.8,3.773,5.03,0.75,G
0.12,0.97,14.81,3.745,5.04,0.87,G
0.12,0.95,14.82,3.741,5.05,0.89,G
0.12,0.93,14.82,3.741,5.05,0.89,G
0.12,0.92,14.82,3.741,5.05,0.89,G
0.1,1.02,14.82,3.766,5.05,0.78,G
0.14,0.9,14.83,3.725,5.06,0.96,G
0.1,0.99,14.83,3.757,5.06,0.82,G
0.09,1.0,14.86,3.761,5.09,0.8,G
0.11,0.93,14.86,3.736,5.09,0.91,G
0.11,0.92,14.86,3.736,5.09,0.91,G
0.11,0.91,14.86,3.736,5.09,0.91,G
0.08,1.03,14.87,3.775,5.1,0.74,G
0.05,1.13,14.88,3.819,5.11,0.57,F
0.06,1.08,14.88,3.798,5.11,0.64,F
0.08,0.98,14.9,3.755,5.13,0.83,G
0.05,1.08,14.91,3.798,5.14,0.64,F
0.15,0.88,14.93,3.693,5.16,1.1,K
0.06,1.01,14.94,3.766,5.17,0.78,G
0.08,0.92,14.94,3.734,5.17,0.92,G
0.08,0.91,14.94,3.734,5.17,0.92,G
0.08,0.9,14.94,3.734,5.17,0.92,G
0.02,1.13,14.95,3.825,5.18,0.55,F
0.06,0.96,14.96,3.75,5.19,0.85,G
0.02,1.08,14.97,3.8,5.2,0.63,F
0.1,0.87,14.97,3.709,5.2,1.03,K
0.03,1.07,14.97,3.795,5.2,0.65,F
0.09,0.88,14.97,3.72,5.2,0.98,K
0.07,0.93,14.97,3.739,5.2,0.9,G
0.03,1.02,15.0,3.775,5.23,0.74,G
0.0,1.1,15.01,3.813,5.24,0.59,F
0.07,0.87,15.01,3.72,5.24,0.98,K
0.02,1.03,15.02,3.777,5.25,0.73,F
0.02,1.03,15.02,3.777,5.25,0.73,F
0.02,1.0,15.02,3.768,5.25,0.77,G
0.0,1.1,15.02,3.809,5.25,0.6,F
0.01,1.07,15.02,3.798,5.25,0.64,F
0.02,0.96,15.05,3.752,5.28,0.84,G
0.0,1.04,15.05,3.784,5.28,0.7,F
0.07,0.85,15.07,3.702,5.3,1.06,K
0.0,0.99,15.07,3.764,5.3,0.79,G
0.0,1.0,15.08,3.77,5.31,0.76,G
-0.02,1.04,15.09,3.789,5.32,0.68,F
-0.02,1.05,15.1,3.793,5.33,0.66,F
0.01,0.91,15.11,3.736,5.34,0.91,G
-0.02,1.01,15.11,3.773,5.34,0.75,G
-0.01,0.98,15.11,3.764,5.34,0.79,G
0.02,0.88,15.12,3.727,5.35,0.95,G
0.02,0.87,15.12,3.727,5.35,0.95,G
0.02,0.87,15.12,3.727,5.35,0.95,G
-0.01,0.95,15.12,3.75,5.35,0.85,G
-0.02,0.98,15.13,3.761,5.36,0.8,G
-0.01,0.94,15.14,3.748,5.37,0.86,G
-0.01,0.93,15.15,3.745,5.38,0.87,G
-0.05,1.05,15.15,3.795,5.38,0.65,F
-0.06,1.07,15.18,3.806,5.41,0.61,F
-0.06,1.05,15.19,3.793,5.42,0.66,F
-0.04,0.97,15.19,3.761,5.42,0.8,G
-0.05,0.97,15.2,3.761,5.43,0.8,G
-0.01,0.88,15.2,3.727,5.43,0.95,G
-0.03,0.91,15.2,3.739,5.43,0.9,G
-0.06,1.04,15.2,3.791,5.43,0.67,F
-0.05,0.96,15.22,3.759,5.45,0.81,G
-0.05,0.95,15.22,3.755,5.45,0.83,G
-0.06,0.99,15.23,3.77,5.46,0.76,G
-0.07,1.01,15.23,3.78,5.46,0.72,F
-0.06,0.97,15.23,3.761,5.46,0.8,G
-0.06,0.94,15.24,3.752,5.47,0.84,G
-0.09,1.07,15.24,3.809,5.47,0.6,F
-0.09,1.05,15.25,3.8,5.48,0.63,F
-0.1,1.05,15.27,3.8,5.5,0.63,F
-0.08,0.98,15.27,3.766,5.5,0.78,G
-0.07,0.94,15.28,3.75,5.51,0.85,G
-0.09,0.96,15.3,3.761,5.53,0.8,G
-0.11,1.06,15.31,3.803,5.54,0.62,F
-0.13,1.08,15.33,3.816,5.56,0.58,F
-0.1,0.97,15.33,3.766,5.56,0.78,G
-0.11,1.0,15.33,3.777,5.56,0.73,F
-0.11,0.98,15.35,3.768,5.58,0.77,G
-0.1,0.93,15.35,3.75,5.58,0.85,G
-0.12,1.0,15.37,3.78,5.6,0.72,F
-0.13,1.01,15.38,3.784,5.61,0.7,F
-0.1,0.89,15.4,3.736,5.63,0.91,G
-0.06,0.78,15.45,3.693,5.68,1.1,K
-0.3,1.14,15.74,3.869,5.97,0.42,A
2.54,3.9,8.28,4.087,-0.62,0.03,B
2.1,3.22,9.17,4.04,0.27,0.07,B
2.1,3.05,9.17,4.04,0.27,0.07,B
2.1,3.03,9.17,4.04,0.27,0.07,B
2.14,3.33,9.24,4.075,0.34,0.04,B
2.07,3.53,9.81,4.15,0.91,-0.01,B
2.25,4.4,9.97,4.25,1.07,-0.08,B
1.84,2.92,9.99,4.075,1.09,0.04,B
1.35,2.1,10.69,3.927,1.79,0.24,A
1.19,1.96,11.12,3.941,2.22,0.21,A
1.18,1.96,11.15,3.945,2.25,0.2,A
1.24,2.16,11.21,4.01,2.31,0.1,B
0.99,1.8,11.62,3.936,2.72,0.22,A
0.9,1.64,11.77,3.881,2.87,0.35,A
0.88,1.62,11.81,3.877,2.91,0.36,A
0.88,1.65,11.81,3.892,2.91,0.32,A
0.73,1.59,12.2,3.909,3.3,0.28,A
0.68,1.46,12.29,3.854,3.39,0.42,F
0.65,1.44,12.38,3.858,3.48,0.41,F
0.62,1.47,12.47,3.881,3.57,0.35,A
0.45,1.23,12.91,3.798,4.01,0.6,F
0.45,1.24,12.92,3.806,4.02,0.57,F
0.43,1.09,13.02,3.766,4.12,0.74,G
0.37,1.18,13.12,3.791,4.22,0.63,F
0.35,1.11,13.22,3.766,4.32,0.74,G
0.35,1.09,13.22,3.766,4.32,0.74,G
0.35,1.05,13.22,3.766,4.32,0.74,G
0.31,1.18,13.26,3.806,4.36,0.57,F
0.22,1.12,13.49,3.793,4.59,0.62,F
0.16,1.07,13.66,3.782,4.76,0.67,F
0.16,1.0,13.7,3.752,4.8,0.8,G
0.13,1.1,13.71,3.795,4.81,0.61,F
0.09,1.01,13.87,3.764,4.97,0.75,G
0.08,0.99,13.9,3.759,5.0,0.77,G
3.04,3.84,11.04,3.57,-0.21,1.98,K
2.45,4.46,11.12,3.756,-0.13,1.09,F
2.45,4.03,11.12,3.756,-0.13,1.09,F
2.45,4.02,11.12,3.756,-0.13,1.09,F
2.75,5.14,11.13,3.618,-0.12,1.79,K
2.75,4.92,11.13,3.618,-0.12,1.79,K
2.75,4.12,11.13,3.618,-0.12,1.79,K
2.47,3.81,11.19,3.981,-0.06,0.41,A
2.53,5.04,11.24,3.674,-0.01,1.51,G
2.53,4.36,11.24,3.674,-0.01,1.51,G
2.53,3.86,11.24,3.674,-0.01,1.51,G
2.67,5.08,11.25,3.628,0.0,1.73,K
2.67,4.81,11.25,3.628,0.0,1.73,K
2.67,3.91,11.25,3.628,0.0,1.73,K
2.4,3.68,11.26,3.95,0.01,0.46,A
2.44,3.7,11.33,4.0,0.08,0.38,B
2.37,3.61,11.33,3.941,0.08,0.48,A
2.35,3.6,11.34,3.923,0.09,0.52,A
2.42,3.65,11.37,3.994,0.12,0.39,B
2.42,3.66,11.37,4.0,0.12,0.38,B
2.64,4.81,11.37,3.623,0.12,1.74,K
2.64,4.61,11.37,3.623,0.12,1.74,K
2.64,3.8,11.37,3.623,0.12,1.74,K
2.4,3.63,11.38,3.988,0.13,0.4,B
2.53,5.1,11.38,3.652,0.13,1.6,K
2.53,4.42,11.38,3.652,0.13,1.6,K
2.53,3.73,11.38,3.652,0.13,1.6,K
2.39,4.43,11.39,3.721,0.14,1.25,G
2.39,3.97,11.39,3.721,0.14,1.25,G
2.39,3.81,11.39,3.721,0.14,1.25,G
2.38,3.6,11.39,3.975,0.14,0.42,A
2.31,3.49,11.46,3.936,0.21,0.49,A
2.29,3.45,11.5,3.923,0.25,0.52,A
2.62,4.0,11.55,3.608,0.3,1.8,K
2.62,3.97,11.55,3.608,0.3,1.8,K
2.62,3.63,11.55,3.608,0.3,1.8,K
2.56,4.55,11.55,3.625,0.3,1.72,K
2.56,4.38,11.55,3.625,0.3,1.72,K
2.56,3.6,11.55,3.625,0.3,1.72,K
2.45,4.76,11.59,3.65,0.34,1.6,K
2.45,4.25,11.59,3.65,0.34,1.6,K
2.45,3.56,11.59,3.65,0.34,1.6,K
2.26,3.37,11.59,3.936,0.34,0.49,A
2.28,3.39,11.59,3.956,0.34,0.45,A
2.38,4.65,11.65,3.668,0.4,1.51,K
2.38,4.06,11.65,3.668,0.4,1.51,K
2.38,3.56,11.65,3.668,0.4,1.51,K
2.29,3.35,11.69,3.994,0.44,0.39,B
2.34,4.49,11.71,3.678,0.46,1.46,G
2.34,3.94,11.71,3.678,0.46,1.46,G
2.34,3.54,11.71,3.678,0.46,1.46,G
2.25,3.3,11.72,3.975,0.47,0.42,A
2.32,3.4,11.74,4.03,0.49,0.35,B
2.27,3.31,11.75,4.0,0.5,0.38,B
2.34,4.55,11.75,3.668,0.5,1.51,K
2.34,3.98,11.75,3.668,0.5,1.51,K
2.34,3.5,11.75,3.668,0.5,1.51,K
2.26,3.29,11.77,4.0,0.52,0.38,B
2.26,3.29,11.77,4.0,0.52,0.38,B
2.28,4.28,11.79,3.69,0.54,1.4,G
2.28,3.81,11.79,3.69,0.54,1.4,G
2.28,3.52,11.79,3.69,0.54,1.4,G
2.21,3.91,11.8,3.731,0.55,1.19,G
2.21,3.21,11.81,3.969,0.56,0.43,A
2.19,3.19,11.81,3.956,0.56,0.45,A
2.33,4.55,11.82,3.66,0.57,1.55,K
2.33,3.98,11.82,3.66,0.57,1.55,K
2.33,3.44,11.82,3.66,0.57,1.55,K
2.36,3.74,11.83,4.075,0.58,0.31,B
2.36,3.65,11.83,4.075,0.58,0.31,B
2.36,3.53,11.83,4.075,0.58,0.31,B
2.28,4.35,11.85,3.678,0.6,1.46,G
2.28,3.84,11.85,3.678,0.6,1.46,G
2.28,3.47,11.85,3.678,0.6,1.46,G
2.25,4.21,11.86,3.69,0.61,1.4,G
2.25,3.76,11.86,3.69,0.61,1.4,G
2.25,3.5,11.86,3.69,0.61,1.4,G
2.22,3.19,11.88,4.0,0.63,0.38,B
2.33,4.39,11.88,3.652,0.63,1.59,K
2.33,3.99,11.88,3.652,0.63,1.59,K
2.33,3.39,11.88,3.652,0.63,1.59,K
2.14,3.12,11.88,3.927,0.63,0.51,A
2.18,3.14,11.9,3.975,0.65,0.42,A
2.27,4.33,11.91,3.674,0.66,1.48,G
2.27,3.81,11.91,3.674,0.66,1.48,G
2.27,3.43,11.91,3.674,0.66,1.48,G
2.18,3.12,11.94,3.988,0.69,0.4,B
2.22,3.2,11.95,4.02,0.7,0.36,B
2.18,3.11,11.97,4.0,0.72,0.38,B
2.13,3.06,11.98,3.963,0.73,0.44,A
2.18,3.11,11.98,4.0,0.73,0.38,B
2.11,3.03,12.01,3.956,0.76,0.45,A
2.15,3.06,12.03,3.994,0.78,0.39,B
2.12,3.0,12.11,3.994,0.86,0.39,B
2.11,2.98,12.12,3.988,0.87,0.4,B
2.11,2.98,12.13,3.994,0.88,0.39,B
2.1,2.97,12.16,3.994,0.91,0.39,B
2.22,3.48,12.18,4.075,0.93,0.31,B
2.17,3.35,12.2,4.05,0.95,0.33,B
2.17,3.19,12.2,4.05,0.95,0.33,B
2.17,3.15,12.2,4.05,0.95,0.33,B
2.01,2.85,12.23,3.945,0.98,0.47,A
2.06,2.91,12.25,3.994,1.0,0.39,B
2.04,2.87,12.32,3.994,1.07,0.39,B
2.02,2.84,12.36,3.994,1.11,0.39,B
1.94,2.7,12.45,3.956,1.2,0.45,A
1.99,2.81,12.45,4.0,1.2,0.38,B
1.98,2.78,12.46,3.994,1.21,0.39,B
1.97,2.77,12.48,3.994,1.23,0.39,B
2.1,3.26,12.5,4.075,1.25,0.31,B
1.96,2.76,12.54,4.0,1.29,0.38,B
1.95,2.76,12.55,4.0,1.3,0.38,B
1.91,2.66,12.55,3.969,1.3,0.43,A
2.02,3.09,12.58,4.05,1.33,0.33,B
1.98,3.01,12.59,4.03,1.34,0.35,B
1.87,2.6,12.64,3.963,1.39,0.44,A
1.89,2.66,12.66,3.988,1.41,0.4,B
1.9,2.68,12.66,3.994,1.41,0.39,B
1.95,2.96,12.67,4.03,1.42,0.35,B
1.93,2.93,12.67,4.02,1.42,0.36,B
2.0,3.1,12.67,4.062,1.42,0.32,B
1.86,2.59,12.71,3.975,1.46,0.42,B
2.13,3.54,12.72,4.133,1.47,0.27,B
1.94,2.97,12.72,4.04,1.47,0.34,B
1.91,2.89,12.73,4.02,1.48,0.36,B
1.83,2.54,12.74,3.963,1.49,0.44,A
2.18,3.78,12.79,4.167,1.54,0.25,B
1.87,2.82,12.8,4.01,1.55,0.37,B
1.86,2.81,12.81,4.01,1.56,0.37,B
1.82,2.74,12.83,3.988,1.58,0.4,B
1.82,2.7,12.83,3.988,1.58,0.4,B
1.82,2.57,12.83,3.988,1.58,0.4,B
1.79,2.49,12.83,3.963,1.58,0.44,A
1.82,2.74,12.83,3.988,1.58,0.4,B
1.82,2.7,12.83,3.988,1.58,0.4,B
1.82,2.57,12.83,3.988,1.58,0.4,B
1.82,2.74,12.86,3.994,1.61,0.39,B
1.82,2.61,12.86,3.994,1.61,0.39,B
1.82,2.58,12.86,3.994,1.61,0.39,B
1.82,2.75,12.87,4.0,1.62,0.38,B
1.78,2.49,12.87,3.969,1.62,0.43,B
1.92,2.98,12.88,4.062,1.63,0.32,B
1.88,2.88,12.88,4.04,1.63,0.34,B
1.87,2.84,12.88,4.03,1.63,0.35,B
1.92,2.98,12.88,4.062,1.63,0.32,B
1.78,2.68,12.97,3.994,1.72,0.39,B
1.76,2.64,12.97,3.981,1.72,0.41,B
1.76,2.56,12.97,3.981,1.72,0.41,B
1.76,2.49,12.97,3.981,1.72,0.41,B
1.77,2.68,13.0,4.0,1.75,0.38,B
1.76,2.67,13.07,4.01,1.82,0.37,B
1.92,3.11,13.07,4.1,1.82,0.29,B
1.73,2.62,13.08,3.994,1.83,0.39,B
1.66,2.32,13.11,3.95,1.86,0.46,A
1.71,2.59,13.13,3.994,1.88,0.39,B
1.72,2.6,13.14,4.0,1.89,0.38,B
1.7,2.57,13.19,4.0,1.94,0.38,B
1.64,2.48,13.22,3.969,1.97,0.43,A
1.71,2.62,13.23,4.02,1.98,0.36,B
1.7,2.59,13.23,4.01,1.98,0.37,B
1.64,2.47,13.23,3.969,1.98,0.43,A
1.67,2.54,13.26,4.0,2.01,0.38,B
1.58,2.22,13.29,3.936,2.04,0.49,A
1.62,2.47,13.36,3.994,2.11,0.39,A
1.61,2.47,13.4,4.0,2.15,0.38,B
1.63,2.54,13.43,4.02,2.18,0.36,B
1.57,2.4,13.45,3.981,2.2,0.41,A
1.56,2.37,13.46,3.975,2.21,0.42,A
1.61,2.52,13.47,4.02,2.22,0.36,B
1.61,2.52,13.47,4.02,2.22,0.36,B
1.54,2.34,13.49,3.969,2.24,0.43,A
1.53,2.35,13.52,3.975,2.27,0.42,A
1.48,2.25,13.53,3.932,2.28,0.5,A
1.48,2.23,13.53,3.932,2.28,0.5,A
1.48,2.11,13.53,3.932,2.28,0.5,A
1.5,2.31,13.6,3.975,2.35,0.42,A
1.54,2.42,13.62,4.01,2.37,0.37,B
1.6,2.63,13.69,4.062,2.44,0.32,B
1.54,2.48,13.69,4.03,2.44,0.35,B
1.4,2.16,13.74,3.932,2.49,0.5,A
1.43,2.28,13.84,3.994,2.59,0.39,A
1.38,2.18,13.88,3.969,2.63,0.43,A
1.38,2.23,13.97,3.994,2.72,0.39,A
1.3,2.07,14.0,3.945,2.75,0.47,A
1.35,2.23,14.05,4.0,2.8,0.38,B
1.29,2.08,14.09,3.963,2.84,0.44,A
1.32,2.19,14.1,3.994,2.85,0.39,B
1.19,1.97,14.28,3.945,3.03,0.47,A
1.18,1.99,14.33,3.956,3.08,0.45,A
2.27,3.54,7.57,4.062,0.07,0.09,B
2.27,3.43,7.57,4.062,0.07,0.09,B
2.27,3.34,7.57,4.062,0.07,0.09,B
1.94,2.73,8.15,4.0,0.65,0.15,B
2.21,3.73,8.18,4.15,0.68,0.03,B
1.84,2.97,8.21,3.759,0.71,0.82,F
1.82,2.53,8.26,3.945,0.76,0.24,A
1.88,3.36,8.31,3.698,0.81,1.13,K
1.86,3.27,8.32,3.708,0.82,1.08,G
1.75,2.42,8.44,3.936,0.94,0.26,A
1.69,2.35,8.52,3.9,1.02,0.34,A
1.66,2.3,8.6,3.905,1.1,0.33,A
1.72,3.06,8.67,3.704,1.17,1.1,K
1.62,2.26,8.74,3.932,1.24,0.27,A
1.63,2.45,8.77,3.956,1.27,0.22,A
1.63,2.42,8.77,3.956,1.27,0.22,A
1.63,2.3,8.77,3.956,1.27,0.22,A
1.67,2.88,8.79,3.712,1.29,1.06,K
1.59,2.7,8.96,3.715,1.46,1.04,K
1.53,2.31,9.0,3.941,1.5,0.25,A
1.53,2.26,9.0,3.941,1.5,0.25,A
1.53,2.17,9.0,3.941,1.5,0.25,A
1.53,2.31,9.0,3.941,1.5,0.25,A
1.53,2.26,9.0,3.941,1.5,0.25,A
1.53,2.17,9.0,3.941,1.5,0.25,A
1.52,2.3,9.01,3.936,1.51,0.26,A
1.52,2.28,9.01,3.936,1.51,0.26,A
1.52,2.15,9.01,3.936,1.51,0.26,A
1.48,2.1,9.08,3.927,1.58,0.28,A
1.5,2.3,9.12,3.963,1.62,0.21,A
1.42,2.19,9.29,3.95,1.79,0.23,A
1.31,2.05,9.48,3.914,1.98,0.31,A
1.31,1.95,9.48,3.914,1.98,0.31,A
1.31,1.93,9.48,3.914,1.98,0.31,A
1.3,2.04,9.5,3.909,2.0,0.32,A
1.3,1.96,9.5,3.909,2.0,0.32,A
1.3,1.91,9.5,3.909,2.0,0.32,A
1.32,2.08,9.51,3.941,2.01,0.25,A
1.31,2.05,9.51,3.923,2.01,0.29,A
1.25,1.97,9.62,3.896,2.12,0.35,A
1.25,1.93,9.62,3.896,2.12,0.35,A
1.25,1.84,9.62,3.896,2.12,0.35,A
1.23,1.97,9.68,3.914,2.18,0.31,A
1.22,1.95,9.7,3.909,2.2,0.32,A
1.23,1.98,9.71,3.927,2.21,0.28,A
1.2,1.98,9.81,3.945,2.31,0.24,A
1.19,1.95,9.82,3.936,2.32,0.26,A
1.15,1.92,9.93,3.936,2.43,0.26,A
1.12,1.84,9.93,3.888,2.43,0.37,A
1.11,1.83,9.96,3.888,2.46,0.37,A
1.12,1.87,9.97,3.923,2.47,0.29,A
1.11,1.85,10.0,3.914,2.5,0.31,A
1.1,1.84,10.01,3.914,2.51,0.31,A
1.06,1.79,10.08,3.896,2.58,0.35,A
1.07,1.83,10.1,3.923,2.6,0.29,A
1.03,1.76,10.16,3.896,2.66,0.35,A
1.03,1.76,10.16,3.888,2.66,0.37,A
1.02,1.73,10.18,3.858,2.68,0.45,A
1.02,1.7,10.18,3.858,2.68,0.45,A
1.02,1.61,10.18,3.858,2.68,0.45,A
1.01,1.76,10.22,3.909,2.72,0.32,A
1.01,1.74,10.22,3.896,2.72,0.35,A
0.95,1.68,10.36,3.877,2.86,0.4,A
0.94,1.67,10.39,3.885,2.89,0.38,A
0.98,1.86,10.41,3.963,2.91,0.21,A
0.92,1.69,10.46,3.905,2.96,0.33,A
0.89,1.62,10.5,3.869,3.0,0.42,A
0.89,1.67,10.53,3.905,3.03,0.33,A
0.83,1.56,10.66,3.834,3.16,0.52,F
0.83,1.49,10.66,3.834,3.16,0.52,F
0.83,1.45,10.66,3.834,3.16,0.52,F
0.81,1.55,10.69,3.854,3.19,0.46,F
0.8,1.57,10.73,3.881,3.23,0.39,A
0.74,1.52,10.88,3.869,3.38,0.42,A
0.73,1.47,10.91,3.825,3.41,0.55,F
0.73,1.38,10.91,3.825,3.41,0.55,F
0.73,1.37,10.91,3.825,3.41,0.55,F
0.72,1.48,10.92,3.85,3.42,0.47,F
0.72,1.51,10.92,3.869,3.42,0.42,A
0.71,1.46,10.95,3.841,3.45,0.5,F
0.68,1.46,11.02,3.858,3.52,0.45,F
0.66,1.44,11.07,3.854,3.57,0.46,F
0.66,1.45,11.07,3.858,3.57,0.45,F
0.62,1.35,11.2,3.803,3.7,0.62,F
0.62,1.31,11.2,3.803,3.7,0.62,F
0.62,1.26,11.2,3.803,3.7,0.62,F
0.6,1.38,11.24,3.837,3.74,0.51,F
0.58,1.33,11.31,3.813,3.81,0.59,F
0.56,1.34,11.34,3.828,3.84,0.54,F
0.51,1.32,11.47,3.834,3.97,0.52,F
0.49,1.29,11.51,3.822,4.01,0.56,F
0.49,1.25,11.53,3.795,4.03,0.65,F
0.27,1.17,12.08,3.806,4.58,0.61,F
0.23,1.15,12.19,3.803,4.69,0.62,F
0.23,1.09,12.22,3.777,4.72,0.73,F
0.21,1.12,12.24,3.795,4.74,0.65,F
0.18,1.17,12.3,3.822,4.8,0.56,F
0.17,1.12,12.34,3.8,4.84,0.63,F
0.16,1.06,12.39,3.775,4.89,0.74,G
0.17,1.02,12.4,3.761,4.9,0.8,G
0.12,1.1,12.46,3.795,4.96,0.65,F
0.08,0.96,12.64,3.748,5.14,0.86,G
-0.02,0.98,12.86,3.761,5.36,0.8,G
-0.1,1.11,12.98,3.828,5.48,0.54,F
-0.13,0.98,13.13,3.773,5.63,0.75,G
-0.18,0.92,13.28,3.75,5.78,0.85,G
-0.25,1.05,13.37,3.816,5.87,0.58,F
-0.23,0.92,13.39,3.755,5.89,0.83,G
-0.27,0.94,13.48,3.764,5.98,0.79,G
-0.29,1.02,13.49,3.803,5.99,0.62,F
-0.27,0.92,13.5,3.755,6.0,0.83,K
-0.24,0.85,13.5,3.727,6.0,0.95,K
-0.34,0.88,13.7,3.743,6.2,0.88,K
-0.19,0.53,13.72,3.653,6.22,1.29,K
-0.19,0.53,13.72,3.653,6.22,1.29,K
-0.19,0.51,13.72,3.653,6.22,1.29,K
-0.57,0.68,14.54,3.677,7.04,1.17,K
-0.58,0.67,14.59,3.675,7.09,1.18,K
-0.74,0.61,15.1,3.655,7.6,1.27,K
3.62,7.62,8.65,4.167,-1.85,0.32,B
3.15,5.81,9.2,4.05,-1.3,0.4,B
3.47,6.82,9.38,4.225,-1.12,0.28,B
3.22,6.18,9.85,4.2,-0.65,0.3,B
3.22,6.15,9.85,4.2,-0.65,0.3,B
3.22,5.88,9.85,4.2,-0.65,0.3,B
3.7,10.04,9.86,4.4,-0.64,0.19,B
3.14,6.05,10.2,4.225,-0.3,0.28,B
3.23,6.75,10.33,4.283,-0.17,0.24,B
3.31,7.52,10.39,4.325,-0.11,0.22,B
3.07,5.91,10.47,4.237,-0.03,0.27,B
2.89,6.15,11.29,4.3,0.79,0.23,B
2.3,3.87,11.85,4.15,1.35,0.33,B
2.27,3.82,11.93,4.15,1.43,0.33,B
2.28,4.37,12.43,4.237,1.93,0.27,B
2.1,3.75,12.55,4.183,2.05,0.31,B
1.74,2.68,12.66,4.03,2.16,0.42,B
1.67,2.54,12.69,3.994,2.19,0.46,B
2.42,5.64,12.76,4.35,2.26,0.21,B
1.7,2.67,12.78,4.04,2.28,0.41,B
2.47,6.05,12.8,4.375,2.3,0.2,B
1.92,3.32,12.81,4.15,2.31,0.33,B
1.99,3.59,12.82,4.183,2.32,0.31,B
1.47,2.24,13.04,3.936,2.54,0.56,A
1.47,2.14,13.04,3.936,2.54,0.56,A
1.47,2.1,13.04,3.936,2.54,0.56,A
1.53,2.44,13.15,4.02,2.65,0.43,B
1.46,2.33,13.23,4.0,2.73,0.45,A
1.42,2.22,13.27,3.975,2.77,0.49,A
1.94,3.88,13.36,4.25,2.86,0.26,B
1.38,2.28,13.47,4.01,2.97,0.44,B
1.72,3.28,13.6,4.2,3.1,0.3,B
1.24,1.99,13.61,3.936,3.11,0.56,A
1.21,1.97,13.68,3.936,3.18,0.56,A
1.14,1.88,13.83,3.918,3.33,0.6,A
1.1,1.82,13.89,3.896,3.39,0.65,A
1.06,1.78,13.98,3.885,3.48,0.68,A
2.21,4.04,9.96,3.708,-0.04,1.09,G
2.21,3.67,9.96,3.708,-0.04,1.09,G
2.21,3.56,9.96,3.708,-0.04,1.09,G
1.93,3.49,10.88,3.668,0.88,1.29,K
1.93,3.23,10.88,3.668,0.88,1.29,K
1.93,3.1,10.88,3.668,0.88,1.29,K
1.8,3.3,11.09,3.686,1.09,1.2,G
1.82,2.5,11.36,3.638,1.36,1.44,K
1.82,2.5,11.36,3.638,1.36,1.44,K
1.82,2.44,11.36,3.638,1.36,1.44,K
1.51,2.16,11.48,3.831,1.48,0.54,F
1.53,2.32,11.49,3.775,1.49,0.75,F
1.59,2.87,11.6,3.692,1.6,1.17,G
1.63,2.79,11.65,3.664,1.65,1.31,K
1.63,2.73,11.65,3.664,1.65,1.31,K
1.63,2.65,11.65,3.664,1.65,1.31,K
1.68,1.57,11.87,3.621,1.87,1.52,K
1.34,1.97,11.95,3.791,1.95,0.68,F
1.35,2.4,12.18,3.694,2.18,1.16,G
1.23,1.8,12.2,3.819,2.2,0.58,F
1.37,2.34,12.27,3.67,2.27,1.28,K
1.37,2.3,12.27,3.67,2.27,1.28,K
1.37,2.28,12.27,3.67,2.27,1.28,K
1.28,2.17,12.3,3.71,2.3,1.08,G
1.48,1.37,12.31,3.627,2.31,1.49,K
1.88,-1.0,12.34,3.55,2.34,1.79,K
1.35,1.93,12.42,3.652,2.42,1.37,K
1.35,1.93,12.42,3.652,2.42,1.37,K
1.35,1.9,12.42,3.652,2.42,1.37,K
1.15,1.71,12.42,3.803,2.42,0.63,F
1.15,1.72,12.43,3.798,2.43,0.65,F
1.44,1.03,12.53,3.615,2.53,1.55,K
1.05,1.61,12.65,3.809,2.65,0.61,F
1.03,1.75,12.67,3.865,2.67,0.44,F
1.03,1.69,12.67,3.865,2.67,0.44,F
1.03,1.64,12.67,3.865,2.67,0.44,F
1.04,1.59,12.69,3.813,2.69,0.6,F
1.03,1.77,12.71,3.905,2.71,0.34,A
1.04,1.63,12.73,3.764,2.73,0.8,G
1.05,1.87,12.73,3.945,2.73,0.25,A
1.01,1.57,12.75,3.806,2.75,0.62,F
1.53,-1.0,12.76,3.579,2.76,1.69,K
1.58,-1.0,12.78,3.571,2.78,1.72,K
1.08,1.89,12.79,3.708,2.79,1.09,G
1.0,1.57,12.79,3.793,2.79,0.67,F
1.16,1.9,12.8,3.666,2.8,1.3,K
1.16,1.91,12.8,3.666,2.8,1.3,K
1.16,1.85,12.8,3.666,2.8,1.3,K
