System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
Kepler-34-2,none,27.796,15.04,0.63,0.0089,0.0009,0.0385,0.0012,4.3703,0.0022,3.768,0.01,0.107,0.036,1.020704431,3.768,0.63,4.5325,n
QR_Hya-1,G1_V,5.006,8.4,0.63,0.0415,0.0007,0.1087,0.0014,4.262,0.003,3.773,0.005,0.262,0.021,1.100271845,3.773,0.63,4.145,G
QR_Hya-2,G2_V,5.006,8.4,0.63,0.0283,0.0008,0.0802,0.002,4.306,0.004,3.767,0.005,0.182,0.023,1.067333154,3.767,0.63,4.345,G
EPIC_219394517-1,G,6.527,11.34,0.64,0.0327,0.0008,0.0233,0.0045,4.4247,0.0094,3.773,0.007,0.091,0.031,1.07820167,3.773,0.64,4.5725,G
EPIC_219394517-2,G,6.527,11.34,0.64,0.0278,0.001,0.0179,0.005,4.4303,0.0097,3.769,0.007,0.066,0.031,1.066105049,3.769,0.64,4.635,G
V963_Cen-1,G1_IV-V,15.269,8.6,0.64,0.0339,0.0012,0.16,0.0016,4.152,0.003,3.764,0.004,0.332,0.018,1.081184971,3.764,0.64,3.97,G
V963_Cen-2,G1_IV-V,15.269,8.6,0.64,0.0315,0.0012,0.1527,0.0021,4.164,0.004,3.765,0.005,0.32,0.021,1.0752266,3.765,0.64,4,G
OGLE-LMC-CEP-01812-1,F7_II,551.776,16.69,0.64,0.5752,0.0035,1.2516,0.0032,2.509,0.007,3.787,0.011,2.61,0.04,3.760105237,3.787,0.64,-1.725,F
OGLE-LMC-CEP-01812-2,G4_III,551.776,16.69,0.64,0.4183,0.0033,1.073,0.0029,2.709,0.007,3.713,0.01,1.95,0.04,2.61999221,3.713,0.64,-0.075,G
Kepler-35-1,none,20.734,15.96,0.66,-0.0517,0.0025,0.0122,0.0008,4.3623,0.002,3.749,0.011,-0.027,0.043,0.887769049,3.749,0.66,4.8675,n
Kepler-35-2,none,20.734,15.96,0.66,-0.0918,0.0024,-0.1045,0.0012,4.5556,0.0016,3.716,0.008,-0.387,0.02,0.809468587,3.716,0.66,5.7675,n
IM_Vir-1,G7_V,1.309,9.57,0.66,-0.0083,0.0053,0.0257,0.0065,4.379,0.014,3.754,0.008,-0.012,0.034,0.98107001,3.754,0.66,4.83,G
IM_Vir-2,K7_V,1.309,9.57,0.66,-0.1776,0.0031,-0.1669,0.0083,4.594,0.017,3.628,0.013,-0.867,0.056,0.664354682,3.628,0.66,6.9675,K
TIC_193993801-1,F8_V,1.431,11.27,0.67,0.1159,0.005,0.2284,0.0036,4.098,0.006,3.801,0.003,0.614,0.013,1.305870166,3.801,0.67,3.265,F
TIC_193993801-2,none,1.431,11.27,0.67,0.0752,0.0066,0.1153,0.0057,4.245,0.011,3.785,0.003,0.323,0.018,1.189049679,3.785,0.67,3.9925,n
OGLE-SMC-ECL-3678-1,F2_II,187.843,15.56,0.67,0.5832,0.0023,1.4942,0.007,2.03,0.01,3.823,0.008,3.234,0.037,3.830010812,3.823,0.67,-3.285,F
OGLE-SMC-ECL-3678-2,G6_II,187.843,15.56,0.67,0.5717,0.0012,1.6294,0.0041,1.75,0.01,3.697,0.006,3.003,0.026,3.729924148,3.697,0.67,-2.7075,G
HP_Aur-1,G2_V,1.423,11.17,0.68,-0.0203,0.0019,0.0119,0.0018,4.3942,0.004,3.764,0.009,0.036,0.035,0.954333128,3.764,0.68,4.71,G
HP_Aur-2,K1_V,1.423,11.17,0.68,-0.0918,0.0019,-0.1103,0.0019,4.5669,0.0043,3.713,0.01,-0.414,0.039,0.809468587,3.713,0.68,5.835,K
V1094_Tau-1,G0_V,8.989,8.97,0.7,0.04,0.0016,0.1495,0.0018,4.179,0.004,3.767,0.007,0.32,0.03,1.096478196,3.767,0.7,4,G
V1094_Tau-2,G3_V,8.989,8.97,0.7,0.0052,0.0012,0.0439,0.0026,4.355,0.005,3.756,0.008,0.05,0.03,1.012045411,3.756,0.7,4.675,G
EPIC_219568666-1,F8_V,11.991,11.86,0.7,0.0496,0.005,0.0711,0.0026,4.346,0.005,3.788,0.007,0.248,0.028,1.120985513,3.788,0.7,4.18,F
EPIC_219568666-2,none,11.991,11.86,0.7,-0.1349,0.003,-0.1938,0.0115,4.69,0.022,3.653,0.01,-0.818,0.046,0.732993292,3.653,0.7,6.845,n
KIC_5359678-1,F5,6.231,14.21,0.7,0.0976,0.0062,0.1611,0.0036,4.214,0.007,3.813,0.003,0.555,0.014,1.251987521,3.813,0.7,3.4125,F
