Seq,SIMBAD_ID,M,eM1,eM2,R,eR1,eR2,Teff,eTeff1,eTeff2,L,eL1,eL2,Meta,eMeta1,eMeta2,logg,elogg1,elogg2,rho,erho1,erho2,cutoff,class,type,pla,catalog,e_M,e_R,e_Teff,e_L,mode,logL,logR,logT
121,MY_Cyg B,1.786,0.03,0.03,2.193,0.05,0.05,7047,164,164,10.715,1.034,1.034,,,,,,,,,,3.1748077,MS,F,,malkov07,1.679731243,2.27998176,2.327231446,9.650023332,EB,1.0299921753778474,0.3410386316775229,3.848004271497268
675,KIC6470149,1.78,0.19,0.19,7.06,0.26,0.26,5015,97,97,22.41,2.873275383,2.873275383,0.013,0.072111026,0.072111026,,,,0.005035154,4.97e-05,4.97e-05,4.5067837,PMS,K,p,huber13,10.6741573,3.682719547,1.934197408,12.82139841,A,1.3504418565350613,0.8488047010518037,3.700270937356437
97,HW_CMa A,1.779,0.012,0.012,1.668,0.021,0.021,7700,150,150,8.79,0.782,0.782,0.28,0.1,0.1,4.247,0.011,0.011,,,,2.7467662,MS,A,,eker14,0.674536256,1.258992806,1.948051948,8.896473265,EB,0.9439888750737718,0.22219604630171988,3.886490725172482
81,FT_Ori B,1.773,0.02,0.02,1.626,0.013,0.013,8600,300,300,12.972,2.129,2.129,,,,4.272,0.007,0.007,,,,2.1568162,MS,A,,eker14,1.128031585,0.799507995,3.488372093,16.41227259,EB,1.1130069400009353,0.21112054125804933,3.934498451243568
276,XY_Cet A,1.773,0.016,0.016,1.876,0.035,0.035,7870,115,115,12.134,0.898,0.898,,,,4.142,0.016,0.016,,,,2.6353312,MS,A,,eker14,0.902425268,1.865671642,1.461245235,7.40069227,EB,1.0840039906080294,0.2732328340430456,3.8959747323590648
64,EI_Cep A,1.772,0.007,0.007,2.898,0.048,0.048,6750,100,100,15.668,1.159,1.159,,,,3.763,0.014,0.014,,,,3.3694912,MS,F,,eker14,0.39503386,1.6563147,1.481481481,7.397242788,EB,1.1950135628758283,0.4620983811351558,3.829303772831025
122,OO_Peg A,1.759,0.031,0.031,2.204,0.081,0.081,8770,150,150,25.823,2.885,2.885,,,,3.99,0.04,0.04,,,,2.0453812,MS,A,,eker14,1.76236498,3.675136116,1.710376283,11.17221082,EB,1.4120066952410604,0.34321159017974745,3.9429995933660407
208,V2626_Oph A,1.758,0.13,0.13,3.239,0.081,0.081,7760,64,64,34.119,2.189,2.189,,,,3.661,0.014,0.014,,,,2.7074362,MS,A,,eker14,7.39476678,2.500771843,0.824742268,6.415780064,EB,1.5329962938657595,0.510410948010177,3.8898617212581885
30,BP_Vul A,1.737,0.015,0.015,1.853,0.014,0.014,7709,150,150,10.889,0.941,0.941,,,,4.142,0.007,0.007,,,,2.7408667,MS,A,,eker14,0.863557858,0.75553157,1.945777662,8.641748554,EB,1.0369879978069059,0.2678754193188976,3.8869980456710995
101,IQ_Per B,1.733,0.02,0.02,1.509,0.02,0.02,7670,100,100,7.079,0.437,0.437,,,,4.324,0.013,0.013,,,,2.7664312,MS,A,,eker14,1.15406809,1.325381047,1.303780965,6.173188303,EB,0.84997191232885,0.17868923977558981,3.884795363948981
787,KIC8360349,1.727,0.11472576,0.11472576,2.656,0.066407831,0.068942005,6258,49,49,9.716,0.765419364,0.765419364,0.153,0.099,0.099,3.826,0.01118034,0.012206556,0.09212,0.001433955,0.00140662,3.6919972,MS,F,,serenelli17,6.643066588,2.548001421,0.782997763,7.877926756,A,0.9874875061330929,0.4242280706959799,3.7964355588101744
169,TYC_5082-1517-1 A,1.724,0.04,0.04,1.78,0.2,0.2,7250,30,30,7.852,2.287,2.287,,,,4.18,0.12,0.12,,,,3.0417412,MS,F,,eker14,2.320185615,11.23595506,0.413793103,29.12633724,EB,0.8949802909279686,0.250420002308894,3.8603380065709936
98,HW_CMa B,1.719,0.011,0.011,1.649,0.018,0.018,7560,150,150,7.98,0.71,0.71,0.33,0.1,0.1,4.242,0.01,0.01,,,,2.8385362,MS,A,,eker14,0.639906923,1.091570649,1.984126984,8.897243108,EB,0.9020028913507294,0.21722065564451878,3.8785217955012063
21,AY_Cam B,1.707,0.036,0.036,2.034,0.015,0.015,7395,100,100,11.117,0.659,0.659,,,,4.057,0.016,0.016,,,,2.9466937,MS,F,,eker14,2.108963093,0.737463127,1.352265044,5.927858235,EB,1.0459876056609674,0.30835094858672574,3.868938178332911
123,OO_Peg B,1.7,0.03,0.03,1.379,0.05,0.05,8683,180,180,9.705,1.209,1.209,,,,4.39,0.04,0.04,,,,2.1024097,MS,A,,eker14,1.764705882,3.625815809,2.073016239,12.45749614,EB,0.9869955397243816,0.13956426617584977,3.9386698010226793
389,KIC10923629,1.688,0.078771822,0.213459598,2.578,0.043185646,0.099297533,6195,87,87,9.692,0.806334524,0.806334524,0.157,0.1,0.1,3.84,0.009899495,0.02118962,0.09807,0.001676516,0.001675747,3.7332937,MS,F,,serenelli17,8.65614397,2.763444113,1.404358354,8.319588571,A,0.9864134054654686,0.4112829130173842,3.792041310712082
761,KIC8018599,1.687,0.058051701,0.059413803,3.415,0.057428216,0.057428216,6013,62,62,15.11,1.30464054,1.30464054,0.064,0.1,0.1,3.598,0.007211103,0.007211103,0.04234,0.001032513,0.000988212,3.8525947,PMS,F,,serenelli17,3.481490937,1.681646151,1.031099285,8.634285503,A,1.1792644643390253,0.5333907080175514,3.7790912038454993
210,V364_Cas A,1.684,0.094,0.094,1.6,0.01,0.01,7816,86,86,8.57,0.404,0.404,,,,4.28,0.004,0.004,,,,2.6707282,MS,A,,eker14,5.581947743,0.625,1.100307062,4.71411902,EB,0.9329808219231982,0.2041199826559248,3.892984550710717
237,V526_Sgr B,1.683,0.06,0.06,1.569,0.02,0.02,8710,100,100,12.735,0.693,0.693,,,,4.28,0.2,0.2,,,,2.0847112,MS,A,,eker14,3.565062389,1.274697259,1.148105626,5.441696113,EB,1.104998949299634,0.19562294358693666,3.9400181550076634
65,EI_Cep B,1.68,0.006,0.006,2.33,0.044,0.044,6950,100,100,11.376,0.842,0.842,,,,3.929,0.016,0.016,,,,3.2383912,MS,F,,eker14,0.357142857,1.888412017,1.438848921,7.401547117,EB,1.0559895833856912,0.367355921026019,3.8419848045901137
640,KIC5822889,1.671,0.148499158,0.128996124,4.26,0.143265488,0.124354332,5220,68,68,15.12,1.558949113,1.558949113,-0.11,0.101,0.101,3.401,0.01029563,0.01029563,0.02157,0.000469353,0.00049153,4.3724062,PMS,G,,serenelli17,8.303269965,3.141077703,1.302681992,10.31051,A,1.1795517911651876,0.6294095991027189,3.717670503002262
156,TV_Nor B,1.661,0.018,0.018,1.56,0.014,0.014,7798,108,108,8.072,0.498,0.498,,,,4.278,0.012,0.012,,,,2.6825272,MS,A,,eker14,1.083684527,0.897435897,1.384970505,6.169474727,EB,0.9069811532288541,0.1931245983544616,3.891983230851967
922,HD167042,1.646,0.311,0.311,5.7,0.1,0.1,4547,49,49,12.47,0.54,0.54,-0.1,0.1,0.1,,,,,,,4.8135577,PMS,K,p,ligi16,18.89428919,1.754385965,1.077633605,4.330392943,I,1.0958664534785427,0.7558748556724915,3.6577249542051082
78,FS_Mon A,1.632,0.012,0.012,2.061,0.012,0.012,6715,100,100,7.762,0.498,0.498,,,,4.026,0.005,0.005,,,,3.3924337,MS,F,,eker14,0.735294118,0.58224163,1.489203276,6.415872198,EB,0.8899736384039961,0.31407799177921286,3.8270460170047342
251,V805_Aql B,1.63,0.02,0.02,1.75,0.12,0.12,7178,513,513,7.244,0.518,0.518,,,,,,,,,,3.0889372,MS,F,,malkov07,1.226993865,6.857142857,7.146837559,7.150745445,EB,0.8599784416420208,0.24303804868629444,3.856003453997221
397,KIC10990438,1.63,0.22,0.28,4.13,0.23,0.31,5226,75,75,11.46,1.117740226,1.117740226,0.0,0.1,0.2,3.415,0.014,0.015,0.0231,0.0012,0.0011,4.3684732,PMS,G,,C14sdss,15.33742331,6.537530266,1.435132032,9.753405113,A,1.0591846176313713,0.615950051656401,3.718169405391307
564,KIC4378838,1.627,0.173441633,0.168600119,3.691,0.177867929,0.174484956,5053,71,71,8.294,0.813824542,0.813824542,0.238,0.099,0.099,3.514,0.011401754,0.012369317,0.03227,0.001663172,0.001622868,4.4818747,PMS,K,,serenelli17,10.51142445,4.773135802,1.405105878,9.812208127,A,0.9187640310279991,0.5671440451956572,3.7035492982382303
125,PT_Vel B,1.626,0.009,0.009,1.56,0.02,0.02,7638,180,180,7.43,0.811,0.811,,,,4.263,0.011,0.011,,,,2.7874072,MS,A,,eker14,0.553505535,1.282051282,2.356637863,10.91520861,EB,0.8709888137605752,0.1931245983544616,3.882979654037299
912,KIC9893470,1.626,0.072622311,0.0718401,3.399,0.107154095,0.123032516,5936,56,56,14.43,1.251613431,1.251613431,-0.054,0.1,0.1,3.588,0.018439089,0.019416488,0.04143,0.003204142,0.002980912,3.9030682,PMS,G,,serenelli17,4.442263556,3.386093126,0.943396226,8.673689754,A,1.159266331093494,0.5313511645830596,3.7734938922709707
570,KIC4476423,1.62,0.26,0.26,10.47,0.7,0.7,4553,97,97,60.76,10.79276697,10.79276697,0.159,0.072111026,0.072111026,,,,0.001420354,7.1e-05,7.1e-05,4.8096247,PMS,K,p,huber13,16.04938272,6.685768863,2.130463431,17.76294761,A,1.7836177651907488,1.0199466816788423,3.6582976503081897
286,ZZ_Boo A,1.616,0.01,0.01,2.164,0.07,0.07,6670,30,30,8.318,0.595,0.595,,,,3.975,0.01,0.01,,,,3.4219312,MS,F,,eker14,0.618811881,3.234750462,0.449775112,7.153161818,EB,0.9200189160289148,0.33525725643453186,3.824125833916549
277,XY_Cet B,1.615,0.014,0.014,1.776,0.029,0.029,7620,125,125,9.55,0.754,0.754,,,,4.179,0.014,0.014,,,,2.7992062,MS,A,,eker14,0.866873065,1.632882883,1.640419948,7.895287958,EB,0.9800033715837464,0.2494429614425822,3.8819549713396007
611,KIC5429911,1.614,0.100647901,0.1307402,3.365,0.114162165,0.124619421,5303,74,74,8.383,0.781429716,0.781429716,-0.005,0.102,0.102,3.59,0.014317821,0.015297059,0.04225,0.002291372,0.002283562,4.3179997,PMS,G,,serenelli17,7.1681568,3.548017623,1.395436545,9.321599862,A,0.9233994661587165,0.5269850685599957,3.7245216271185626
