,M,logT,type,rho,logg,logL,logR,SNtype
462,2.231002207,3.685,G,5.4351482015919714e-05,2.126,2.354,1.3304,4.0
463,2.22997503,3.674,G,2.528781995788324e-05,1.904,2.533,1.4411,4.0
464,3.55959018,3.724,G,4.4188716846811136e-05,2.134,2.708,1.428,4.0
465,3.549768245,3.653,K,8.106089429530267e-06,1.642,2.912,1.6731,5.0
466,2.981261008,3.72,G,5.3741698813431315e-05,2.165,2.583,1.374,4.0
467,2.997091486,3.671,K,8.173562552742761e-06,1.62,2.932,1.6474,5.0
468,1.674171714,3.651,K,4.84854455355678e-06,1.385,2.836,1.6387,5.0
469,1.669167807,3.654,K,6.71601087404593e-06,1.479,2.752,1.5911,5.0
470,1.842892489,3.666,K,3.115382605364027e-05,1.937,2.384,1.3833,5.0
471,1.962004504,3.673,G,3.6737651556763686e-05,1.994,2.386,1.3685,4.0
472,2.399937877,3.719,G,0.00021948830806237498,2.54,2.107,1.1389,4.0
473,2.549177051,3.673,G,2.12427819274263e-05,1.873,2.616,1.4857,4.0
474,2.717064824,3.673,G,2.6632466577816566e-05,1.948,2.572,1.4622,4.0
475,3.373649809,3.678,G,1.937364737366238e-05,1.887,2.744,1.5396,4.0
476,4.166774522,3.692,G,1.1730361351394351e-05,1.773,3.009,1.6428,4.0
477,3.989330341,3.667,K,9.319902966270135e-06,1.699,2.963,1.6698,5.0
480,1.009020524,3.65,K,0.100325513389345,4.19,-0.193,0.1268,5.0
481,0.730970752,3.558,M,0.14451448873496367,4.25,-0.761,0.0273,6.0
482,1.503834348,3.667,K,0.0002468944859730701,2.507,1.732,1.0542,5.0
483,1.504873519,3.636,K,3.10392622843286e-05,1.907,2.207,1.3545,5.0
486,1.092949259,3.625,K,4.430078181450312e-05,1.963,1.964,1.2567,5.0
487,1.125122993,3.599,K,1.015105990505524e-05,1.541,2.297,1.4742,5.0
488,0.397832263,3.528,M,1.443149724813383,4.826,-1.72,-0.3939,6.0
489,0.224491551,3.509,M,2.5510054777529976,4.908,-2.12,-0.5592,6.0
490,2.858248604,3.712,G,0.00016811690678782696,2.489,2.21,1.2028,4.0
491,2.784197249,3.663,K,2.2600153595483375e-05,1.904,2.587,1.4895,5.0
492,1.791843188,3.693,G,8.661864600322524e-05,2.229,2.188,1.2312,4.0
493,1.802187612,3.648,K,8.211290005685483e-06,1.548,2.695,1.5731,5.0
494,0.44802268,3.504,M,1.1371333330620434,4.774,-1.715,-0.3422,6.0
495,0.272082118,3.491,M,2.6285206325806816,4.9442,-2.151,-0.5357,6.0
496,1.449105484,3.682,G,2.7625579101871963e-05,1.868,2.415,1.3659,4.0
497,1.422001322,3.645,K,4.517637615564781e-06,1.34,2.787,1.6253,5.0
498,0.78704579,3.623,K,0.3840708891731388,4.54,-0.76,-0.1035,5.0
499,0.770016444,3.618,K,0.3371408601481126,4.5,-0.75,-0.0878,5.0
500,1.516002788,3.69,G,6.968052123399804e-05,2.142,2.193,1.2385,4.0
501,1.513909799,3.65,K,7.488785489280608e-06,1.496,2.679,1.5612,5.0
502,1.831049141,3.685,G,0.00011468626007026997,2.313,2.083,1.1937,4.0
503,1.857804455,3.642,K,6.5194564814097564e-06,1.486,2.744,1.6109,5.0
504,0.433311285,3.5,M,1.2856163603488908,4.804,-1.778,-0.3648,6.0
505,0.398015514,3.495,M,1.5915174003236978,4.854,-1.884,-0.408,6.0
506,0.498999373,3.572,M,1.2482782131874797,4.816,-1.44,-0.3401,6.0
507,0.442996199,3.56,M,1.3586618801046555,4.824,-1.55,-0.3696,6.0
508,0.567022118,3.593,K,0.8050287499378848,4.708,-1.19,-0.2581,5.0
509,0.531985751,3.581,M,0.8435510896683979,4.712,-1.27,-0.2741,6.0
510,0.583982725,3.572,M,0.7938005417756865,4.708,-1.26,-0.2518,6.0
511,0.544001378,3.558,M,0.962080451913569,4.753,-1.4,-0.2899,6.0
512,1.14788928,3.632,K,0.00014585166483610014,2.315,1.667,1.0913,5.0
513,1.15212606,3.583,K,7.435520764262926e-06,1.454,2.319,1.5227,5.0
514,0.394638998,3.486,M,1.6379905446991083,4.861,-1.92,-0.4134,6.0
516,0.597447846,3.582,M,0.5996687126629173,4.63,-1.134,-0.2079,6.0
517,0.60089695,3.582,M,0.6525463883893493,4.655,-1.134,-0.2193,6.0
518,0.469029328,3.539,M,1.305904415540986,4.82,-1.6,-0.3556,6.0
519,0.382032227,3.521,M,1.743056203513324,4.874,-1.82,-0.4271,6.0
520,0.526987119,3.522,M,0.9768129097610303,4.753,-1.55,-0.2967,6.0
521,0.491020925,3.515,M,1.122047883311641,4.783,-1.64,-0.327,6.0
522,0.609958096,3.593,M,0.6021592897702492,4.634,-1.09,-0.2055,6.0
523,0.598963006,3.581,M,0.5999449339320152,4.63,-1.14,-0.2076,6.0
524,0.735359995,3.574,M,0.18889105420431176,4.33,-0.772,-0.0106,6.0
525,0.668036205,3.562,M,0.19072665447367249,4.31,-0.851,-0.0259,6.0
526,0.497049911,3.518,M,0.41458290569892847,4.496,-1.337,-0.1811,6.0
528,0.225009057,3.496,M,3.396341800719528,4.9908,-2.258,-0.6003,6.0
529,0.210087397,3.494,M,3.7429272921586003,5.0091,-2.313,-0.6243,6.0
530,0.96894695,3.627,K,4.939823032029416e-05,1.978,1.91,1.2235,5.0
531,0.983105215,3.611,K,2.1863082348307183e-05,1.744,2.08,1.3436,5.0
532,4.913602273,3.657,K,8.285360140788603e-06,1.696,3.013,1.717,5.0
533,4.875284901,3.624,K,3.763668729309242e-06,1.466,3.111,1.8301,5.0
534,0.33931261,3.515,M,0.12159378863869302,4.0859,-1.105,-0.0588,6.0
535,0.326287172,3.513,M,0.1325901892544769,4.1053,-1.146,-0.077,6.0
536,0.395275594,3.513,M,1.9729287008220884,4.915,-1.863,-0.4401,6.0
537,0.209797351,3.494,M,2.488349569019403,4.891,-2.3,-0.5654,6.0
538,1.059985685,3.628,K,3.535992953626431e-05,1.893,2.03,1.2849,5.0
539,0.991060119,3.6,K,8.770238237786833e-06,1.48,2.31,1.477,5.0
540,0.235179791,3.51,M,3.4057392210417157,4.998,-2.194,-0.5943,6.0
541,0.207300333,3.501,M,3.9875981921164647,5.026,-2.312,-0.6354,6.0
542,0.590065197,3.605,K,0.6519456481779429,4.65,-1.07,-0.2218,5.0
543,0.64998001,3.626,K,0.7954472612905401,4.72,-1.01,-0.2366,5.0
544,0.115797718,3.483,M,0.3435669596093423,4.231,-1.842,-0.3648,6.0
545,0.105608774,3.483,M,0.33159760998166604,4.207,-1.861,-0.373,6.0
572,2.342,3.9978230807457256,A,0.368581777,4.272,1.4800069429571505,0.26764098234591555,2.0
573,2.337,3.9978230807457256,A,0.38136496,4.282,1.4689968090596017,0.26245108973042947,2.0
628,1.91,3.760045327965811,G,0.0195,3.39,1.3318320444362486,0.6637009253896482,4.0
642,1.855,3.7317498835272636,G,0.02909,3.5,1.1559430179718369,0.600210306409328,4.0
644,1.824,3.8112397727532894,F,0.09704,3.849,1.02816441942447,0.42455497660671315,3.0
648,1.811,3.730862992046494,G,0.02493,3.454,1.110589710299249,0.6200318951262973,4.0
660,1.727,3.7964355588101744,F,0.09212,3.826,0.9874875061330929,0.4242280706959799,3.0
665,1.688,3.792041310712082,F,0.09807,3.84,0.9864134054654686,0.4112829130173842,3.0
666,1.687,3.7790912038454993,F,0.04234,3.598,1.1792644643390253,0.5333907080175514,3.0
670,1.671,3.717670503002262,G,0.02157,3.401,1.1795517911651876,0.6294095991027189,4.0
675,1.63,3.718169405391307,G,0.0231,3.415,1.0591846176313713,0.615950051656401,4.0
676,1.627,3.7035492982382303,K,0.03227,3.514,0.9187640310279991,0.5671440451956572,5.0
678,1.626,3.7734938922709707,G,0.04143,3.588,1.159266331093494,0.5313511645830596,4.0
682,1.614,3.7245216271185626,G,0.04225,3.59,0.9233994661587165,0.5269850685599957,4.0
684,1.609,3.701222484256557,K,0.0278,3.469,0.7206553565517244,0.5871494982543437,5.0
686,1.6,3.8317418336456384,F,0.1324,3.919,0.9637878273455552,0.359835482339888,3.0
687,1.599,3.7229628089424898,G,0.03208,3.509,0.931457870689005,0.5656117249020587,4.0
689,1.596,3.8021577531869615,F,0.1156,3.877,0.9338414628987213,0.3789426986134373,3.0
690,1.59,3.811306840081336,F,0.1312,3.916,0.9633627661037362,0.36078268987328005,3.0
691,1.59,3.772834927239018,G,0.05494,3.665,1.0572856444182146,0.48727981644306895,4.0
692,1.589,3.8121108412030997,F,0.1269,3.905,0.9507541815935036,0.36417563277061943,3.0
694,1.583,3.710625015060797,K,0.02218,3.401,1.0322157032979815,0.6174197467371766,5.0
697,1.57,3.736157375273132,G,0.0365,3.543,0.9394693308435301,0.5453071164658241,4.0
699,1.567,3.8125122842899826,F,0.4052,4.241,0.5845573605256749,0.19562294358693666,3.0
701,1.566,3.726319612110775,G,0.04718,3.617,0.9915361753000315,0.5065050324048721,4.0
703,1.565,3.8092903011763157,F,0.132,3.915,0.9358597980378804,0.3569814009931312,3.0
705,1.56,3.827885982789856,F,0.1951,4.03,0.7348798027926275,0.3010299956639812,3.0
708,1.557,3.7238659644435037,G,0.04799,3.622,0.851441814672055,0.5035183127240748,4.0
709,1.55,3.821513528404773,F,0.1217,3.89,0.9392196358548183,0.3692158574101428,3.0
711,1.546,3.7026889681591335,K,0.01722,3.324,1.0572856444182146,0.6502103546603591,5.0
712,1.544,3.812846536967071,F,0.1504,3.952,0.8411090844681539,0.33705972632052456,3.0
714,1.538,3.799891684656865,F,0.1409,3.932,0.8838317133294524,0.34596154181314126,3.0
715,1.538,3.794906106516804,F,0.06876,3.725,1.1129399760840801,0.4493240930987269,3.0
716,1.534,3.789439684567179,F,0.09451,3.82,0.86993541064686,0.4038066105474225,3.0
720,1.53,3.7781512503836434,F,0.07242,3.739,0.9942291408176984,0.44153803870216074,3.0
721,1.53,3.798097932062486,F,0.0639,3.701,1.0557604646877348,0.45939248775923086,3.0
722,1.529,3.7835462822703496,F,0.05749,3.671,1.0955180423231508,0.4746532533620627,3.0
723,1.5279,3.811507979945327,F,0.141852851,3.9336,0.8887970674566807,0.3452364600468796,3.0
726,1.522,3.823604628355158,F,0.2123,4.05,0.782114147479071,0.28510702956681194,3.0
728,1.52,3.832189461068513,F,0.1308,3.909,1.0021660617565078,0.35410843914740087,3.0
729,1.516,3.79155030502733,F,0.08423,3.781,1.1525940779274697,0.41830129131974547,3.0
730,1.515,3.808683509128969,F,0.164,3.973,0.8695837077134237,0.3205616801952366,3.0
731,1.515,3.7096091210726487,K,0.04531,3.601,0.8380300829853201,0.5077209766856136,5.0
732,1.512,3.8076026699164944,F,0.1986,4.03,0.7298125071609357,0.29380435991933673,3.0
733,1.509,3.7905666251460763,F,0.15694908,3.961,0.7844746437625164,0.3271545124094315,3.0
734,1.5089,3.797821311364024,F,0.147718202,3.9435,0.8441664104502007,0.3369198022002281,3.0
735,1.508,3.7933712489189557,F,0.1816,4.003,0.7222224639697303,0.3062105081677615,3.0
738,1.503,3.8006483553639883,F,0.06578,3.709,1.0572856444182146,0.45270622651102893,3.0
739,1.501,3.727053011353857,G,0.05452,3.652,0.9694625079746368,0.47957531017498845,4.0
743,1.5,3.8092903011763157,F,0.164,3.972,0.7890163267933746,0.31827208021162695,3.0
744,1.5,3.800854491503561,F,0.114,3.863,0.9738664498353783,0.3692158574101428,3.0
745,1.4975,3.805092878342673,F,0.151095093,3.949,0.858236335429513,0.3320949284460794,3.0
746,1.497,3.819872821950546,F,0.2239,4.063,0.7740057302582095,0.2743887955503789,3.0
747,1.497,3.8027737252919755,F,0.191037568,4.017,0.7599698575543072,0.2979792441593624,3.0
748,1.495,3.718501688867274,G,0.03689,3.54,0.9092885241622507,0.5356738034257501,4.0
751,1.493,3.7960189693471493,F,0.06335,3.697,1.0655797147284485,0.4572761860613257,3.0
752,1.491,3.7074850119674734,K,0.06506,3.703,0.740993931584886,0.4523998459114416,5.0
