Mass[solMass],logT,Absolute Mag,B-V
2.68,3.936,1.64,0.63
3.09,4.04,1.69,0.48
2.93,4.02,1.83,0.5
2.39,3.956,2.18,0.59
2.62,3.981,2.19,0.55
2.49,3.981,2.19,0.55
2.46,3.981,2.19,0.55
2.82,4.05,2.24,0.47
2.7,4.02,2.25,0.5
2.69,4.02,2.27,0.5
2.41,3.994,2.66,0.53
2.28,3.941,2.67,0.62
2.2,3.941,2.67,0.62
2.14,3.941,2.67,0.62
3.59,4.05,-0.23,0.14
3.32,4.04,0.06,0.15
3.89,4.117,0.14,0.09
2.97,4.062,1.07,0.13
2.9,4.075,1.37,0.12
2.75,4.062,1.58,0.13
2.45,4.01,1.72,0.18
2.19,3.945,1.89,0.28
2.19,3.975,2.06,0.23
2.07,3.927,2.1,0.32
1.99,3.936,2.33,0.3
1.83,3.905,2.63,0.37
1.97,3.963,2.65,0.25
1.55,3.847,3.3,0.52
1.5,3.865,3.55,0.47
1.43,3.834,3.65,0.56
1.42,3.841,3.73,0.54
1.31,3.822,4.04,0.6
1.29,3.803,4.05,0.66
1.29,3.813,4.11,0.63
1.28,3.822,4.2,0.6
2.72,3.792,0.33,0.497
2.42,3.86,0.45,0.273
2.38,3.94,0.5,0.081
2.3,3.943,0.68,0.076
2.66,4.029,0.79,-0.049
2.36,3.957,0.96,0.049
2.04,3.925,1.54,0.114
1.91,3.901,1.77,0.167
1.94,3.928,1.79,0.108
1.69,3.863,1.92,0.266
1.82,3.896,1.98,0.181
1.8,3.897,2.04,0.179
1.75,3.886,2.15,0.207
1.76,3.897,2.17,0.177
1.72,3.874,2.23,0.237
1.74,3.903,2.26,0.163
1.49,3.86,2.92,0.275
1.34,3.833,3.39,0.353
1.27,3.82,3.62,0.397
1.26,3.817,3.63,0.407
1.2,3.787,3.67,0.518
1.14,3.787,3.67,0.518
1.14,3.787,3.67,0.518
1.19,3.803,3.87,0.449
1.19,3.805,3.92,0.443
1.15,3.799,4.05,0.463
1.15,3.8,4.06,0.461
1.15,3.802,4.1,0.453
1.14,3.797,4.11,0.475
1.11,3.783,4.11,0.535
1.1,3.785,4.23,0.525
1.09,3.789,4.33,0.51
1.04,3.776,4.52,0.566
1.05,3.78,4.6,0.547
1.05,3.782,4.62,0.54
1.0,3.771,4.84,0.589
1.0,3.77,4.86,0.594
0.86,3.728,5.28,0.776
0.91,3.75,5.41,0.679
0.84,3.724,5.5,0.793
0.8,3.715,5.88,0.834
0.83,3.728,6.01,0.776
0.75,3.701,6.31,0.895
2.56,3.896,0.18,0.18
3.33,3.692,0.43,0.99
3.23,3.694,0.54,0.98
3.13,3.698,0.62,0.96
2.3,3.956,1.07,0.05
1.96,3.869,1.25,0.25
1.88,3.873,1.43,0.24
2.0,3.9,1.55,0.17
1.96,3.9,1.55,0.17
1.87,3.9,1.55,0.17
2.0,3.905,1.57,0.16
1.91,3.905,1.57,0.16
1.88,3.905,1.57,0.16
1.75,3.877,1.8,0.23
1.73,3.865,2.17,0.26
