Mass[solMass],logT,Absolute Mag,B-V
22.26,4.8,-0.5,0.1
4.2,3.988,-0.33,0.43
4.28,4.1,-0.06,0.32
4.34,4.117,-0.02,0.31
4.98,4.2,0.34,0.26
3.52,4.05,0.51,0.36
3.33,4.0,0.56,0.41
4.6,4.183,0.6,0.27
3.87,4.1,0.68,0.32
4.44,4.183,0.83,0.27
9.36,4.45,0.89,0.14
2.89,3.981,1.07,0.44
3.0,4.02,1.08,0.39
3.22,4.03,1.11,0.38
3.22,4.03,1.11,0.38
3.03,4.03,1.11,0.38
2.88,3.994,1.13,0.42
6.12,4.325,1.17,0.18
4.23,4.2,1.43,0.26
2.9,4.03,1.62,0.38
2.92,4.04,1.64,0.37
2.44,3.945,1.7,0.5
2.48,3.969,1.74,0.46
2.3,3.892,1.89,0.62
2.37,3.956,1.9,0.48
3.61,4.167,1.92,0.28
2.27,3.896,1.94,0.61
4.58,4.267,1.97,0.21
2.67,4.03,2.06,0.38
3.02,4.1,2.09,0.32
2.38,3.956,2.19,0.48
2.26,3.956,2.19,0.48
2.24,3.956,2.19,0.48
2.83,4.075,2.19,0.34
2.38,3.956,2.19,0.48
2.26,3.956,2.19,0.48
2.24,3.956,2.19,0.48
3.19,4.133,2.2,0.3
3.19,4.133,2.2,0.3
2.71,4.075,2.49,0.34
2.36,4.0,2.5,0.41
2.34,3.994,2.5,0.42
2.63,4.075,2.68,0.34
2.21,3.981,2.75,0.44
1.89,3.892,2.75,0.62
2.44,4.05,2.86,0.36
2.13,3.981,2.98,0.44
2.26,4.02,3.03,0.39
1.98,3.945,3.1,0.5
1.85,3.9,3.2,0.6
1.84,3.9,3.25,0.6
1.82,3.9,3.28,0.6
2.66,4.133,3.35,0.3
1.9,3.945,3.36,0.5
1.89,3.945,3.39,0.5
1.75,3.862,3.4,0.7
1.73,3.862,3.4,0.7
1.63,3.862,3.4,0.7
1.73,3.862,3.46,0.7
1.68,3.862,3.46,0.7
1.62,3.862,3.46,0.7
2.08,4.01,3.47,0.4
1.86,3.945,3.5,0.5
1.83,3.945,3.6,0.5
1.83,3.945,3.6,0.5
1.68,3.862,3.6,0.7
2.01,4.01,3.7,0.4
1.61,3.732,3.8,1.2
7.88,4.267,-2.1,-0.05
7.69,4.267,-2.1,-0.05
7.48,4.267,-2.1,-0.05
5.18,4.15,-1.35,0.03
5.0,4.133,-1.29,0.04
4.72,4.133,-1.06,0.04
4.44,4.1,-0.98,0.06
4.38,4.133,-0.44,0.04
4.34,4.15,-0.25,0.03
4.38,4.167,-0.1,0.02
4.35,4.167,-0.06,0.02
3.74,4.117,0.22,0.05
3.57,4.1,0.3,0.06
3.42,4.075,0.33,0.08
3.72,4.133,0.45,0.04
3.57,4.117,0.48,0.05
3.35,4.1,0.66,0.06
3.11,4.075,0.83,0.08
2.85,4.05,1.08,0.1
2.83,4.05,1.11,0.1
2.59,3.994,1.19,0.16
2.67,4.03,1.28,0.12
2.82,4.062,1.29,0.09
2.82,4.062,1.29,0.09
2.43,3.975,1.4,0.19
2.47,4.0,1.46,0.15
2.51,4.01,1.47,0.14
2.44,3.994,1.48,0.16
2.43,4.0,1.57,0.15
2.34,3.981,1.64,0.18
2.25,3.945,1.64,0.24
2.31,3.981,1.69,0.18
2.35,3.994,1.71,0.16
2.25,3.969,1.75,0.2
2.62,4.062,1.77,0.09
1.97,3.9,1.79,0.34
2.21,3.963,1.8,0.21
2.16,3.945,1.85,0.24
2.29,3.994,1.86,0.16
2.35,4.01,1.87,0.14
2.24,3.994,2.0,0.16
2.17,3.975,2.0,0.19
2.08,3.975,2.31,0.19
1.98,3.956,2.43,0.22
1.93,3.945,2.47,0.24
1.58,3.847,3.08,0.48
1.61,3.892,3.16,0.36
1.54,3.825,3.19,0.55
1.52,3.825,3.19,0.55
1.42,3.825,3.19,0.55
1.59,3.892,3.25,0.36
1.54,3.869,3.29,0.42
1.53,3.869,3.31,0.42
1.48,3.862,3.46,0.44
1.47,3.865,3.57,0.43
1.37,3.819,3.71,0.57
1.33,3.837,3.95,0.51
1.23,3.8,4.14,0.63
1.22,3.806,4.23,0.61
1.18,3.789,4.28,0.68
8.24,3.657,-1.76,1.83
7.19,3.657,-1.76,1.83
6.86,3.657,-1.76,1.83
12.11,4.45,-0.64,0.24
6.34,4.225,-0.35,0.34
5.97,4.225,-0.35,0.34
5.96,4.225,-0.35,0.34
4.84,4.117,-0.16,0.41
5.37,3.679,0.02,1.66
4.64,3.679,0.02,1.66
4.15,3.679,0.02,1.66
8.56,4.375,0.18,0.26
5.32,3.664,0.2,1.71
4.6,3.664,0.2,1.71
4.0,3.664,0.2,1.71
6.48,4.283,0.3,0.3
4.78,4.2,0.89,0.36
4.25,4.15,0.94,0.39
28.04,5.45,1.08,0.13
4.24,4.167,1.18,0.38
4.71,4.212,1.21,0.35
6.31,4.325,1.28,0.28
6.75,4.35,1.32,0.27
4.48,4.2,1.34,0.36
3.7,4.117,1.37,0.41
5.5,4.283,1.4,0.3
4.42,4.2,1.43,0.36
3.28,4.05,1.44,0.46
3.2,4.04,1.49,0.47
5.41,4.283,1.5,0.3
3.85,4.15,1.55,0.39
3.45,4.1,1.57,0.42
3.79,4.15,1.66,0.39
3.39,4.1,1.68,0.42
4.64,4.237,1.72,0.33
2.94,4.01,1.74,0.5
2.86,4.01,1.74,0.5
2.77,4.01,1.74,0.5
3.73,4.15,1.76,0.39
4.44,4.225,1.8,0.34
2.46,3.896,1.93,0.71
2.74,3.988,1.97,0.53
2.7,3.988,1.97,0.53
2.57,3.988,1.97,0.53
4.07,4.2,1.97,0.36
3.75,4.167,1.99,0.38
2.78,4.01,2.01,0.5
2.84,4.03,2.02,0.48
28.52,5.75,2.03,0.1
2.82,4.03,2.06,0.48
4.38,4.237,2.1,0.33
4.11,4.212,2.11,0.35
4.5,4.25,2.12,0.32
5.94,4.35,2.13,0.27
2.92,4.062,2.13,0.45
2.81,4.04,2.15,0.47
3.35,4.133,2.21,0.4
3.47,4.15,2.22,0.39
2.94,4.075,2.24,0.44
2.93,4.075,2.28,0.44
4.56,4.267,2.3,0.31
3.69,4.183,2.33,0.37
3.15,4.117,2.36,0.41
2.21,3.914,2.37,0.67
2.95,4.087,2.39,0.43
3.48,4.167,2.44,0.38
16.46,4.8,2.46,0.2
3.21,4.133,2.47,0.4
2.75,4.062,2.53,0.45
2.34,3.945,2.54,0.6
2.27,3.945,2.54,0.6
2.19,3.945,2.54,0.6
2.4,3.975,2.55,0.55
2.11,3.914,2.57,0.67
2.1,3.923,2.65,0.65
2.31,3.969,2.71,0.56
2.06,3.918,2.71,0.66
2.43,4.01,2.73,0.5
2.05,3.828,2.74,0.9
2.6,4.05,2.76,0.46
2.46,4.02,2.76,0.49
2.29,3.975,2.79,0.55
3.28,4.167,2.8,0.38
1.97,3.888,2.82,0.73
2.27,3.975,2.84,0.55
2.3,3.988,2.85,0.53
2.29,3.988,2.88,0.53
2.61,4.062,2.89,0.45
2.17,3.941,2.89,0.61
2.28,3.988,2.9,0.53
2.19,3.956,2.91,0.58
3.36,4.183,2.91,0.37
2.29,3.994,2.93,0.52
2.44,4.03,2.93,0.48
2.4,4.02,2.93,0.49
2.23,3.975,2.93,0.55
2.83,4.117,3.02,0.41
2.09,3.932,3.02,0.63
1.88,3.844,3.03,0.85
3.76,4.237,3.04,0.33
2.35,4.02,3.08,0.49
2.06,3.923,3.08,0.65
2.17,3.975,3.11,0.55
2.51,4.062,3.13,0.45
1.85,3.888,3.14,0.73
2.09,3.956,3.15,0.58
2.05,3.941,3.16,0.61
1.81,3.847,3.16,0.84
1.82,3.877,3.18,0.76
2.16,3.981,3.19,0.54
1.96,3.909,3.27,0.68
1.97,3.918,3.28,0.66
2.51,4.075,3.29,0.44
23.45,5.35,3.31,0.14
1.78,3.881,3.32,0.75
1.91,3.885,3.32,0.74
1.9,3.885,3.32,0.74
1.79,3.885,3.32,0.74
1.98,3.936,3.33,0.62
1.77,3.881,3.35,0.75
2.0,3.95,3.37,0.59
1.98,3.945,3.38,0.6
2.2,4.01,3.39,0.5
1.97,3.945,3.42,0.6
1.94,3.932,3.42,0.63
2.01,3.963,3.47,0.57
1.94,3.941,3.49,0.61
1.68,3.85,3.49,0.83
1.84,3.9,3.54,0.7
1.84,3.9,3.54,0.7
1.82,3.877,3.56,0.76
1.75,3.877,3.56,0.76
1.7,3.877,3.56,0.76
1.91,3.941,3.59,0.61
1.89,3.936,3.6,0.62
1.89,3.936,3.61,0.62
2.12,4.01,3.63,0.5
1.62,3.854,3.71,0.82
5.03,4.117,-1.9,-0.12
4.14,4.087,-1.27,-0.1
4.57,4.15,-1.02,-0.14
4.16,4.1,-0.96,-0.11
4.11,4.1,-0.96,-0.11
3.93,4.1,-0.96,-0.11
4.04,4.1,-0.82,-0.11
3.88,4.1,-0.82,-0.11
3.81,4.1,-0.82,-0.11
3.88,4.1,-0.62,-0.11
3.75,4.087,-0.55,-0.1
3.92,4.133,-0.37,-0.13
3.55,4.075,-0.36,-0.09
3.35,4.087,0.03,-0.1
3.16,4.05,0.03,-0.07
3.11,4.062,0.2,-0.08
2.85,4.01,0.3,-0.03
2.8,4.04,0.59,-0.06
2.35,3.956,0.64,0.05
2.54,3.975,0.69,0.02
2.39,3.975,0.69,0.02
2.39,3.975,0.69,0.02
2.46,3.956,0.75,0.05
2.44,3.956,0.75,0.05
2.31,3.956,0.75,0.05
2.51,3.981,0.76,0.01
2.82,4.062,0.77,-0.08
2.53,4.01,0.91,-0.03
2.65,4.04,0.93,-0.06
2.54,4.02,0.98,-0.04
2.66,4.05,1.0,-0.07
2.3,3.941,1.02,0.08
2.23,3.941,1.02,0.08
2.16,3.941,1.02,0.08
2.42,3.994,1.03,-0.01
2.23,3.975,1.33,0.02
2.19,3.981,1.51,0.01
2.15,3.975,1.58,0.02
2.01,3.936,1.65,0.09
1.99,3.923,1.65,0.12
2.05,3.956,1.69,0.05
1.8,3.892,2.04,0.19
1.8,3.914,2.13,0.14
1.77,3.914,2.25,0.14
1.68,3.892,2.4,0.19
1.66,3.885,2.42,0.21
1.61,3.881,2.58,0.22
5.28,3.66,-0.51,1.46
4.57,3.66,-0.51,1.46
3.94,3.66,-0.51,1.46
4.4,3.736,-0.34,1.05
3.98,3.736,-0.34,1.05
3.89,3.736,-0.34,1.05
3.51,3.923,-0.2,0.39
4.87,3.652,-0.11,1.46
4.29,3.652,-0.11,1.46
3.61,3.652,-0.11,1.46
3.76,3.633,0.52,1.55
3.68,3.633,0.52,1.55
3.17,3.633,0.52,1.55
5.0,4.25,0.64,0.06
4.58,4.225,0.82,0.08
3.43,4.1,0.82,0.16
3.25,4.075,0.88,0.18
3.17,4.075,1.01,0.18
4.15,4.2,1.07,0.1
2.57,3.819,1.2,0.67
3.89,4.183,1.23,0.11
3.12,4.1,1.41,0.16
2.81,4.05,1.46,0.2
4.81,4.283,1.46,0.04
3.69,4.183,1.56,0.11
2.1,3.627,1.82,1.58
2.79,4.075,1.82,0.18
2.43,4.0,1.85,0.25
2.35,4.0,2.05,0.25
2.69,4.075,2.05,0.18
2.14,3.918,2.09,0.4
2.11,3.918,2.09,0.4
2.01,3.918,2.09,0.4
2.15,3.927,2.11,0.38
2.03,3.927,2.11,0.38
2.02,3.927,2.11,0.38
2.2,3.963,2.13,0.31
2.37,4.03,2.34,0.22
3.34,4.2,2.39,0.1
2.29,4.02,2.47,0.23
2.1,3.969,2.47,0.3
2.53,4.075,2.47,0.18
2.27,4.02,2.52,0.23
1.76,3.877,2.59,0.5
1.91,3.927,2.69,0.38
1.87,3.932,2.86,0.37
2.03,3.988,2.89,0.27
1.84,3.923,2.89,0.39
1.79,3.905,2.91,0.43
1.78,3.9,2.91,0.44
1.87,3.941,2.95,0.35
2.04,4.0,3.0,0.25
1.56,3.831,3.04,0.63
1.91,3.969,3.08,0.3
1.74,3.909,3.12,0.42
1.53,3.825,3.13,0.65
1.54,3.834,3.14,0.62
1.72,3.909,3.19,0.42
1.64,3.85,3.22,0.57
1.57,3.85,3.22,0.57
1.54,3.85,3.22,0.57
1.72,3.963,3.75,0.31
3.22,3.652,0.56,1.23
3.17,3.652,0.56,1.23
2.94,3.652,0.56,1.23
3.18,3.696,0.7,1.01
2.53,3.723,1.19,0.87
1.97,3.888,1.37,0.24
2.67,3.668,1.4,1.15
2.61,3.668,1.4,1.15
2.61,3.668,1.4,1.15
2.67,3.67,1.41,1.14
2.66,3.682,1.46,1.08
2.61,3.666,1.47,1.16
2.55,3.666,1.47,1.16
2.49,3.666,1.47,1.16
2.58,3.668,1.51,1.15
2.53,3.668,1.51,1.15
2.51,3.668,1.51,1.15
2.57,3.672,1.54,1.13
1.69,3.789,2.1,0.55
1.6,3.786,2.31,0.56
1.57,3.816,2.33,0.45
1.56,3.795,2.38,0.52
1.71,3.728,2.47,0.83
1.51,3.806,2.48,0.48
1.72,3.721,2.52,0.87
1.51,3.786,2.54,0.56
1.9,3.694,2.55,1.02
1.59,3.738,2.6,0.78
1.45,3.803,2.64,0.49
1.37,3.806,2.9,0.48
1.36,3.795,2.91,0.52
1.34,3.793,2.97,0.53
1.34,3.795,2.98,0.52
1.34,3.795,2.99,0.52
1.35,3.809,2.99,0.47
1.47,3.816,3.0,0.45
1.44,3.816,3.0,0.45
1.35,3.816,3.0,0.45
1.32,3.798,3.04,0.51
1.45,3.819,3.06,0.44
1.39,3.819,3.06,0.44
1.35,3.819,3.06,0.44
1.38,3.803,3.22,0.49
1.37,3.803,3.22,0.49
1.28,3.803,3.22,0.49
1.34,3.803,3.36,0.49
1.29,3.803,3.36,0.49
1.25,3.803,3.36,0.49
1.33,3.8,3.38,0.5
1.29,3.8,3.38,0.5
1.24,3.8,3.38,0.5
1.34,3.819,3.41,0.44
1.31,3.8,3.45,0.5
1.25,3.8,3.45,0.5
1.23,3.8,3.45,0.5
1.31,3.803,3.45,0.49
1.24,3.803,3.45,0.49
1.23,3.803,3.45,0.49
1.31,3.8,3.46,0.5
1.25,3.8,3.46,0.5
1.23,3.8,3.46,0.5
1.3,3.809,3.54,0.47
1.28,3.813,3.63,0.46
1.25,3.8,3.67,0.5
1.26,3.813,3.72,0.46
1.23,3.793,3.74,0.53
1.2,3.791,3.85,0.54
1.17,3.786,3.94,0.56
1.17,3.789,3.97,0.55
1.18,3.8,3.99,0.5
1.18,3.8,4.0,0.5
1.14,3.791,4.13,0.54
0.99,3.718,4.25,0.86
1.15,3.806,4.34,0.48
1.1,3.789,4.39,0.55
1.09,3.786,4.42,0.56
1.03,3.768,4.56,0.64
1.07,3.789,4.7,0.55
1.01,3.77,4.86,0.63
0.9,3.734,4.96,0.79
0.98,3.766,5.07,0.65
0.92,3.748,5.19,0.73
0.95,3.759,5.2,0.68
0.95,3.759,5.25,0.68
0.89,3.743,5.56,0.75
0.87,3.736,5.6,0.78
0.8,3.714,5.74,0.88
3.23,3.627,0.11,1.37
3.02,3.627,0.11,1.37
3.23,3.627,0.11,1.37
3.38,3.631,0.11,1.35
3.35,3.631,0.11,1.35
3.05,3.631,0.11,1.35
3.05,3.65,0.71,1.26
3.02,3.65,0.71,1.26
2.82,3.65,0.71,1.26
3.27,3.666,0.74,1.18
3.11,3.666,0.74,1.18
3.05,3.666,0.74,1.18
3.21,3.682,0.89,1.1
3.14,3.676,0.93,1.13
3.12,3.682,0.99,1.1
3.11,3.682,1.0,1.1
3.1,3.682,1.01,1.1
2.37,3.963,1.14,0.1
2.95,3.676,1.16,1.13
2.68,3.713,1.18,0.94
2.02,3.905,1.34,0.22
2.22,3.956,1.43,0.11
1.98,3.905,1.44,0.22
1.96,3.888,1.44,0.26
1.87,3.834,1.65,0.41
2.54,3.682,1.68,1.1
2.09,3.95,1.69,0.12
1.94,3.775,1.72,0.63
2.49,3.682,1.74,1.1
2.42,3.69,1.85,1.06
1.97,3.927,1.89,0.17
2.36,3.692,1.9,1.05
2.07,3.725,1.92,0.88
2.32,3.674,1.96,1.14
1.56,3.789,2.46,0.57
1.52,3.822,2.54,0.45
1.67,3.73,2.59,0.84
1.82,3.704,2.6,0.99
1.48,3.786,2.67,0.58
1.8,3.702,2.67,1.0
1.63,3.877,2.68,0.29
1.61,3.73,2.7,0.84
1.47,3.782,2.7,0.6
1.58,3.837,2.76,0.4
1.52,3.837,2.76,0.4
1.47,3.837,2.76,0.4
1.67,3.712,2.8,0.94
1.41,3.8,2.82,0.52
1.69,3.705,2.84,0.98
1.41,3.768,2.87,0.66
1.39,3.77,2.92,0.65
1.38,3.78,2.94,0.61
1.37,3.784,2.95,0.59
1.37,3.782,2.96,0.6
1.36,3.78,2.99,0.61
1.37,3.77,2.99,0.65
1.4,3.741,3.0,0.78
1.42,3.735,3.02,0.81
1.36,3.773,3.02,0.64
1.35,3.782,3.02,0.6
1.35,3.775,3.04,0.63
1.34,3.78,3.05,0.61
1.33,3.784,3.06,0.59
1.35,3.755,3.06,0.72
1.34,3.777,3.06,0.62
1.34,3.78,3.06,0.61
1.35,3.752,3.07,0.73
1.33,3.784,3.08,0.59
1.47,3.721,3.09,0.88
1.34,3.764,3.09,0.68
1.34,3.755,3.1,0.72
1.32,3.777,3.1,0.62
1.32,3.789,3.11,0.57
1.31,3.791,3.12,0.56
1.31,3.782,3.12,0.6
1.31,3.789,3.12,0.57
1.31,3.791,3.14,0.56
1.3,3.789,3.15,0.57
1.31,3.791,3.15,0.56
1.31,3.777,3.15,0.62
1.44,3.819,3.17,0.46
1.36,3.819,3.17,0.46
1.34,3.819,3.17,0.46
1.32,3.748,3.17,0.75
1.4,3.724,3.18,0.86
1.3,3.793,3.18,0.55
1.3,3.789,3.18,0.57
1.41,3.806,3.2,0.5
1.4,3.806,3.2,0.5
1.31,3.806,3.2,0.5
1.3,3.752,3.2,0.73
1.29,3.789,3.21,0.57
1.3,3.745,3.23,0.76
1.29,3.757,3.23,0.71
1.39,3.722,3.23,0.87
1.28,3.789,3.23,0.57
1.28,3.789,3.23,0.57
1.28,3.793,3.25,0.55
1.27,3.777,3.25,0.62
1.49,3.704,3.26,0.97
1.27,3.793,3.27,0.55
1.28,3.798,3.28,0.53
1.27,3.793,3.28,0.55
1.38,3.803,3.29,0.51
1.36,3.803,3.29,0.51
1.28,3.803,3.29,0.51
1.27,3.789,3.29,0.57
1.27,3.755,3.29,0.72
1.38,3.809,3.31,0.49
1.32,3.809,3.31,0.49
1.29,3.809,3.31,0.49
1.5,3.699,3.31,1.0
1.37,3.806,3.32,0.5
1.33,3.806,3.32,0.5
1.28,3.806,3.32,0.5
1.36,3.718,3.33,0.89
1.26,3.795,3.34,0.54
1.25,3.793,3.35,0.55
1.42,3.707,3.35,0.95
1.35,3.718,3.36,0.89
1.27,3.734,3.37,0.81
1.34,3.718,3.38,0.89
1.22,3.777,3.43,0.62
1.27,3.724,3.45,0.86
1.31,3.8,3.5,0.52
1.26,3.8,3.5,0.52
1.23,3.8,3.5,0.52
1.31,3.795,3.5,0.54
1.28,3.795,3.5,0.54
1.22,3.795,3.5,0.54
1.2,3.77,3.51,0.65
1.2,3.782,3.51,0.6
1.31,3.8,3.51,0.52
1.25,3.8,3.51,0.52
1.23,3.8,3.51,0.52
1.2,3.78,3.52,0.61
1.19,3.773,3.52,0.64
1.2,3.789,3.53,0.57
1.19,3.782,3.56,0.6
1.19,3.78,3.57,0.61
1.29,3.795,3.57,0.54
1.24,3.795,3.57,0.54
1.21,3.795,3.57,0.54
1.19,3.782,3.58,0.6
1.26,3.786,3.6,0.58
1.26,3.786,3.6,0.58
1.18,3.786,3.6,0.58
1.18,3.784,3.61,0.59
1.17,3.777,3.64,0.62
1.17,3.782,3.64,0.6
1.26,3.793,3.65,0.55
1.21,3.793,3.65,0.55
1.19,3.793,3.65,0.55
1.27,3.8,3.66,0.52
1.24,3.784,3.66,0.59
1.24,3.784,3.66,0.59
1.17,3.784,3.66,0.59
1.16,3.782,3.67,0.6
1.28,3.809,3.67,0.49
1.25,3.789,3.68,0.57
1.21,3.789,3.68,0.57
1.17,3.789,3.68,0.57
1.15,3.78,3.7,0.61
1.25,3.793,3.7,0.55
1.19,3.793,3.7,0.55
1.18,3.793,3.7,0.55
1.15,3.777,3.71,0.62
1.24,3.786,3.71,0.58
1.21,3.786,3.71,0.58
1.16,3.786,3.71,0.58
1.23,3.786,3.72,0.58
1.2,3.786,3.72,0.58
1.16,3.786,3.72,0.58
1.15,3.777,3.72,0.62
1.23,3.784,3.73,0.59
1.2,3.784,3.73,0.59
1.15,3.784,3.73,0.59
1.24,3.791,3.74,0.56
1.18,3.791,3.74,0.56
1.17,3.791,3.74,0.56
1.14,3.736,3.74,0.8
1.24,3.793,3.75,0.55
1.22,3.786,3.76,0.58
1.18,3.786,3.76,0.58
1.15,3.786,3.76,0.58
1.24,3.803,3.78,0.51
1.24,3.803,3.78,0.51
1.13,3.775,3.79,0.63
1.23,3.798,3.81,0.53
1.2,3.78,3.81,0.61
1.18,3.78,3.81,0.61
1.13,3.78,3.81,0.61
1.22,3.793,3.81,0.55
1.22,3.791,3.81,0.56
1.22,3.791,3.82,0.56
1.19,3.78,3.83,0.61
1.17,3.78,3.83,0.61
1.13,3.78,3.83,0.61
1.21,3.786,3.84,0.58
1.15,3.786,3.84,0.58
1.14,3.786,3.84,0.58
1.11,3.768,3.84,0.66
1.21,3.793,3.85,0.55
1.23,3.806,3.86,0.5
1.22,3.798,3.87,0.53
1.21,3.793,3.87,0.55
1.22,3.803,3.87,0.51
1.22,3.8,3.89,0.52
1.2,3.791,3.89,0.56
1.24,3.816,3.9,0.47
1.2,3.789,3.9,0.57
1.23,3.809,3.9,0.49
1.26,3.685,3.92,1.07
1.2,3.798,3.93,0.53
1.21,3.803,3.94,0.51
1.09,3.766,3.94,0.67
1.18,3.782,3.94,0.6
1.12,3.782,3.94,0.6
1.11,3.782,3.94,0.6
1.19,3.793,3.95,0.55
1.19,3.795,3.97,0.54
1.23,3.816,3.98,0.47
1.19,3.798,3.99,0.53
1.2,3.803,4.0,0.51
1.17,3.789,4.01,0.57
1.15,3.78,4.02,0.61
1.16,3.782,4.02,0.6
1.17,3.791,4.02,0.56
1.18,3.8,4.05,0.52
1.16,3.784,4.05,0.59
1.15,3.782,4.06,0.6
1.16,3.786,4.07,0.58
1.2,3.809,4.08,0.49
1.14,3.777,4.09,0.62
1.14,3.782,4.09,0.6
1.16,3.791,4.1,0.56
1.16,3.793,4.11,0.55
1.21,3.816,4.11,0.47
1.17,3.798,4.12,0.53
1.14,3.784,4.14,0.59
1.12,3.775,4.15,0.63
1.16,3.795,4.16,0.54
1.14,3.786,4.16,0.58
1.17,3.803,4.17,0.51
1.17,3.803,4.17,0.51
1.15,3.791,4.18,0.56
1.16,3.8,4.2,0.52
1.14,3.791,4.2,0.56
1.18,3.809,4.21,0.49
1.1,3.773,4.21,0.64
1.13,3.786,4.23,0.58
1.13,3.789,4.24,0.57
1.15,3.798,4.24,0.53
1.12,3.784,4.26,0.59
1.12,3.786,4.26,0.58
1.11,3.78,4.27,0.61
1.14,3.795,4.28,0.54
1.13,3.791,4.29,0.56
1.14,3.798,4.3,0.53
1.1,3.777,4.31,0.62
1.11,3.786,4.34,0.58
1.06,3.766,4.36,0.67
1.09,3.775,4.36,0.63
1.1,3.784,4.37,0.59
1.09,3.78,4.38,0.61
1.14,3.803,4.38,0.51
1.12,3.793,4.39,0.55
1.1,3.784,4.41,0.59
0.97,3.748,4.42,0.75
1.08,3.777,4.44,0.62
1.09,3.782,4.44,0.6
1.08,3.78,4.45,0.61
1.07,3.773,4.45,0.64
1.12,3.795,4.46,0.54
1.06,3.77,4.47,0.65
1.12,3.798,4.47,0.53
1.09,3.784,4.48,0.59
1.08,3.782,4.48,0.6
1.09,3.784,4.48,0.59
1.06,3.773,4.5,0.64
1.05,3.768,4.52,0.66
1.07,3.777,4.52,0.62
1.05,3.77,4.52,0.65
1.06,3.775,4.54,0.63
1.06,3.775,4.54,0.63
1.13,3.806,4.54,0.5
1.07,3.777,4.54,0.62
1.08,3.784,4.55,0.59
1.01,3.755,4.55,0.72
1.01,3.755,4.56,0.72
1.07,3.78,4.56,0.61
1.06,3.777,4.57,0.62
1.08,3.786,4.57,0.58
1.09,3.789,4.58,0.57
1.13,3.806,4.58,0.5
1.08,3.786,4.59,0.58
1.1,3.795,4.59,0.54
1.03,3.766,4.59,0.67
1.08,3.789,4.6,0.57
1.07,3.782,4.6,0.6
1.12,3.803,4.6,0.51
1.05,3.773,4.6,0.64
1.1,3.795,4.61,0.54
1.02,3.764,4.62,0.68
0.97,3.743,4.62,0.77
0.96,3.743,4.62,0.77
0.94,3.743,4.62,0.77
1.06,3.78,4.62,0.61
0.93,3.734,4.64,0.81
1.05,3.777,4.65,0.62
1.06,3.782,4.66,0.6
1.07,3.784,4.67,0.59
1.03,3.77,4.7,0.65
0.91,3.723,4.7,0.86
0.94,3.739,4.73,0.79
0.93,3.739,4.73,0.79
0.92,3.739,4.73,0.79
1.03,3.773,4.74,0.64
1.04,3.775,4.75,0.63
1.01,3.766,4.77,0.67
0.98,3.752,4.78,0.73
0.99,3.759,4.79,0.7
0.98,3.755,4.8,0.72
0.98,3.755,4.8,0.72
1.03,3.773,4.8,0.64
0.98,3.755,4.83,0.72
0.99,3.759,4.84,0.7
0.97,3.755,4.88,0.72
1.02,3.775,4.89,0.63
0.98,3.757,4.9,0.71
0.87,3.718,4.9,0.88
0.99,3.761,4.91,0.69
0.99,3.764,4.91,0.68
0.95,3.75,4.94,0.74
1.0,3.768,4.94,0.66
1.0,3.768,4.94,0.66
0.99,3.764,4.95,0.68
0.9,3.732,4.96,0.82
0.88,3.732,4.96,0.82
0.88,3.732,4.96,0.82
0.96,3.752,4.96,0.73
1.04,3.784,4.96,0.59
0.96,3.752,4.96,0.73
0.95,3.75,4.96,0.74
0.99,3.764,4.97,0.68
0.85,3.687,4.97,1.02
0.85,3.714,4.97,0.9
0.93,3.741,4.98,0.78
0.91,3.736,5.0,0.8
0.88,3.727,5.0,0.84
0.87,3.727,5.0,0.84
0.87,3.727,5.0,0.84
0.94,3.745,5.0,0.76
0.98,3.761,5.0,0.69
0.85,3.711,5.01,0.91
0.95,3.75,5.01,0.74
0.97,3.757,5.02,0.71
1.02,3.777,5.03,0.62
1.01,3.775,5.03,0.63
0.96,3.757,5.04,0.71
0.97,3.761,5.05,0.69
0.97,3.759,5.05,0.7
0.84,3.714,5.05,0.9
0.87,3.725,5.05,0.85
0.86,3.725,5.05,0.85
0.86,3.725,5.05,0.85
0.94,3.748,5.07,0.75
0.84,3.716,5.1,0.89
0.95,3.755,5.1,0.72
1.0,3.775,5.11,0.63
0.87,3.725,5.12,0.85
0.85,3.725,5.12,0.85
0.85,3.725,5.12,0.85
0.91,3.739,5.14,0.79
0.89,3.732,5.16,0.82
0.92,3.745,5.17,0.76
0.89,3.732,5.18,0.82
0.88,3.73,5.21,0.83
0.9,3.739,5.21,0.79
0.86,3.725,5.23,0.85
0.95,3.759,5.26,0.7
0.94,3.755,5.26,0.72
0.91,3.741,5.27,0.78
0.91,3.741,5.27,0.78
0.88,3.732,5.28,0.82
0.96,3.764,5.28,0.68
0.86,3.725,5.3,0.85
0.85,3.723,5.3,0.86
0.9,3.739,5.3,0.79
0.91,3.743,5.31,0.77
0.9,3.741,5.31,0.78
0.93,3.75,5.31,0.74
0.75,3.676,5.33,1.07
0.77,3.686,5.33,1.02
0.92,3.748,5.33,0.75
0.81,3.714,5.34,0.9
0.81,3.714,5.34,0.9
0.81,3.714,5.34,0.9
0.95,3.761,5.35,0.69
0.77,3.686,5.36,1.02
0.8,3.709,5.36,0.92
0.79,3.709,5.36,0.92
0.8,3.709,5.36,0.92
0.88,3.734,5.38,0.81
0.92,3.75,5.38,0.74
0.89,3.736,5.4,0.8
0.87,3.732,5.4,0.82
