B-V,log.Teff [K],Absolute Mag,Mass[solMass],Vmag,Plx,Age [yr],Distance,logL,Predicted_SpT
0.26,3.865,2.16,1.63,9.56,0.003311311,1050000000.0,301.995172,1.02,A
0.16,3.905,2.18,1.77,9.58,0.003311311,335000000.0,301.995172,1.02,A
0.93,3.704,2.25,1.92,9.65,0.003311311,860000000.0,301.995172,1.09,K
0.22,3.881,2.37,1.67,9.77,0.003311311,505000000.0,301.995172,0.94,A
0.2,3.888,2.37,1.68,9.77,0.003311311,407000000.0,301.995172,0.94,A
0.2,3.888,2.39,1.68,9.79,0.003311311,394000000.0,301.995172,0.93,A
0.23,3.877,2.41,1.66,9.81,0.003311311,530000000.0,301.995172,0.92,A
0.26,3.865,2.42,1.64,9.82,0.003311311,656000000.0,301.995172,0.92,A
0.21,3.885,2.42,1.66,9.82,0.003311311,425000000.0,301.995172,0.92,A
0.28,3.858,2.5,1.61,9.9,0.003311311,716000000.0,301.995172,0.89,A
0.27,3.862,2.55,1.6,9.95,0.003311311,649000000.0,301.995172,0.87,A
0.26,3.865,2.56,1.6,9.96,0.003311311,597000000.0,301.995172,0.86,A
0.16,3.905,2.58,1.66,9.98,0.003311311,-1.0,301.995172,0.86,A
0.22,3.881,2.59,1.61,9.99,0.003311311,354000000.0,301.995172,0.85,A
0.27,3.862,2.59,1.59,9.99,0.003311311,630000000.0,301.995172,0.85,A
0.25,3.869,2.62,1.58,10.02,0.003311311,502000000.0,301.995172,0.84,A
0.26,3.865,2.63,1.58,10.03,0.003311311,554000000.0,301.995172,0.83,A
0.22,3.881,2.64,1.59,10.04,0.003311311,295000000.0,301.995172,0.83,A
0.32,3.844,2.68,1.55,10.08,0.003311311,826000000.0,301.995172,0.81,F
0.3,3.85,2.69,1.55,10.09,0.003311311,735000000.0,301.995172,0.81,F
0.38,3.825,2.7,1.54,10.1,0.003311311,1070000000.0,301.995172,0.81,F
0.38,3.825,2.7,1.51,10.1,0.003311311,1210000000.0,301.995172,0.81,F
0.38,3.825,2.7,1.42,10.1,0.003311311,1760000000.0,301.995172,0.81,F
0.26,3.865,2.74,1.54,10.14,0.003311311,466000000.0,301.995172,0.79,A
0.25,3.869,2.76,1.54,10.16,0.003311311,381000000.0,301.995172,0.78,A
0.27,3.862,2.78,1.53,10.18,0.003311311,495000000.0,301.995172,0.77,A
0.3,3.85,2.78,1.52,10.18,0.003311311,688000000.0,301.995172,0.77,F
0.25,3.869,2.79,1.54,10.19,0.003311311,340000000.0,301.995172,0.77,A
0.27,3.862,2.82,1.52,10.22,0.003311311,458000000.0,301.995172,0.76,A
0.26,3.865,2.91,1.5,10.31,0.003311311,253000000.0,301.995172,0.72,A
0.24,3.873,2.94,1.51,10.34,0.003311311,29800000.0,301.995172,0.71,A
0.32,3.844,2.94,1.46,10.34,0.003311311,733000000.0,301.995172,0.71,F
0.3,3.85,2.95,1.47,10.35,0.003311311,585000000.0,301.995172,0.7,F
0.36,3.831,3.0,1.44,10.4,0.003311311,969000000.0,301.995172,0.69,F
0.21,3.885,3.02,1.51,10.42,0.003311311,-1.0,301.995172,0.68,A
0.34,3.837,3.02,1.43,10.42,0.003311311,834000000.0,301.995172,0.68,F
0.36,3.831,3.11,1.4,10.51,0.003311311,944000000.0,301.995172,0.65,F
0.37,3.828,3.18,1.38,10.58,0.003311311,996000000.0,301.995172,0.62,F
0.33,3.841,3.18,1.39,10.58,0.003311311,638000000.0,301.995172,0.61,F
0.36,3.831,3.2,1.38,10.6,0.003311311,900000000.0,301.995172,0.61,F
0.4,3.819,3.21,1.36,10.61,0.003311311,1240000000.0,301.995172,0.61,F
0.4,3.819,3.24,1.36,10.64,0.003311311,1240000000.0,301.995172,0.6,F
0.45,3.803,3.27,1.33,10.67,0.003311311,1710000000.0,301.995172,0.59,F
0.45,3.803,3.27,1.27,10.67,0.003311311,2470000000.0,301.995172,0.59,F
0.45,3.803,3.27,1.25,10.67,0.003311311,2820000000.0,301.995172,0.59,F
0.32,3.844,3.29,1.38,10.69,0.003311311,374000000.0,301.995172,0.57,F
0.31,3.847,3.29,1.38,10.69,0.003311311,254000000.0,301.995172,0.57,F
0.36,3.831,3.3,1.35,10.7,0.003311311,809000000.0,301.995172,0.57,F
0.3,3.85,3.31,1.38,10.71,0.003311311,101000000.0,301.995172,0.56,F
0.45,3.803,3.31,1.32,10.71,0.003311311,1720000000.0,301.995172,0.58,F
0.45,3.803,3.31,1.25,10.71,0.003311311,2650000000.0,301.995172,0.58,F
0.45,3.803,3.31,1.24,10.71,0.003311311,2860000000.0,301.995172,0.58,F
0.32,3.844,3.36,1.36,10.76,0.003311311,246000000.0,301.995172,0.54,F
0.39,3.822,3.39,1.32,10.79,0.003311311,1050000000.0,301.995172,0.54,F
0.46,3.8,3.43,1.28,10.83,0.003311311,1850000000.0,301.995172,0.53,F
0.37,3.828,3.43,1.32,10.83,0.003311311,767000000.0,301.995172,0.52,F
0.36,3.831,3.49,1.31,10.89,0.003311311,535000000.0,301.995172,0.49,F
0.38,3.825,3.59,1.28,10.99,0.003311311,634000000.0,301.995172,0.46,F
0.39,3.822,3.59,1.28,10.99,0.003311311,786000000.0,301.995172,0.46,F
0.32,3.844,3.59,1.32,10.99,0.003311311,-1.0,301.995172,0.45,F
0.42,3.813,3.68,1.24,11.08,0.003311311,1080000000.0,301.995172,0.42,F
0.44,3.806,3.77,1.21,11.17,0.003311311,1260000000.0,301.995172,0.39,F
0.41,3.816,3.85,1.22,11.25,0.003311311,511000000.0,301.995172,0.35,F
0.47,3.798,4.19,1.13,11.59,0.003311311,686000000.0,301.995172,0.23,F
