# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
FS_Mon,F2_V,F4_V,1.906,9.6,0.9,0.2127,0.0032,0.1649,0.003,0.312,0.0025,0.2119,0.0032,4.026,0.005,4.179,0.006,3.827,0.006,3.816,0.007,0.888,0.026,0.644,0.026
OGLE-SMC-ECL-0439,G2_III,G2_III,279.266,18.06,0.9,0.356,0.0057,0.3598,0.0057,1.1614,0.015,1.1875,0.0141,2.47,0.03,2.42,0.03,3.72,0.008,3.721,0.008,2.158,0.042,2.215,0.043
1SWASP_J093010.78+533859.5,K1_V,K5_V,1.306,9.84,0.88,-0.1158,0.0079,-0.1911,0.0081,-0.1209,0.0046,-0.129,0.0058,4.564,0.012,4.505,0.014,3.699,0.017,3.627,0.021,-0.49,0.07,-0.8,0.08
M4_V66,none,none,8.111,16.84,0.88,-0.1056,0.0025,-0.1283,0.0025,-0.0293,0.0022,-0.081,0.0028,4.388,0.077,4.469,0.085,3.79,0.007,3.774,0.008,0.053,0.028,-0.115,0.031
V375_Cep,none,none,1.91,16.12,0.88,0.1099,0.0057,-0.06,0.004,0.2103,0.0016,-0.0472,0.0015,4.129,0.007,4.473,0.002,3.794,0.003,3.703,0.015,-9.99,-9.99,-9.99,-9.99
OGLE_SMC113.3_4007,G8_III,G8_III,371.768,15.81,0.88,0.5446,0.0035,0.5516,0.003,1.6609,0.0066,1.6848,0.0063,1.66,0.017,1.62,0.016,3.681,0.009,3.682,0.009,3,0.033,3.053,0.03
CG_Cyg,G9_V,K3_V,0.631,10.08,0.86,-0.0269,0.0055,-0.0915,0.007,-0.0506,0.0063,-0.0757,0.0072,4.512,0.014,4.505,0.016,3.721,0.015,3.674,0.006,-0.26,0.06,-0.51,0.03
OGLE_SMC108.1_14904,F9_II,G7_II,185.218,15.21,0.86,0.645,0.004,0.6463,0.0036,1.6716,0.0049,1.8065,0.0034,1.74,0.014,1.472,0.01,3.754,0.008,3.695,0.008,3.313,0.042,3.346,0.038
Kepler-47,none,none,7.448,15.38,0.85,-0.0191,0.0064,-0.466,0.0038,-0.0287,0.0023,-0.4711,0.0026,4.476,0.005,4.914,0.005,3.751,0.008,3.526,0.013,-0.076,0.035,-1.854,0.062
KIC_8410637,G_III,none,408.324,11.33,0.85,0.1679,0.005,0.1169,0.0046,1.0251,0.002,0.192,0.0028,2.556,0.003,4.171,0.005,3.663,0.008,3.783,0.014,1.656,0.03,0.468,0.058
KIC_5193386,none,none,21.378,14.26,0.84,0.1418,0.0113,0.0615,0.0075,0.6537,0.0031,0.1202,0.003,3.272,0.018,4.259,0.014,3.679,0.009,3.82,0.01,-9.99,-9.99,-9.99,-9.99
ASAS_J065134-2211.5,G,none,8.22,9.83,0.83,-0.0195,0.0055,-0.1713,0.0032,-0.0013,0.0017,-0.1612,0.0044,4.421,0.003,4.589,0.009,3.74,0.008,3.599,0.012,-0.09,0.03,-0.96,0.05
AI_Phe,K0_IV,F7_V,24.592,8.61,0.83,0.0769,0.0003,0.0948,0.0003,0.2565,0.0005,0.4673,0.0003,4.002,0.0011,3.5981,0.0009,3.792,0.002,3.707,0.002,0.654,0.007,0.736,0.006
NGC_7142_V1,none,none,15.651,14.86,0.83,0.1389,0.0028,0.1389,0.0028,0.2084,0.0013,0.2076,0.0013,4.16,0.003,4.162,0.003,3.782,0.014,3.782,0.014,-9.99,-9.99,-9.99,-9.99
KIC_4076952,none,none,9.762,13.88,0.82,0.2695,0.007,0.1367,0.0063,0.4883,0.0023,0.1617,0.0024,3.742,0.011,4.251,0.011,3.819,0.015,3.825,0.015,-9.99,-9.99,-9.99,-9.99
OGLE-SMC-ECL-2761,F9_III,G0_III,150.364,17.3,0.82,0.3874,0.0071,0.3766,0.0055,1.238,0.0075,1.243,0.0099,2.35,0.01,2.33,0.02,3.751,0.009,3.747,0.009,2.431,0.04,2.428,0.042
OGLE-LMC-ECL26122,none,none,771.781,16.63,0.82,0.5555,0.0066,0.5329,0.006,1.5147,0.0068,1.3615,0.0091,1.964,0.014,2.248,0.018,3.698,0.007,3.699,0.007,-9.99,-9.99,-9.99,-9.99
OGLE-SMC-ECL-3529,F8_III,G3_III,234.326,17.12,0.8,0.3729,0.0055,0.3945,0.0088,1.1004,0.0138,1.3243,0.0062,2.61,0.03,2.18,0.01,3.766,0.007,3.723,0.015,2.22,0.042,2.498,0.061
NGC_3201_V142,none,none,27.693,17.25,0.78,-0.0947,0.0027,-0.1778,0.0013,0.3448,0.0045,-0.1593,0.0025,3.654,0.005,4.588,0.003,3.772,0.012,3.744,0.012,0.731,0.049,-0.24,0.11
LV_Her,F9_V,F9_V,18.436,11.06,0.78,0.0766,0.0036,0.0681,0.003,0.1329,0.0038,0.1183,0.0036,4.2493,0.0082,4.2695,0.0081,3.793,0.011,3.78,0.011,0.349,0.044,0.311,0.044
HS_Aur,G8_V,K0_V,9.815,10.16,0.77,-0.0458,0.0092,-0.056,0.0084,0.0017,0.0104,-0.059,0.0119,4.389,0.023,4.5,0.025,3.728,0.006,3.716,0.006,-0.13,0.03,-0.3,0.03
OGLE-SMC-ECL-1421,G2_III,G6_III,102.834,17.18,0.77,0.4346,0.0032,0.4548,0.003,1.248,0.0074,1.3766,0.0036,2.37,0.01,2.14,0.01,3.732,0.008,3.701,0.008,2.38,0.034,2.512,0.033
V818_Tau,G8_V,K4_V,5.609,8.32,0.76,0.0105,0.001,-0.1292,0.0009,-0.0348,0.0071,-0.1314,0.0153,4.518,0.014,4.571,0.032,3.752,0.004,3.633,0.01,-9.99,-9.99,-9.99,-9.99
Kepler-453,none,none,27.322,13.7,0.75,-0.025,0.0046,-0.7097,0.0045,-0.0794,0.0057,-0.6676,0.0028,4.571,0.015,5.063,0.005,3.742,0.008,3.509,0.013,-9.99,-9.99,-9.99,-9.99
NGC_3201_V139,none,none,8.789,18.08,0.74,-0.0937,0.0038,-0.1649,0.0019,0.0846,0.0043,-0.163,0.0025,4.175,0.006,4.599,0.003,3.793,0.005,3.745,0.006,0.294,0.022,-0.387,0.021
KIC_2306740,none,none,10.307,13.7,0.74,0.077,0.0029,0.0326,0.0028,0.2258,0.001,0.0885,0.0018,4.063,0.002,4.294,0.004,3.764,0.018,3.782,0.017,0.449,0.075,0.26,0.072
ASAS_J045021+2300.4,none,none,1.653,10.26,0.73,-0.0297,0.0079,-0.3883,0.0053,0.0245,0.0094,-0.3893,0.0096,4.36,0.018,4.829,0.019,3.753,0.005,3.555,0.012,-9.99,-9.99,-9.99,-9.99
RT_CrB,G5_IV,K0_IV,5.117,10.21,0.73,0.1281,0.0032,0.1332,0.0029,0.4175,0.0073,0.4692,0.0075,3.731,0.014,3.632,0.015,3.762,0.008,3.71,0.009,0.838,0.032,0.736,0.036
EF_Aqr,G0_V,none,2.854,9.89,0.72,0.0948,0.0028,-0.0241,0.0028,0.1265,0.0039,-0.0195,0.0055,4.28,0.007,4.453,0.011,3.789,0.006,3.715,0.009,0.36,0.011,-0.227,0.02
ASAS_J085002+1752.5,none,none,5.226,10.15,0.72,0.1225,0.001,0.1967,0.0008,0.1962,0.0069,0.5081,0.0057,4.168,0.014,3.619,0.011,3.817,0.014,3.758,0.018,-9.99,-9.99,-9.99,-9.99
KIC_8736245,G2_V,none,5.069,13.95,0.71,-0.0057,0.004,-0.1068,0.005,0.1176,0.002,-0.0947,0.0022,4.197,0.006,4.521,0.008,3.764,0.009,3.702,0.011,-9.99,-9.99,-9.99,-9.99
WOCS_40007,none,none,3.185,15.65,0.71,0.092,0.007,0.0358,0.0072,0.1458,0.0022,0.0406,0.0016,4.24,0.005,4.381,0.004,3.795,0.006,3.775,0.011,-9.99,-9.99,-9.99,-9.99
V432_Aur,none,none,3.082,8.15,0.7,0.0334,0.0056,0.0792,0.0065,0.0899,0.0021,0.3909,0.0035,4.29,0.008,3.74,0.01,3.825,0.006,3.784,0.006,-9.99,-9.99,-9.99,-9.99
