# System,SpT1,SpT2,Pday,Vmag,BmV,logM1,logM1e,logM2,logM2e,logR1,logR1e,logR2,logR2e,logg1,logg1e,logg2,logg2e,logT1,logT1e,logT2,logT2e,logL1,logL1e,logL2,logL2e
KW_Hya,A5_Vm,F0_V,7.75,6.11,0.17,0.2956,0.0062,0.1723,0.0038,0.3272,0.0031,0.1581,0.0066,4.079,0.013,4.27,0.01,3.903,0.011,3.843,0.013,1.221,0.044,0.64,0.054
EG_Ser,A2_V,A4_V,9.947,9.24,0.17,0.3424,0.0099,0.2989,0.0109,0.2458,0.0032,0.2133,0.0035,4.29,0.01,4.31,0.01,3.944,0.01,3.92,0.01,1.22,0.03,1.06,0.046
PV_Cas,B9.5_V,B9.5_V,1.75,9.74,0.17,0.4409,0.0094,0.4487,0.0077,0.3533,0.0031,0.3612,0.004,4.17,0.02,4.17,0.02,4.008,0.01,4.008,0.01,1.69,0.04,1.71,0.04
V578_Mon,B0_V,B1:_V,2.408,8.54,0.17,1.1626,0.0024,1.0124,0.0025,0.7332,0.0032,0.6325,0.0051,4.133,0.018,4.185,0.021,4.477,0.007,4.411,0.007,4.33,0.03,3.86,0.03
GL_Car,B0.5_V,B1_V,2.422,9.7,0.17,1.2003,0.0085,1.1746,0.0087,0.7195,0.004,0.6962,0.0045,4.199,0.007,4.22,0.008,4.491,0.007,4.483,0.007,4.357,0.029,4.278,0.03
V885_Cyg,A3_m,A4_m,1.695,10.03,0.15,0.3021,0.0063,0.3491,0.0051,0.3701,0.0022,0.5296,0.0033,4,0.007,3.728,0.008,3.923,0.008,3.911,0.008,1.38,0.03,1.66,0.03
WW_Aur,A4_Vm,A5_Vm,2.525,5.87,0.14,0.2931,0.0015,0.2586,0.0017,0.2849,0.0025,0.2651,0.0026,4.162,0.007,4.167,0.007,3.901,0.024,3.885,0.024,1.129,0.092,1.023,0.093
V335_Ser,A1_V,A3_V,3.45,7.49,0.14,0.3318,0.0028,0.2801,0.0018,0.3075,0.0064,0.238,0.01,4.155,0.011,4.241,0.017,3.955,0.007,3.93,0.008,1.39,0.03,1.15,0.04
V624_Her,A3_Vm,A7_V,3.895,6.2,0.14,0.3583,0.0029,0.2744,0.003,0.4814,0.0049,0.3442,0.0067,3.834,0.01,4.024,0.014,3.911,0.008,3.9,0.008,1.56,0.03,1.24,0.04
V1292_Sco,O9.5_III,B1-2_IV,4.24,7.57,0.14,1.2704,0.011,0.8865,0.0068,0.9731,0.0069,0.567,0.0071,3.762,0.018,4.19,0.016,4.49,0.014,4.336,0.02,-9.99,-9.99,-9.99,-9.99
SW_CMa,A4_m,A5_m,10.092,9.72,0.13,0.3501,0.0027,0.323,0.0037,0.4791,0.0029,0.3971,0.0073,3.8298,0.0065,3.967,0.015,3.914,0.008,3.908,0.008,1.566,0.032,1.38,0.035
WX_Cep,A2_V,A5_V,3.378,9.03,0.11,0.4047,0.0086,0.3672,0.0084,0.6014,0.0033,0.4331,0.0037,3.64,0.011,3.939,0.011,3.911,0.012,3.949,0.012,1.8,0.05,1.62,0.05
V348_And,B9_V,none,27.703,6.6,0.11,0.4487,0.0062,0.4298,0.0065,0.3838,0.0054,0.3692,0.0056,4.12,0.02,4.13,0.02,4.02,0.02,4.02,0.02,-9.99,-9.99,-9.99,-9.99
V573_Car,O9.5V_(n),B0.5V_(n),1.469,9.52,0.11,1.1793,0.0037,1.0924,0.0035,0.7347,0.0034,0.6559,0.0047,4.148,0.007,4.218,0.009,4.504,0.005,4.458,0.005,4.439,0.023,4.098,0.023
FT_Ori,A0_Vm,A2_Vm,3.15,9.26,0.1,0.3389,0.0044,0.2512,0.0049,0.2695,0.003,0.2084,0.0035,4.237,0.006,4.272,0.007,3.982,0.018,3.935,0.015,1.486,0.023,1.179,0.025
V4089_Sgr,A2_IV,A3_V,4.627,6,0.09,0.4123,0.002,0.206,0.0022,0.5981,0.0022,0.2055,0.0019,3.654,0.005,4.233,0.004,3.926,0.005,3.867,0.006,-9.99,-9.99,-9.99,-9.99
V572_Per,A0_V,none,1.213,6.71,0.08,0.2455,0.0074,0.143,0.0094,0.2253,0.0078,0.1106,0.0135,4.23,0.02,4.36,0.03,3.9,0.03,3.82,0.04,-9.99,-9.99,-9.99,-9.99
EE_Peg,A3_m,F5_V,2.628,6.97,0.08,0.3326,0.0048,0.1245,0.0036,0.3201,0.0052,0.1179,0.0043,4.131,0.01,4.327,0.008,3.94,0.01,3.81,0.02,1.352,0.041,0.427,0.082
V1229_Tau,A0_V,A_Vm,2.46,6.84,0.08,0.3566,0.0021,0.2028,0.0022,0.255,0.0046,0.1492,0.0065,4.285,0.009,4.342,0.013,4.009,0.004,3.885,0.005,1.499,0.018,0.792,0.023
DW_Car,B1_V,B1_V,1.328,9.68,0.07,1.0546,0.0046,1.0265,0.0057,0.6588,0.0043,0.6332,0.0056,4.175,0.008,4.198,0.011,4.446,0.016,4.423,0.016,4.055,0.063,3.915,0.067
GZ_CMa,A3_Vm,A4:_V,4.801,7.98,0.06,0.3436,0.0037,0.3021,0.0039,0.3965,0.0056,0.3286,0.0075,3.989,0.012,4.083,0.016,3.945,0.017,3.931,0.017,1.53,0.07,1.33,0.07
V396_Cas,A1_V,A3_V,5.505,9.56,0.06,0.3798,0.004,0.279,0.0037,0.4136,0.0022,0.2502,0.0024,3.99,0.004,4.216,0.005,3.965,0.007,3.932,0.006,1.642,0.028,1.183,0.024
V3903_Sgr,O7V(n),B0:V:,1.744,7.27,0.06,1.4357,0.0088,1.279,0.0101,0.9078,0.0046,0.7871,0.0043,4.058,0.016,4.143,0.013,4.58,0.021,4.531,0.021,5.087,0.029,4.658,0.032
PT_Vel,A0_V,A8_V,1.802,7.03,0.05,0.342,0.0032,0.2111,0.0024,0.321,0.0041,0.1928,0.0056,4.138,0.008,4.263,0.011,3.966,0.007,3.883,0.01,1.461,0.038,0.875,0.025
EK_Cep,A2_V,G5_Vp,4.428,7.87,0.04,0.3073,0.0049,0.0508,0.0046,0.1984,0.0019,0.1189,0.002,4.349,0.01,4.251,0.006,3.954,0.01,3.756,0.015,1.17,0.04,0.21,0.06
beta_Aur,A1_Vm,A1_Vm,3.96,1.89,0.04,0.3758,0.0049,0.36,0.0051,0.4412,0.0027,0.4096,0.0029,3.932,0.005,3.979,0.005,3.971,0.009,3.964,0.009,1.721,0.038,1.63,0.038
AR_Aur,B9_V,B9_V,4.135,6.17,0.04,0.4055,0.0015,0.3725,0.0015,0.255,0.0031,0.2634,0.0045,4.333,0.008,4.284,0.01,4.039,0.012,4.015,0.013,1.61,0.05,1.53,0.05
alpha_Dra,A0_III,none,51.417,3.68,0.04,0.5032,0.006,0.3858,0.0034,0.693,0.0032,0.3666,0.0097,3.555,0.006,4.09,0.019,4.01,0.004,3.997,0.014,2.38,0.018,1.667,0.059
YZ_Cas,A1_Vm,F2_V,4.467,5.64,0.03,0.3547,0.0023,0.1222,0.0023,0.4023,0.0019,0.1242,0.002,3.988,0.004,4.311,0.004,3.979,0.005,3.838,0.015,1.672,0.022,0.552,0.061
psi_Cen,A0_IV,none,38.813,4.05,0.03,0.5034,0.0042,0.2925,0.0033,0.5814,0.0008,0.2778,0.0009,3.779,0.003,4.175,0.004,4.019,0.012,3.944,0.015,2.147,0.05,1.244,0.059
HD_96609,B9,none,8.192,8.61,0.02,0.4249,0.0033,0.2648,0.0024,0.4378,0.001,0.2297,0.0013,3.987,0.001,4.243,0.002,3.985,0.011,3.952,0.012,1.76,0.04,1.22,0.04
V596_Pup,A1_V,A1_V,4.596,6.58,0,0.3224,0.0045,0.322,0.0039,0.3359,0.004,0.3359,0.004,4.089,0.009,4.088,0.009,3.978,0.009,3.978,0.009,1.54,0.04,1.54,0.04
V467_Vel,O6_Vf,B1_V,2.753,10.9,0,1.4031,0.012,0.9165,0.009,0.9996,0.0039,0.5428,0.0037,3.842,0.016,4.268,0.017,4.559,0.031,4.402,0.046,5.187,0.126,3.649,0.11
V1647_Sgr,A1_V,A1_V,3.283,6.94,-0.01,0.3402,0.0073,0.2949,0.0073,0.2627,0.0043,0.2217,0.0044,4.253,0.012,4.289,0.012,3.982,0.014,3.959,0.014,1.41,0.05,1.23,0.06
V906_Sco,B9_V,B9_V,2.786,5.96,-0.01,0.5123,0.0092,0.5287,0.0091,0.5459,0.0048,0.6552,0.0034,3.858,0.013,3.656,0.012,4.029,0.02,4.017,0.021,2.162,0.082,2.33,0.084
OGLE-LMC-ECL-22270,none,none,5.414,14.03,-0.02,1.1209,0.0026,1.1596,0.0042,0.9284,0.0051,1.1123,0.0017,3.702,0.01,3.374,0.003,4.417,0.027,4.376,0.024,4.478,0.01,4.681,0.003
V402_Lac,B8_V,B8_V,3.782,6.73,-0.04,0.4472,0.0078,0.444,0.0078,0.3766,0.0055,0.3729,0.0055,4.132,0.013,4.136,0.014,4.054,0.01,4.052,0.009,1.93,0.04,1.91,0.04
EP_Cru,B5_V,B5_V,11.077,8.69,-0.04,0.7007,0.0112,0.6839,0.0117,0.5551,0.0042,0.5434,0.0042,4.028,0.008,4.035,0.008,4.196,0.014,4.188,0.014,-9.99,-9.99,-9.99,-9.99
V414_Pup,ApSi,Am,4.749,8.81,-0.05,0.499,0.0081,0.2433,0.0097,0.4442,0.0053,0.143,0.0131,4.049,0.011,4.395,0.021,4.114,0.01,3.954,0.007,-9.99,-9.99,-9.99,-9.99
V541_Cyg,B9.5_V,B9.5_V,15.338,10.44,-0.06,0.3683,0.0028,0.3541,0.0029,0.2693,0.0026,0.2572,0.0034,4.2675,0.0051,4.277,0.0064,4.027,0.008,4.015,0.008,1.601,0.033,1.528,0.035
TZ_Men,A0_V,A8_V,8.57,6.19,-0.06,0.3957,0.0044,0.1772,0.0029,0.3045,0.0043,0.1559,0.0045,4.225,0.011,4.303,0.009,4.017,0.017,3.857,0.018,1.63,0.07,0.69,0.07
V1388_Ori,B2.5_IV,B3_V,2.187,7.5,-0.06,0.8596,0.0047,0.7014,0.0033,0.7244,0.0061,0.4975,0.0077,3.849,0.012,4.144,0.015,4.279,0.023,4.23,0.025,3.65,0.044,3.018,0.049
V380_Cyg,B1.5_III,B2_V,12.426,5.68,-0.06,1.058,0.0072,0.8451,0.0087,1.1962,0.0036,0.5819,0.0055,3.104,0.006,4.12,0.011,4.336,0.006,4.356,0.023,4.691,0.041,3.626,0.038
V346_Cen,B0_IV,B1_V,6.322,8.51,-0.06,1.0697,0.0044,0.9222,0.0046,0.9179,0.0041,0.6152,0.0076,3.672,0.008,4.13,0.015,4.417,0.005,4.352,0.006,4.457,0.022,3.594,0.028
delta_Cir,O7_IV((f)),B,3.902,5.09,-0.06,1.301,0.0109,1.0573,0.0091,0.9664,0.0043,0.7264,0.0074,3.806,0.007,4.043,0.014,4.574,0.01,4.519,0.013,5.184,0.07,4.339,0.09
V451_Oph,B9_V,A0_V,2.197,7.87,-0.08,0.4434,0.0099,0.3722,0.0096,0.4216,0.0051,0.3071,0.006,4.038,0.015,4.196,0.015,4.033,0.032,3.991,0.022,1.93,0.13,1.53,0.09
chi2_Hya,B8_V,B8_V,2.268,5.65,-0.09,0.5579,0.0095,0.4213,0.0082,0.6419,0.0039,0.3355,0.0086,3.712,0.015,4.188,0.019,4.066,0.01,4.041,0.01,2.5,0.04,1.79,0.04
Y_Cyg,O9.5_IV,O9.5_IV,2.996,7.32,-0.09,1.2485,0.0086,1.2487,0.0073,0.7623,0.0068,0.7646,0.0047,4.161,0.014,4.157,0.01,4.521,0.003,4.525,0.003,-9.99,-9.99,-9.99,-9.99
IQ_Per,B8_V,A6_V,1.744,7.73,-0.11,0.5467,0.0083,0.2398,0.0078,0.3885,0.0046,0.177,0.0049,4.208,0.019,4.323,0.013,4.09,0.008,3.885,0.008,2.09,0.03,0.85,0.04
zeta_Phe,B6_V,B8_V,1.67,3.95,-0.15,0.592,0.0063,0.4041,0.0053,0.4526,0.0029,0.2753,0.0025,4.125,0.005,4.292,0.004,4.158,0.024,4.079,0.022,2.49,0.1,1.82,0.09
GG_Lup,B7_V,B9_V,1.85,5.59,-0.16,0.6145,0.0042,0.3995,0.0042,0.3764,0.0046,0.2368,0.0048,4.301,0.011,4.364,0.01,4.169,0.013,4.041,0.024,2.38,0.05,1.59,0.1
V760_Sco,B4_V,B4_V,1.731,6.99,-0.17,0.6972,0.0078,0.6646,0.0069,0.479,0.0095,0.4216,0.0087,4.177,0.021,4.259,0.019,4.228,0.013,4.21,0.013,2.82,0.05,2.63,0.06
U_Oph,B5_V,B6_V,1.678,5.91,-0.18,0.7067,0.0051,0.6609,0.0047,0.5366,0.0013,0.4843,0.0014,4.073,0.004,4.131,0.004,4.22,0.005,4.183,0.003,-9.99,-9.99,-9.99,-9.99
DI_Her,B5_V,B5_V,10.55,8.42,-0.18,0.7147,0.009,0.6565,0.0063,0.4281,0.0075,0.3939,0.0079,4.297,0.018,4.307,0.017,4.23,0.02,4.179,0.02,2.73,0.08,2.46,0.08
V436_Per,B1.5_V,B1.5_V,25.936,5.52,-0.18,0.8376,0.0023,0.8662,0.0023,0.5334,0.0059,0.5735,0.0031,4.209,0.012,4.157,0.006,4.332,0.02,4.342,0.02,3.351,0.081,3.471,0.079
CV_Vel,B2.5_V,B2.5_V,6.889,6.69,-0.19,0.783,0.0008,0.7747,0.0008,0.6107,0.0032,0.5955,0.0033,4,0.008,4.021,0.008,4.255,0.012,4.25,0.012,3.204,0.048,3.137,0.048
V539_Ara,B3_V,B4_V,3.169,5.71,-0.19,0.7951,0.0046,0.7253,0.0049,0.6581,0.0018,0.5533,0.0043,3.917,0.003,4.057,0.008,4.258,0.012,4.233,0.013,3.302,0.048,2.993,0.052
V1034_Sco,O9.2_IV,B1:_V,2.441,8.47,-0.22,1.2307,0.0036,0.981,0.0024,0.8758,0.0043,0.6363,0.0051,3.917,0.009,4.147,0.01,4.508,0.007,4.412,0.005,4.738,0.028,3.874,0.028
QX_Car,B2_V,B2_V,4.478,6.64,-0.23,0.9669,0.0057,0.9284,0.0062,0.6324,0.0092,0.6076,0.0098,4.14,0.02,4.151,0.021,4.377,0.009,4.354,0.01,3.72,0.04,3.58,0.04
CW_Cep,B0.5_V,B0.5_V,2.729,7.59,-0.28,1.1139,0.0023,1.077,0.0029,0.7364,0.0048,0.7067,0.0051,4.079,0.01,4.102,0.104,4.452,0.008,4.44,0.007,-9.99,-9.99,-9.99,-9.99
V478_Cyg,O9.5_II,O9.5_III,2.881,8.63,-0.29,1.1875,0.0107,1.1767,0.0101,0.8609,0.0054,0.8543,0.0055,3.904,0.009,3.907,0.01,4.507,0.007,4.502,0.008,4.7,0.03,4.67,0.04
EM_Car,O7.5_V((f)),O7.5_V((f),)     3.414,8.38,-0.31,1.3596,0.0061,1.331,0.0067,0.9708,0.0079,0.9212,0.0073,3.856,0.017,3.926,0.016,4.531,0.026,4.531,0.026,5.02,0.1,4.92,0.1
KOI-126_BC,M,M,1.722,14,1.7,-0.6286,0.0011,-0.6834,0.0013,-0.5943,0.0014,-0.6354,0.0013,4.998,0.003,5.026,0.003,3.51,0.005,3.501,0.005,-2.194,0.02,-2.312,0.02
