System,SpT,Pday,Vmag,BmV,logM,logMe,logR,logRe,logg,logge,logT,logTe,logL,logLe,Mass[solMass],log.Teff [K],B-V,Absolute Mag,SpType
CM_Dra-2,M4.5_V,1.268,12.9,1.6,-0.6776,0.0006,-0.6243,0.0004,5.0091,0.0007,3.494,0.014,-2.313,0.056,0.2100873969240991,3.494,1.6,10.5825,M
OGLE-BLG-ECL-116218-1,K2_III,80.586,17.59,1.6,-0.0137,0.0054,1.2235,0.0073,1.978,0.015,3.627,0.021,1.91,0.08,0.9689469499787371,3.627,1.6,0.025000000000000355,K
OGLE-BLG-ECL-116218-2,K3_III,80.586,17.59,1.6,-0.0074,0.0053,1.3436,0.0051,1.744,0.009,3.611,0.015,2.08,0.06,0.9831052152817692,3.611,1.6,-0.40000000000000036,K
ASAS_J180057-2333.8-1,K1_II,269.496,10.34,1.6,0.6914,0.0019,1.717,0.0115,1.696,0.023,3.657,0.008,3.013,0.038,4.913602272990918,3.657,1.6,-2.7325,K
ASAS_J180057-2333.8-2,K4_II,269.496,10.34,1.6,0.688,0.0019,1.8301,0.009,1.466,0.018,3.624,0.008,3.111,0.037,4.875284901033862,3.624,1.6,-2.977500000000001,K
THOR_42-1,M3.5,0.859,15.17,1.53,-0.3036,0.0044,-0.1811,0.002,4.496,0.003,3.518,0.003,-1.337,0.013,0.497049910576235,3.518,1.53,8.1425,M
THOR_42-2,none,0.859,15.17,1.53,-0.6882,0.0042,-0.3726,0.002,4.496,0.004,3.478,0.003,-1.879,0.013,0.20502178012019837,3.478,1.53,9.497499999999999,n
MG1-2056316-1,M2_V,1.722,16.2,1.5,-0.3288,0.0019,-0.3556,0.003,4.82,0.006,3.539,0.022,-1.6,0.09,0.46902932840593764,3.539,1.5,8.8,M
MG1-2056316-2,M3_V,1.722,16.2,1.5,-0.4179,0.0023,-0.4271,0.0035,4.874,0.007,3.521,0.022,-1.82,0.09,0.38203222688441085,3.521,1.5,9.35,M
MG1-78457-1,M3_V,1.586,17.7,1.5,-0.2782,0.0016,-0.2967,0.0095,4.753,0.019,3.522,0.013,-1.55,0.05,0.5269871189967232,3.522,1.5,8.675,M
MG1-78457-2,M4_V,1.586,17.7,1.5,-0.3089,0.0018,-0.327,0.0111,4.783,0.022,3.515,0.013,-1.64,0.05,0.4910209248830859,3.515,1.5,8.899999999999999,M
GU_Boo-1,M1_V,0.489,13.7,1.5,-0.2147,0.005,-0.2055,0.0112,4.634,0.023,3.593,0.014,-1.09,0.06,0.6099580958722387,3.593,1.5,7.525,M
GU_Boo-2,M1_V,0.489,13.7,1.5,-0.2226,0.0044,-0.2076,0.014,4.63,0.028,3.581,0.015,-1.14,0.08,0.5989630064029511,3.581,1.5,7.6499999999999995,M
2MASS_J12220147-5737565-1,M2e,3.072,12.85,1.5,-0.1335,0.0034,-0.0106,0.0058,4.33,0.011,3.574,0.004,-0.772,0.021,0.7353599954754003,3.574,1.5,6.73,M
2MASS_J12220147-5737565-2,M2e,3.072,12.85,1.5,-0.1752,0.0029,-0.0259,0.0069,4.31,0.013,3.562,0.004,-0.851,0.022,0.6680362046792466,3.562,1.5,6.9275,M
LSPM_J1112+7626-1,M4_V,41.033,14.85,1.49,-0.4038,0.0025,-0.4134,0.0061,4.861,0.012,3.486,0.024,-1.92,0.08,0.39463899820986464,3.486,1.49,9.6,M
